Clone Name,Accession,Donor Collection,Donor Name,NA Code
ICS 35,RUQ 1448,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,5208
ICS 39,RUQ 1089,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,5211
ICS 40,RUQ 1432,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,5212
ICS 42,RUQ 1727,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,5214
ICS 43,RUQ 144,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,5215
ICS 46,RUQ 938,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,33535
ICS 48,RUQ 146,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,5220
ICS 63,RUQ 1586,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,5231
ICS 68,RUQ 903,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,5234
ICS 75,RUQ 818,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,5239
ICS 84,RUQ 1275,"CIRAD (Centre de Coopération Internationale en Researche Agronomique pour le Développment), France",,33537
ICS 95,RUQ 1144B,"CIRAD (Centre de Coopération Internationale en Researche Agronomique pour le Développment), France",,33539
IMC 6,RUQ 761,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,5348
IMC 11,RUQ 8,RBG Kew,,5353
IMC 14,RUQ 1634,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,5356
IMC 16,RUQ 861,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,5358
IMC 27,RUQ 515,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,5364
IMC 31,RUQ 1449,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,5366
IMC 33,RUQ 1679,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,5367
IMC 38,RUQ 1628,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,5374
IMC 47,RUQ 849,"CIRAD (Centre de Coopération Internationale en Researche Agronomique pour le Développment), France",,5381
IMC 50,RUQ 1590,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,5384
IMC 54,RUQ 11,RBG Kew,,5387
IMC 55,RUQ 836,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,5388
IMC 58,RUQ 1633,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,5391
IMC 60,RUQ 1617,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,5392
IMC 67,RUQ 1056,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,5399
IMC 71,RUQ 734,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,5405
IMC 78,RUQ 1678,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,5409
IMC 105,RUQ 863,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,5421
JA 1 /19 [POU],RUQ 352,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",JA 119,15433
