Clone name,Colour dark purple,Colour light purple,Colour white,Colour mottled,Number,Length,Width,Thickness,Wet weight,Cotyledon wet weight,Info,Notes,Refcode,Dry weight,Colour,Colour purple,Shape,Size,Cotyledon dry weight,Cotyledon length,Cotyledon width,Cotyledon thickness,Total wet weight,Total dry weight,Colour grey,Number (max),Accession
SAN MIGUEL 3082 [CHA],+,-,-,-,-,-,-,-,-,-,expedition data,expedition code 68CH,CHA70S,,,,,,,,,,,,,,
SAN MIGUEL 3087 [CHA],-,-,-,-,-,24.1,11.3,8.1,3.53,1.50,expedition data,expedition code 68CH,CHA70S,,,,,,,,,,,,,,
SAN MIGUEL 3115 [CHA],-,-,-,-,-,25.6,11.4,6.2,-,-,expedition data,expedition code 68CH,CHA70S,,,,,,,,,,,,,,
SAN MIGUEL 3147 [CHA],-,-,-,-,-,20.7,11.8,8.8,4.59,1.50,expedition data,expedition code 68CH,CHA70S,,,,,,,,,,,,,,
SAN MIGUEL 3153 [CHA],-,-,-,-,-,29.0,14.1,8.7,7.16,2.25,expedition data,expedition code 68CH,CHA70S,,,,,,,,,,,,,,
SAN MIGUEL 3160 [CHA],-,-,-,-,-,26.3,12.8,7.6,5.46,1.64,expedition data,expedition code 68CH,CHA70S,,,,,,,,,,,,,,
SAN MIGUEL 3161 [CHA],-,-,-,-,-,24.1,10.8,9.0,4.54,1.31,expedition data,expedition code 68CH,CHA70S,,,,,,,,,,,,,,
SAN MIGUEL 3162 [CHA],-,-,-,-,-,23.9,10.9,7.7,3.42,1.16,expedition data,expedition code 68CH,CHA70S,,,,,,,,,,,,,,
SAN MIGUEL 3358 [CHA],-,-,-,-,-,27.9,13.6,10.5,5.12,2.68,expedition data,expedition code 70CH,CHA70S,,,,,,,,,,,,,,
SAN MIGUEL 3360 [CHA],-,-,-,-,-,25.6,10.6,7.1,4.29,1.41,expedition data,expedition code 70CH,CHA70S,,,,,,,,,,,,,,
SAN MIGUEL 3364 [CHA],-,-,-,-,-,25.0,13.7,5.8,4.27,1.58,expedition data,expedition code 70CH,CHA70S,,,,,,,,,,,,,,
TAP 1 [CHA],+,-,-,-,-,-,-,-,-,-,expedition data,expedition code 73CH,CHA70S,,,,,,,,,,,,,,
TAP 10 [CHA],+,-,-,-,-,-,-,-,-,-,expedition data,expedition code 73CH,CHA70S,,,,,,,,,,,,,,
TAP 11 [CHA],+,-,-,-,-,-,-,-,-,-,expedition data,expedition code 73CH,CHA70S,,,,,,,,,,,,,,
