Clone name,Colour,Refcode,Notes,Info
AM 2 /43 [POU],moderate anthocyanin,BEKAD1,,
AM 2 /45 [POU],moderate anthocyanin,BEKAD1,,
AM 2 /46 [POU],moderate anthocyanin,BEKAD1,,
AM 2 /5 [POU],slight anthocyanin,BEKAD1,,
AM 2 /50 [POU],intense anthocyanin,BEKAD1,,
AM 2 /53 [POU],slight anthocyanin,BEKAD1,,
AM 2 /6 [POU],moderate anthocyanin,BEKAD1,,
AM 2 /60 [POU],slight anthocyanin,BEKAD1,,
AM 2 /61 [POU],intense anthocyanin,BEKAD1,,
AM 2 /62 [POU],moderate anthocyanin,BEKAD1,,
AM 2 /63 [POU],intense anthocyanin,BEKAD1,,
AM 2 /64 [POU],moderate anthocyanin,BEKAD1,,
AM 2 /65 [POU],slight anthocyanin,BEKAD1,,
AM 2 /68 [POU],moderate anthocyanin,BEKAD1,,
AM 2 /7 [POU],intense anthocyanin,BEKAD1,,
AM 2 /70 [POU],anthocyanin absent,BEKAD1,,
AM 2 /82 [POU],intense anthocyanin,BEKAD1,,
AM 2 /83 [POU],moderate anthocyanin,BEKAD1,,
AM 2 /87 [POU],slight anthocyanin,BEKAD1,,
AM 2 /88 [POU],intense anthocyanin,BEKAD1,,
AM 2 /9 [POU],intense anthocyanin,BEKAD1,,
AM 2 /90 [POU],intense anthocyanin,BEKAD1,,
AM 2 /91 [POU],slight anthocyanin,BEKAD1,,
AM 2 /92 [POU],slight anthocyanin,BEKAD1,,
AM 2 /94 [POU],slight anthocyanin,BEKAD1,,
AM 2 /96 [POU],slight anthocyanin,BEKAD1,,
AMAZ 10 /1,moderate anthocyanin,BEKAD1,,
AMAZ 11,anthocyanin absent,BEKAD1,,
AMAZ 12,anthocyanin absent,BEKAD1,,
AMAZ 12 /4,moderate anthocyanin,BEKAD1,,
AMAZ 1 /5,slight anthocyanin,BEKAD1,,
AMAZ 15 /15,intense anthocyanin,BEKAD1,,
AMAZ 16 /4,slight anthocyanin,BEKAD1,,
AMAZ 3 /2,slight anthocyanin,BEKAD1,,
AMAZ 5 /2,intense anthocyanin,BEKAD1,,
AMAZ 6,moderate anthocyanin,BEKAD1,,
AMAZ 6 /3,anthocyanin absent,BEKAD1,,
AMELONADO 2 /0-17 [MAY],intense anthocyanin,BEKAD1,,
AMELONADO [VAR],slight anthocyanin,BEKAD1,,
AMELONADO [VAR],moderate anthocyanin,BEKAD1,,
AMELONADO 3 /4-06 [MAY],intense anthocyanin,BEKAD1,,
ARF 12,slight anthocyanin,BEKAD1,,
AS 2 [ECU],intense anthocyanin,BEKAD1,,
AS 20 [ECU],moderate anthocyanin,BEKAD1,,
AS 37 [ECU],moderate anthocyanin,BEKAD1,,
AX 122 /79,moderate anthocyanin,BEKAD1,,
AX 139 /53,moderate anthocyanin,BEKAD1,,
AX 6 /28,moderate anthocyanin,BEKAD1,,
AX 6 /32,anthocyanin absent,BEKAD1,,
B 1 /2-18 [POU],intense anthocyanin,BEKAD1,,
B 1 /2-24 [POU],intense anthocyanin,BEKAD1,,
B 1 /2-26 [POU],slight anthocyanin,BEKAD1,,
B 11 /2 [POU],slight anthocyanin,BEKAD1,,
B 11 /3 [POU],slight anthocyanin,BEKAD1,,
B 12 /1 [POU],moderate anthocyanin,BEKAD1,,
B 12 /2 [POU],slight anthocyanin,BEKAD1,,
B 12 /24 [POU],moderate anthocyanin,BEKAD1,,
B 13 /1 [POU],slight anthocyanin,BEKAD1,,
B 13 /3 [POU],moderate anthocyanin,BEKAD1,,
B 13 /5 [POU],slight anthocyanin,BEKAD1,,
B 13 /6 [POU],intense anthocyanin,BEKAD1,,
B 13 /7 [POU],slight anthocyanin,BEKAD1,,
B 14 /11 [POU],slight anthocyanin,BEKAD1,,
B 14 /13 [POU],slight anthocyanin,BEKAD1,,
B 14 /14 [POU],slight anthocyanin,BEKAD1,,
B 14 /8 [POU],anthocyanin absent,BEKAD1,,
B 14 /9 [POU],slight anthocyanin,BEKAD1,,
B 17 /1 [POU],moderate anthocyanin,BEKAD1,,
B 17 /10 [POU],slight anthocyanin,BEKAD1,,
B 17 /15 [POU],intense anthocyanin,BEKAD1,,
B 17 /17 [POU],moderate anthocyanin,BEKAD1,,
B 17 /20 [POU],slight anthocyanin,BEKAD1,,
B 17 /24 [POU],intense anthocyanin,BEKAD1,,
