Clone name,Fat,Info,Refcode,Fat (max),Fat min,Testa
BE 10,,,BEKAD1,,,5.3
BE 2,,,BEKAD1,,,5.4
Belize 10 [BLZ],,,BEKAD1,,,6.1
Belize 12 [BLZ],,,BEKAD1,,,5.0
Belize 14 [BLZ],,,BEKAD1,,,6.4
Belize 15 [BLZ],,,BEKAD1,,,6.0
Belize 17 [BLZ],,,BEKAD1,,,5.1
Belize 2 [BLZ],,,BEKAD1,,,4.8
Belize 20 [BLZ],,,BEKAD1,,,5.6
Belize 28 [BLZ],,,BEKAD1,,,4.3
Belize 29 [BLZ],,,BEKAD1,,,4.6
Belize 3 [BLZ],,,BEKAD1,,,4.5
B 97 61 /B-7 [BLZ],,,BEKAD1,,,6.4
B 97 AC 2/1 [BLZ],,,BEKAD1,,,6.3
B 97Ex 1 /(a)-1 [BLZ],,,BEKAD1,,,5.5
B 97 Ex 4 /B-5 [BLZ],,,BEKAD1,,,4.7
BH,,,BEKAD1,,,5.0
BOB 8 [CHA],,,BEKAD1,,,4.6
C 15 /61 [TRI],,,BEKAD1,,,6.7
C 40 [TRI],,,BEKAD1,,,4.6
C 96 [TRI],,,BEKAD1,,,4.8
C 97 [TRI],,,BEKAD1,,,6.1
C 99 [TRI],,,BEKAD1,,,4.6
CAS 1,,,BEKAD1,,,5.8
CATONGO,,,BEKAD1,,,6.7
CBO 177 [VEN],,,BEKAD1,,,5.7
CC 10,,,BEKAD1,,,3.5
CC 17,,,BEKAD1,,,4.2
CC 38,,,BEKAD1,,,5.5
CC 39,,,BEKAD1,,,4.8
CC 40,,,BEKAD1,,,6.5
CC 41,,,BEKAD1,,,6.5
CC 49,,,BEKAD1,,,5.5
CC 57,,,BEKAD1,,,4.2
CC 71,,,BEKAD1,,,5.3
CC 9,,,BEKAD1,,,5.8
CERRO AZUL 10,,,BEKAD1,,,5.4
CL 10 /10,,,BEKAD1,,,6.6
CL 10 /11,,,BEKAD1,,,6.3
CL 10 /12,,,BEKAD1,,,6.8
CL 10 /14,,,BEKAD1,,,4.5
CL 10 /15,,,BEKAD1,,,5.5
CL 10 /21,,,BEKAD1,,,6.5
CL 10 /23,,,BEKAD1,,,5.1
CL 10 /25,,,BEKAD1,,,5.1
CL 10 /26,,,BEKAD1,,,5.0
CL 10 /27,,,BEKAD1,,,5.3
CL 10 /29,,,BEKAD1,,,5.5
CL 10 /3,,,BEKAD1,,,5.2
CL 10 /32,,,BEKAD1,,,6.4
CL 10 /33,,,BEKAD1,,,6.7
CL 10 /4,,,BEKAD1,,,4.6
CL 10 /5,,,BEKAD1,,,5.4
CL 10 /6,,,BEKAD1,,,4.7
CL 10 /7,,,BEKAD1,,,8.0
CL 13 /12,,,BEKAD1,,,5.6
CL 13 /13,,,BEKAD1,,,5.0
CL 13 /17,,,BEKAD1,,,6.2
CL 13 /19-4,,,BEKAD1,,,4.7
CL 13 /2,,,BEKAD1,,,6.7
CL 13 /21,,,BEKAD1,,,6.3
CL 13 /27,,,BEKAD1,,,5.5
CL 13 /35,,,BEKAD1,,,5.4
CL 13 /36,,,BEKAD1,,,5.2
CL 13 /4,,,BEKAD1,,,7.6
CL 13 /41,,,BEKAD1,,,4.7
CL 13 /43,,,BEKAD1,,,5.2
CL 13 /65,,,BEKAD1,,,5.8
CL 15 /195,,,BEKAD1,,,4.5
CL 15 /197,,,BEKAD1,,,6.0
CL 19 /10,,,BEKAD1,,,7.4
CL 19 /11,,,BEKAD1,,,4.2
CL 19 /12,,,BEKAD1,,,5.1
CL 19 /17,,,BEKAD1,,,5.1
CL 19 /2,,,BEKAD1,,,5.1
CL 19 /21,,,BEKAD1,,,5.6
CL 19 /22,,,BEKAD1,,,8.1
CL 19 /27,,,BEKAD1,,,4.9
CL 19 /31,,,BEKAD1,,,8.6
CL 19 /33,,,BEKAD1,,,5.5
CL 19 /34,,,BEKAD1,,,5.6
CL 19 /35,,,BEKAD1,,,4.1
CL 19 /37,,,BEKAD1,,,5.6
CL 19 /39,,,BEKAD1,,,6.4
CL 19 /41,,,BEKAD1,,,6.4
CL 19 /42,,,BEKAD1,,,5.5
CL 19 /44,,,BEKAD1,,,6.1
CL 19 /47,,,BEKAD1,,,7.7
CL 19 /49,,,BEKAD1,,,5.4
CL 19 /51,,,BEKAD1,,,6.1
CL 19 /9,,,BEKAD1,,,5.1
CL 27 /105,,,BEKAD1,,,4.5
CL 27 /109,,,BEKAD1,,,6.0
CL 27 /111,,,BEKAD1,,,5.4
CL 27 /116,,,BEKAD1,,,5.1
CL 27 /14,,,BEKAD1,,,7.0
CL 27 /21,,,BEKAD1,,,4.7
CL 27 /27,,,BEKAD1,,,6.9
CL 27 /34,,,BEKAD1,,,4.2
CL 27 /39,,,BEKAD1,,,4.1
CL 27 /43,,,BEKAD1,,,4.9
CL 27 /46,,,BEKAD1,,,5.0
CL 27 /49,,,BEKAD1,,,5.8
CL 27 /50,,,BEKAD1,,,4.7
CL 27 /53,,,BEKAD1,,,5.2
CL 27 /58,,,BEKAD1,,,5.1
CL 27 /61,,,BEKAD1,,,5.7
CL 27 /7,,,BEKAD1,,,5.9
CL 27 /71,,,BEKAD1,,,6.8
CL 27 /72,,,BEKAD1,,,4.9
CL 27 /74,,,BEKAD1,,,5.0
CL 27 /76,,,BEKAD1,,,5.6
CL 27 /79,,,BEKAD1,,,5.7
CL 27 /96,,,BEKAD1,,,7.3
CL 78 /2,,,BEKAD1,,,6.0
CL 78 /3,,,BEKAD1,,,5.3
CL 78 /7,,,BEKAD1,,,5.6
CL 9 /11,,,BEKAD1,,,5.8
CL 9 /12,,,BEKAD1,,,6.1
CL 9 /13,,,BEKAD1,,,4.6
CL 9 /16,,,BEKAD1,,,5.1
CL 9 /19,,,BEKAD1,,,7.2
CL 9 /4,,,BEKAD1,,,8.3
CL 9 /51,,,BEKAD1,,,7.5
CL 9 /56,,,BEKAD1,,,6.0
CL 9 /6,,,BEKAD1,,,4.8
CL 9 /7,,,BEKAD1,,,6.5
CL 91 /5,,,BEKAD1,,,4.3
CL 91 /6,,,BEKAD1,,,6.3
CL 91 /7,,,BEKAD1,,,4.9
CLEM /S-62-1,,,BEKAD1,,,5.2
CLM 100,,,BEKAD1,,,5.6
CLM 101,,,BEKAD1,,,4.8
CLM 107,,,BEKAD1,,,4.5
CLM 11,,,BEKAD1,,,7.1
CLM 111,,,BEKAD1,,,5.2
CLM 114,,,BEKAD1,,,6.0
CLM 116,,,BEKAD1,,,6.8
CLM 122,,,BEKAD1,,,3.5
CLM 19,,,BEKAD1,,,5.8
CLM 3,,,BEKAD1,,,6.9
CLM 35,,,BEKAD1,,,7.7
CLM 41,,,BEKAD1,,,6.4
CLM 43,,,BEKAD1,,,5.0
CLM 49,,,BEKAD1,,,4.4
CLM 56,,,BEKAD1,,,5.5
CLM 59,,,BEKAD1,,,4.9
CLM 6,,,BEKAD1,,,5.2
CLM 60,,,BEKAD1,,,5.6
CLM 64,,,BEKAD1,,,6.0
CLM 70,,,BEKAD1,,,5.2
CLM 78,,,BEKAD1,,,7.8
CLM 83,,,BEKAD1,,,4.4
CLM 86,,,BEKAD1,,,5.6
CLM 88,,,BEKAD1,,,5.2
CLM 90,,,BEKAD1,,,11.8
CLM 91,,,BEKAD1,,,6.4
CLM 96,,,BEKAD1,,,6.2
CLM 97,,,BEKAD1,,,5.5
CLM 99,,,BEKAD1,,,7.0
COCA 3310 /3 [CHA],,,BEKAD1,,,5.7
COCA 3343 /2 [CHA],,,BEKAD1,,,6.2
COCA 3343 /7 [CHA],,,BEKAD1,,,6.5
COCA 3348 /44 [CHA],,,BEKAD1,,,5.9
COCA 3348 /52 [CHA],,,BEKAD1,,,5.0
COCA 3370 /5 [CHA],,,BEKAD1,,,5.4
CRIOLLO 54 [CRI],,,BEKAD1,,,3.2
CRU C6 /23,,,BEKAD1,,,5.5
CRU 100,,,BEKAD1,,,5.9
CRU 101,,,BEKAD1,,,6.8
CRU 102,,,BEKAD1,,,5.4
CRU 103,,,BEKAD1,,,5.7
CRU 104,,,BEKAD1,,,6.7
CRU 105,,,BEKAD1,,,5.6
CRU 106,,,BEKAD1,,,5.1
CRU 107,,,BEKAD1,,,7.0
CRU 11,,,BEKAD1,,,5.0
CRU 111,,,BEKAD1,,,5.9
CRU 112,,,BEKAD1,,,4.7
CRU 113,,,BEKAD1,,,7.6
CRU 116,,,BEKAD1,,,4.2
CRU 119,,,BEKAD1,,,5.1
CRU 12,,,BEKAD1,,,5.3
CRU 120,,,BEKAD1,,,5.6
CRU 122,,,BEKAD1,,,4.6
CRU 123,,,BEKAD1,,,4.9
CRU 124,,,BEKAD1,,,6.6
CRU 126,,,BEKAD1,,,5.4
CRU 127,,,BEKAD1,,,6.9
CRU 128,,,BEKAD1,,,5.4
CRU 129,,,BEKAD1,,,5.6
CRU 13,,,BEKAD1,,,4.7
CRU 131,,,BEKAD1,,,6.0
CRU 132,,,BEKAD1,,,6.0
CRU 133,,,BEKAD1,,,4.4
CRU 135,,,BEKAD1,,,4.2
CRU 136,,,BEKAD1,,,5.6
CRU 137,,,BEKAD1,,,5.5
CRU 138,,,BEKAD1,,,5.6
CRU 142,,,BEKAD1,,,5.1
CRU 147,,,BEKAD1,,,4.7
CRU 153,,,BEKAD1,,,6.0
CRU 154,,,BEKAD1,,,4.6
CRU 19,,,BEKAD1,,,7.1
CRU 21,,,BEKAD1,,,5.7
CRU 263,,,BEKAD1,,,5.6
CRU 27,,,BEKAD1,,,6.1
CRU 271 (MIS_TTO005_ICS 55),,,BEKAD1,,,5.8
CRU 28,,,BEKAD1,,,6.8
CRU 34,,,BEKAD1,,,4.8
CRU 35,,,BEKAD1,,,4.6
CRU 37,,,BEKAD1,,,5.4
CRU 38,,,BEKAD1,,,6.7
CRU 40,,,BEKAD1,,,7.7
CRU 47,,,BEKAD1,,,6.1
CRU 4A /1,,,BEKAD1,,,5.4
CRU 4A/11,,,BEKAD1,,,4.1
CRU 4A/4,,,BEKAD1,,,4.4
CRU 4A/8,,,BEKAD1,,,4.4
CRU 4A/9,,,BEKAD1,,,6.5
CRU 5,,,BEKAD1,,,6.3
CRU 51,,,BEKAD1,,,5.4
CRU 56,,,BEKAD1,,,5.2
CRU 57,,,BEKAD1,,,4.6
CRU 59,,,BEKAD1,,,6.4
CRU 5A /1,,,BEKAD1,,,4.9
CRU 5A /2,,,BEKAD1,,,7.3
CRU 5A /3,,,BEKAD1,,,6.2
CRU 5A /4,,,BEKAD1,,,6.2
CRU 5A /5,,,BEKAD1,,,4.1
CRU 5A /6,,,BEKAD1,,,4.7
CRU 5B /10,,,BEKAD1,,,4.4
CRU 5B /12,,,BEKAD1,,,5.4
CRU 5B /14,,,BEKAD1,,,8.3
CRU 5B /16,,,BEKAD1,,,4.9
CRU 5B /17,,,BEKAD1,,,4.6
CRU 5B /18,,,BEKAD1,,,6.1
CRU 5B /19,,,BEKAD1,,,5.9
CRU 5B /2,,,BEKAD1,,,6.3
CRU 5B /21,,,BEKAD1,,,4.1
CRU 5B /22,,,BEKAD1,,,4.6
CRU 5B /23,,,BEKAD1,,,3.9
CRU 5B /24,,,BEKAD1,,,5.3
CRU 5B /25,,,BEKAD1,,,5.2
CRU 5B /3,,,BEKAD1,,,5.5
CRU 5B /4,,,BEKAD1,,,5.4
CRU 5B /5,,,BEKAD1,,,5.1
CRU 5B /7,,,BEKAD1,,,3.7
CRU 5B /8,,,BEKAD1,,,5.2
CRU 5B /9,,,BEKAD1,,,4.8
CRU 63,,,BEKAD1,,,5.3
CRU 64,,,BEKAD1,,,5.4
CRU 69,,,BEKAD1,,,6.6
CRU 6 /B-2,,,BEKAD1,,,6.6
CRU 7,,,BEKAD1,,,5.2
CRU 70,,,BEKAD1,,,4.5
CRU 72,,,BEKAD1,,,6.3
CRU 73,,,BEKAD1,,,5.6
CRU 74,,,BEKAD1,,,6.1
CRU 77,,,BEKAD1,,,7.1
CRU 78,,,BEKAD1,,,5.2
CRU 80,,,BEKAD1,,,9.5
CRU 81,,,BEKAD1,,,6.4
CRU 83,,,BEKAD1,,,5.7
CRU 86,,,BEKAD1,,,6.1
CRU 87,,,BEKAD1,,,9.0
CRU 89,,,BEKAD1,,,4.2
CRU 90,,,BEKAD1,,,5.4
CRU 91,,,BEKAD1,,,6.1
CRU 95,,,BEKAD1,,,6.3
CRU 96,,,BEKAD1,,,5.7
CRU 97,,,BEKAD1,,,14.5
CRU 98,,,BEKAD1,,,5.3
CRU 99,,,BEKAD1,,,5.4
CRU C11 /2,,,BEKAD1,,,5.0
CRU C11 /3,,,BEKAD1,,,5.2
CRU C12 /1,,,BEKAD1,,,5.7
CRU C12 /2,,,BEKAD1,,,5.0
CRU C12 /3,,,BEKAD1,,,5.0
CRU C12 /4,,,BEKAD1,,,5.3
CRU C12 /6,,,BEKAD1,,,6.0
CRU C12 /7,,,BEKAD1,,,5.2
CRU C3 /4,,,BEKAD1,,,6.2
CRU C3 /5,,,BEKAD1,,,5.4
CRU C4 /12,,,BEKAD1,,,4.2
CRU C4 /13,,,BEKAD1,,,6.5
CRU C4 /3,,,BEKAD1,,,5.2
CRU C4 /4,,,BEKAD1,,,4.8
CRU C4 /5,,,BEKAD1,,,5.3
CRU C4 /6,,,BEKAD1,,,6.1
CRU C4 /7,,,BEKAD1,,,5.2
CRU C4 /8,,,BEKAD1,,,5.5
CRU C5 /2,,,BEKAD1,,,6.3
CRU C5 /4,,,BEKAD1,,,6.5
CRU C5 /5,,,BEKAD1,,,5.2
CRU C5 /7,,,BEKAD1,,,5.8
CRU C5 /8,,,BEKAD1,,,6.6
CRU C6 /14,,,BEKAD1,,,5.3
CRU C6 /19,,,BEKAD1,,,5.7
CRU C6 /22,,,BEKAD1,,,5.8
CRU C6 /5,,,BEKAD1,,,6.7
CRUZ 7 /11,,,BEKAD1,,,6.6
CRUZ 7 /14,,,BEKAD1,,,6.0
CRUZ 7 /8,,,BEKAD1,,,5.0
DE 33 /B,,,BEKAD1,,,5.1
DE 36 /A,,,BEKAD1,,,4.2
DE 52 /B,,,BEKAD1,,,8.8
DE 53 /B,,,BEKAD1,,,7.5
DE 64 /A,,,BEKAD1,,,6.7
DE 64 /B,,,BEKAD1,,,5.1
DE 65 /A,,,BEKAD1,,,4.9
DE 73 /A,,,BEKAD1,,,6.3
DOM 1,,,BEKAD1,,,5.3
DOM 10,,,BEKAD1,,,6.7
DOM 11,,,BEKAD1,,,6.3
DOM 13,,,BEKAD1,,,5.3
DOM 14,,,BEKAD1,,,5.8
DOM 15,,,BEKAD1,,,6.0
DOM 16,,,BEKAD1,,,6.1
DOM 18,,,BEKAD1,,,5.6
DOM 2,,,BEKAD1,,,5.6
DOM 20,,,BEKAD1,,,5.8
DOM 23,,,BEKAD1,,,5.9
DOM 24,,,BEKAD1,,,7.5
DOM 25,,,BEKAD1,,,7.6
DOM 27,,,BEKAD1,,,5.7
DOM 3,,,BEKAD1,,,3.9
DOM 30,,,BEKAD1,,,5.7
DOM 31,,,BEKAD1,,,5.7
DOM 33,,,BEKAD1,,,5.4
DOM 35,,,BEKAD1,,,5.7
DOM 4,,,BEKAD1,,,5.9
DOM 7,,,BEKAD1,,,6.0
DOM 8,,,BEKAD1,,,6.1
DOM 9,,,BEKAD1,,,5.2
DOPOL 2 /1-4,,,BEKAD1,,,5.9
DOPOL 2 /1-5,,,BEKAD1,,,5.8
DOPOL 3 /2-5,,,BEKAD1,,,6.2
DOPOL 3 /2-6,,,BEKAD1,,,6.5
DOPOL 4 /4-7,,,BEKAD1,,,6.5
DOPOL 6 /15-10,,,BEKAD1,,,6.0
DOPOL 6 /15-5,,,BEKAD1,,,6.5
DOPOL 6 /15-9,,,BEKAD1,,,5.5
DOPOL 7 /2-3,,,BEKAD1,,,6.1
DOS HERMANOS,,,BEKAD1,,,3.5
DOS HERMANOS 1,,,BEKAD1,,,6.4
DOS HERMANOS 2,,,BEKAD1,,,7.9
DR 2,,,BEKAD1,,,5.3
E 34 [ECU],,,BEKAD1,,,5.8
E 41 [ECU],,,BEKAD1,,,5.6
E 575 [ICT],,,BEKAD1,,,6.2
EBC 148 /S-301,,,BEKAD1,,,7.8
ECNR,,,BEKAD1,,,6.3
EEG 8,,,BEKAD1,,,6.3
EET 162 [ECU],,,BEKAD1,,,4.7
EET 19 [ECU],,,BEKAD1,,,4.2
EET 272 [ECU],,,BEKAD1,,,3.2
EET 28 [ECU],,,BEKAD1,,,4.6
EET 338 [ECU],,,BEKAD1,,,6.9
EET 338 /9577 [ECU],,,BEKAD1,,,5.8
EET 397 [ECU],,,BEKAD1,,,4.5
EET 399 [ECU],,,BEKAD1,,,4.7
EET 400 [ECU],,,BEKAD1,,,4.8
EET 48 [ECU],,,BEKAD1,,,5.5
EET 58 [ECU],,,BEKAD1,,,5.1
EET 59 [ECU],,,BEKAD1,,,3.6
EET 95 [ECU],,,BEKAD1,,,5.0
ELP 1 A,,,BEKAD1,,,4.3
ELP 1 /S4,,,BEKAD1,,,4.9
ELP 10 /S6,,,BEKAD1,,,5.0
ELP 10 /T,,,BEKAD1,,,5.0
ELP 11 /S1,,,BEKAD1,,,4.9
ELP 11 /S3,,,BEKAD1,,,4.6
ELP 13 /8,,,BEKAD1,,,5.7
ELP 16 /S7,,,BEKAD1,,,4.8
ELP 18 /S12,,,BEKAD1,,,5.2
ELP 2 /S4,,,BEKAD1,,,4.9
ELP 20 A,,,BEKAD1,,,4.4
ELP 20 /S3,,,BEKAD1,,,4.7
ELP 22 /S10,,,BEKAD1,,,4.5
ELP 28 /S4,,,BEKAD1,,,4.5
ELP 28 /S6,,,BEKAD1,,,5.1
ELP 30 /S5,,,BEKAD1,,,5.7
ELP 32 /S3,,,BEKAD1,,,5.3
ELP 32 /S4,,,BEKAD1,,,5.2
ELP 34 /S13,,,BEKAD1,,,5.6
ELP 34 /S7,,,BEKAD1,,,4.8
ELP 35 B,,,BEKAD1,,,5.5
ELP 35 /S4,,,BEKAD1,,,5.8
ELP 40 B,,,BEKAD1,,,5.2
ELP 40 /S9,,,BEKAD1,,,4.1
ELP 41 /S5,,,BEKAD1,,,5.9
ELP 7 /S2,,,BEKAD1,,,4.4
ELP 7 /S7,,,BEKAD1,,,5.8
ELP 8 A,,,BEKAD1,,,4.9
ELP 8 /S3,,,BEKAD1,,,4.1
ELP 9 /S2,,,BEKAD1,,,4.7
ELP 9 /S4,,,BEKAD1,,,4.8
EQX /J [CHA],,,BEKAD1,,,5.2
EQX /Z [CHA],,,BEKAD1,,,5.6
EQX 3164 [CHA],,,BEKAD1,,,5.5
EQX 69 [EQX],,,BEKAD1,,,5.5
FSC 13,,,BEKAD1,,,6.4
G 8 [GET],,,BEKAD1,,,7.5
GA 11 [HAI],,,BEKAD1,,,5.2
GC T 998 /2,,,BEKAD1,,,5.7
GC T 998 /59,,,BEKAD1,,,6.1
GC T 998 /60,,,BEKAD1,,,5.7
GC T 998 /66,,,BEKAD1,,,5.3
GC T 998 /76,,,BEKAD1,,,5.2
GC T 998 /96,,,BEKAD1,,,7.6
GC T 999 /59,,,BEKAD1,,,5.8
GDL 1,,,BEKAD1,,,4.7
GDL 11,,,BEKAD1,,,5.2
GDL 2,,,BEKAD1,,,5.3
GDL 3,,,BEKAD1,,,6.4
GDL 7,,,BEKAD1,,,5.2
GNV 22,,,BEKAD1,,,5.1
GS 1,,,BEKAD1,,,5.7
GS 10,,,BEKAD1,,,4.7
GS 12,,,BEKAD1,,,6.7
GS 13,,,BEKAD1,,,6.5
GS 15,,,BEKAD1,,,6.4
GS 16,,,BEKAD1,,,6.0
GS 26,,,BEKAD1,,,4.7
GS 29,,,BEKAD1,,,12.0
GS 32,,,BEKAD1,,,4.7
GS 36,,,BEKAD1,,,5.4
GS 37,,,BEKAD1,,,8.4
GS 39,,,BEKAD1,,,6.4
GS 4,,,BEKAD1,,,4.7
GS 45,,,BEKAD1,,,6.3
GS 48,,,BEKAD1,,,5.7
GS 50,,,BEKAD1,,,4.2
GS 53,,,BEKAD1,,,4.5
GS 55,,,BEKAD1,,,5.5
GS 58,,,BEKAD1,,,6.6
GS 59,,,BEKAD1,,,6.1
GS 6,,,BEKAD1,,,6.8
GS 60,,,BEKAD1,,,5.9
GS 61,,,BEKAD1,,,7.9
GS 62,,,BEKAD1,,,6.6
GS 66,,,BEKAD1,,,5.7
GS 67,,,BEKAD1,,,5.7
GS 70,,,BEKAD1,,,5.5
GS 74,,,BEKAD1,,,5.5
GS 76,,,BEKAD1,,,6.3
GS 77,,,BEKAD1,,,4.4
GS 78,,,BEKAD1,,,5.4
GS 79,,,BEKAD1,,,5.4
GU 114 /P,,,BEKAD1,,,5.4
GU 133 /C,,,BEKAD1,,,4.3
GU 144 /C,,,BEKAD1,,,4.5
GU 151 /F,,,BEKAD1,,,6.3
GU 154 /C,,,BEKAD1,,,4.6
GU 168 /H,,,BEKAD1,,,5.1
GU 169,,,BEKAD1,,,4.9
GU 175 /P,,,BEKAD1,,,5.1
GU 192,,,BEKAD1,,,4.6
GU 195 /P,,,BEKAD1,,,5.2
GU 202 /A,,,BEKAD1,,,4.2
GU 207 /H,,,BEKAD1,,,4.7
GU 215 /A,,,BEKAD1,,,4.9
GU 219 /F,,,BEKAD1,,,7.4
GU 222,,,BEKAD1,,,4.0
GU 241 /P,,,BEKAD1,,,5.7
GU 243 /H,,,BEKAD1,,,5.3
GU 255 /P,,,BEKAD1,,,6.2
GU 255 /V,,,BEKAD1,,,6.5
GU 259 /C,,,BEKAD1,,,4.9
GU 261 /P,,,BEKAD1,,,5.6
GU 265 /P,,,BEKAD1,,,5.7
GU 271 /P,,,BEKAD1,,,6.6
GU 277 /G,,,BEKAD1,,,5.3
GU 286 /P,,,BEKAD1,,,5.7
GU 300 /P,,,BEKAD1,,,4.5
GU 305 /P,,,BEKAD1,,,4.7
GU 307 /F,,,BEKAD1,,,6.0
GU 310 /P,,,BEKAD1,,,5.4
GU 322 /P,,,BEKAD1,,,5.7
GU 335 /P,,,BEKAD1,,,5.3
GU 339 /M,,,BEKAD1,,,6.8
GU 341 /H,,,BEKAD1,,,5.8
GU 351 /P,,,BEKAD1,,,5.3
GU 353 /L,,,BEKAD1,,,5.8
ICA 70 [COL],,,BEKAD1,,,5.2
ICS 1,,,BEKAD1,,,5.7
ICS 10,,,BEKAD1,,,5.3
ICS 100,,,BEKAD1,,,4.8
ICS 111,,,BEKAD1,,,3.9
ICS 12,,,BEKAD1,,,5.2
ICS 14,,,BEKAD1,,,7.2
ICS 15,,,BEKAD1,,,5.6
ICS 16,,,BEKAD1,,,5.6
ICS 17,,,BEKAD1,,,4.3
ICS 18,,,BEKAD1,,,6.1
ICS 2,,,BEKAD1,,,4.6
ICS 20,,,BEKAD1,,,5.5
ICS 22,,,BEKAD1,,,4.6
ICS 24,,,BEKAD1,,,5.5
ICS 25,,,BEKAD1,,,6.2
ICS 26,,,BEKAD1,,,5.4
ICS 27,,,BEKAD1,,,5.0
ICS 3,,,BEKAD1,,,4.9
ICS 30,,,BEKAD1,,,8.6
ICS 35,,,BEKAD1,,,5.4
ICS 36,,,BEKAD1,,,5.3
ICS 39,,,BEKAD1,,,4.6
ICS 4,,,BEKAD1,,,7.2
ICS 40,,,BEKAD1,,,5.5
ICS 41,,,BEKAD1,,,5.7
ICS 42,,,BEKAD1,,,5.5
ICS 43,,,BEKAD1,,,6.3
ICS 45,,,BEKAD1,,,4.6
ICS 46,,,BEKAD1,,,4.8
ICS 47,,,BEKAD1,,,3.9
ICS 48,,,BEKAD1,,,3.9
ICS 49,,,BEKAD1,,,6.1
ICS 5,,,BEKAD1,,,4.9
ICS 53,,,BEKAD1,,,5.9
ICS 57,,,BEKAD1,,,4.6
ICS 58,,,BEKAD1,,,6.2
ICS 59,,,BEKAD1,,,4.4
ICS 6,,,BEKAD1,,,5.3
ICS 60,,,BEKAD1,,,3.4
ICS 61,,,BEKAD1,,,2.6
ICS 62,,,BEKAD1,,,5.2
ICS 63,,,BEKAD1,,,7.1
ICS 65,,,BEKAD1,,,5.0
ICS 66,,,BEKAD1,,,7.1
ICS 67,,,BEKAD1,,,5.2
ICS 68,,,BEKAD1,,,6.0
ICS 69,,,BEKAD1,,,5.1
ICS 7,,,BEKAD1,,,4.8
ICS 70,,,BEKAD1,,,3.6
ICS 72,,,BEKAD1,,,5.8
ICS 73,,,BEKAD1,,,5.3
ICS 75,,,BEKAD1,,,5.5
ICS 76,,,BEKAD1,,,6.2
ICS 77,,,BEKAD1,,,6.1
ICS 8,,,BEKAD1,,,5.5
ICS 80,,,BEKAD1,,,5.3
ICS 82,,,BEKAD1,,,6.7
ICS 83,,,BEKAD1,,,6.2
ICS 84,,,BEKAD1,,,5.3
ICS 85,,,BEKAD1,,,5.1
ICS 86,,,BEKAD1,,,6.3
ICS 87,,,BEKAD1,,,4.9
ICS 88,,,BEKAD1,,,4.8
ICS 89,,,BEKAD1,,,5.2
ICS 90,,,BEKAD1,,,5.6
ICS 92,,,BEKAD1,,,5.1
ICS 93,,,BEKAD1,,,4.9
ICS 94,,,BEKAD1,,,4.0
ICS 95,,,BEKAD1,,,6.0
ICS 96,,,BEKAD1,,,6.7
ICS 97,,,BEKAD1,,,5.8
ICS 98,,,BEKAD1,,,5.4
ICS 99,,,BEKAD1,,,7.2
IMC 10,,,BEKAD1,,,3.7
IMC 103,,,BEKAD1,,,4.5
IMC 104,,,BEKAD1,,,5.3
IMC 105,,,BEKAD1,,,4.1
IMC 107,,,BEKAD1,,,8.4
IMC 11,,,BEKAD1,,,5.9
IMC 12,,,BEKAD1,,,4.3
IMC 13,,,BEKAD1,,,5.2
IMC 14,,,BEKAD1,,,2.7
IMC 16,,,BEKAD1,,,5.1
IMC 18,,,BEKAD1,,,7.3
IMC 2,,,BEKAD1,,,5.1
IMC 20,,,BEKAD1,,,4.7
IMC 22,,,BEKAD1,,,4.6
IMC 23,,,BEKAD1,,,6.2
IMC 27,,,BEKAD1,,,12.4
IMC 3,,,BEKAD1,,,3.6
IMC 30,,,BEKAD1,,,6.3
IMC 31,,,BEKAD1,,,8.8
IMC 33,,,BEKAD1,,,8.3
IMC 36,,,BEKAD1,,,5.0
IMC 38,,,BEKAD1,,,7.5
IMC 39,,,BEKAD1,,,5.8
IMC 41,,,BEKAD1,,,5.6
IMC 42,,,BEKAD1,,,4.0
IMC 44,,,BEKAD1,,,6.6
IMC 45,,,BEKAD1,,,5.1
IMC 47,,,BEKAD1,,,5.6
IMC 48,,,BEKAD1,,,6.8
IMC 49,,,BEKAD1,,,5.0
IMC 5,,,BEKAD1,,,6.7
IMC 50,,,BEKAD1,,,6.0
IMC 51,,,BEKAD1,,,9.7
IMC 53,,,BEKAD1,,,5.8
IMC 54,,,BEKAD1,,,10.9
IMC 55,,,BEKAD1,,,7.7
IMC 57,,,BEKAD1,,,8.7
IMC 58,,,BEKAD1,,,5.6
IMC 59,,,BEKAD1,,,5.7
IMC 6,,,BEKAD1,,,13.1
IMC 60,,,BEKAD1,,,6.2
IMC 61,,,BEKAD1,,,7.3
IMC 63,,,BEKAD1,,,7.5
IMC 65,,,BEKAD1,,,7.5
IMC 66,,,BEKAD1,,,4.6
IMC 67,,,BEKAD1,,,7.1
IMC 68,,,BEKAD1,,,6.2
IMC 71,,,BEKAD1,,,10.1
IMC 73,,,BEKAD1,,,5.9
IMC 76,,,BEKAD1,,,7.5
IMC 77,,,BEKAD1,,,9.7
IMC 78,,,BEKAD1,,,4.7
IMC 81,,,BEKAD1,,,6.4
IMC 83,,,BEKAD1,,,5.6
IMC 85,,,BEKAD1,,,7.4
IMC 9,,,BEKAD1,,,5.8
IMC 94,,,BEKAD1,,,6.0
IMC 96,,,BEKAD1,,,6.7
IMC 97,,,BEKAD1,,,4.8
IMC 98,,,BEKAD1,,,8.7
