Clone name,Female parent,Male parent,Station,Country,Year,Status,Refcode,Region,Scale,Info,Producer,Parent
CEPROGPS-6C,-,-,CEPROGPLANSE,Dominican Republic,,,BAT09A,,,,,
-,ICS 1,ML105,"Dominican Republic, Instituto Dominicano de Investigaciones Agropecuarias y Forestales (IDIAF)",Dominican Republic,,,BAT09A,,,,,
-,ICS40,ML106,"Dominican Republic, Instituto Dominicano de Investigaciones Agropecuarias y Forestales (IDIAF)",Dominican Republic,,,BAT09A,,,,,
-,ICS 95,ML105,"Dominican Republic, Instituto Dominicano de Investigaciones Agropecuarias y Forestales (IDIAF)",Dominican Republic,,,BAT09A,,,,,
-,UF221,ML106,"Dominican Republic, Instituto Dominicano de Investigaciones Agropecuarias y Forestales (IDIAF)",Dominican Republic,,,BAT09A,,,,,
-,UF221,ML105,"Dominican Republic, Instituto Dominicano de Investigaciones Agropecuarias y Forestales (IDIAF)",Dominican Republic,,,BAT09A,,,,,
-,UF296,CC10,"Dominican Republic, Instituto Dominicano de Investigaciones Agropecuarias y Forestales (IDIAF)",Dominican Republic,,,BAT09A,,,,,
-,UF 613,CC10,"Dominican Republic, Instituto Dominicano de Investigaciones Agropecuarias y Forestales (IDIAF)",Dominican Republic,,,BAT09A,,,,,
-,UF676,ICS40,"Dominican Republic, Instituto Dominicano de Investigaciones Agropecuarias y Forestales (IDIAF)",Dominican Republic,,,BAT09A,,,,,
-,UF 677,ML105,"Dominican Republic, Instituto Dominicano de Investigaciones Agropecuarias y Forestales (IDIAF)",Dominican Republic,,,BAT09A,,,,,
-,CC 10,ML105,"Dominican Republic, Instituto Dominicano de Investigaciones Agropecuarias y Forestales (IDIAF)",Dominican Republic,,,BAT09A,,,,,
Theobahia,SCA6,ICS1,"Brazil, Comissão Executiva do Plano da Lavoura Cacaueira/Centro de Pesquisas do Cacau (CEPLAC/CEPEC)",Brazil,1995,,LIM13A,Bahia,,,,
,IMC67,OC 61,,Venezuela,1960-70s,historic,GON10A,,,,,
,IMC67,OC67,,Venezuela,1960-70s,historic,GON10A,,,,,
,IMC67,ICS6,,Venezuela,1960-70s,historic,GON10A,,,,,
,IMC11,OC 61,,Venezuela,1960-70s,historic,GON10A,,,,,
,IMC11,OC67,,Venezuela,1960-70s,historic,GON10A,,,,,
,IMC11,ICS6,,Venezuela,1960-70s,historic,GON10A,,,,,
CEPEC 41,,,,Brazil,1995-2014,-,LOP11A,Bahia,,,,
EET 397 [ECU],,,,Brazil,1995-2014,-,LOP11A,Bahia,,,,
TSH 1188,,,,Brazil,1995-2014,-,LOP11A,Bahia,,,,
TSH 516,,,,Brazil,1995-2014,-,LOP11A,Bahia,,,,
TSH 565,,,,Brazil,1995-2014,-,LOP11A,Bahia,,,,
TSA 654,,,,Brazil,1998-2014,-,LOP11A,Bahia,,,,
TSA 656,,,,Brazil,1998-2014,-,LOP11A,Bahia,,,,
TSAN 792,,,,Brazil,1998-2014,-,LOP11A,Bahia,,,,
TSH 774,,,,Brazil,1998-2014,-,LOP11A,Bahia,,,,
VB 900,,,,Brazil,2001-2014,-,LOP11A,Bahia,,,,
VB 1151,,,,Brazil,2002-2014,-,LOP11A,Bahia,,,,
CEPEC 2003,,,,Brazil,2002-2014,-,LOP11A,Bahia,,,,
CEPEC 2004,,,,Brazil,2002-2014,-,LOP11A,Bahia,,,,
CEPEC 2005,,,,Brazil,2002-2014,-,LOP11A,Bahia,,,,
CEPEC 2006,,,,Brazil,2002-2014,-,LOP11A,Bahia,,,,
VB 681,,,,Brazil,2002-2014,-,LOP11A,Bahia,,,,
VB 547,,,,Brazil,2002-2014,-,LOP11A,Bahia,,,,
VB 663,,,,Brazil,2002-2014,-,LOP11A,Bahia,,,,
VB 514,,,,Brazil,2002-2014,-,LOP11A,Bahia,,,,
VB 892,,,,Brazil,2002-2014,-,LOP11A,Bahia,,,,
CCN 10,,,,Brazil,2003 onwards,current,LOP11A,Bahia,,,,
CCN 51,,,,Brazil,2003 onwards,current,LOP11A,Bahia,,,,
CP 38 [BRA],,,,Brazil,2003-2014,-,LOP11A,Bahia,,,,
CP 39 [BRA],,,,Brazil,2003-2014,-,LOP11A,Bahia,,,,
CP 40 [BRA],,,,Brazil,2003-2014,-,LOP11A,Bahia,,,,
CP 49 [BRA],,,,Brazil,2003 onwards,current,LOP11A,Bahia,,,,
CP 53 [BRA],,,,Brazil,2003-2014,-,LOP11A,Bahia,,,,
EET 392 [ECU],,,,Brazil,2003-2014,-,LOP11A,Bahia,,,,
PH 16 [BRA],,,,Brazil,2003 onwards,current,LOP11A,Bahia,,,,
VB 276,,,,Brazil,2003-2014,-,LOP11A,Bahia,,,,
VB 515,,,,Brazil,2003 -2014,-,LOP11A,Bahia,,,,
VB 679,,,,Brazil,2003 -2014,-,LOP11A,Bahia,,,,
PS 13-19,,,,Brazil,2004 onwards,current,LOP11A,Bahia,,,,
RV-ID 8,,,,Brazil,2004-2014,-,LOP11A,Bahia,,,,
SJ 2 [BRA],,,,Brazil,2004 onwards,current,LOP11A,Bahia,,,,
CA 1.4 [BRA],,,,Brazil,2006 -2014,-,LOP11A,Bahia,,,,
CCN 16,,,,Brazil,2006 -2014,-,LOP11A,Bahia,,,,
Ipiranga 1,,,,Brazil,2006 onwards,current,LOP11A,Bahia,,,,
PH 9 [BRA],,,,Brazil,2007 onwards,current,LOP11A,Bahia,,,,
SJ 2 [BRA],,,,Brazil,2014 onwards,current,CEP14A,Bahia,Large-scale,,,
VB 1151,,,,Brazil,2014 onwards,current,CEP14A,Bahia,Large-scale,,,
CCN 51,,,,Brazil,2014 onwards,current,CEP14A,Bahia,Large-scale,,,
PS 13-19,,,,Brazil,2014 onwards,current,CEP14A,Bahia,Large-scale,,,
PH 16 [BRA],,,,Brazil,2014 onwards,current,CEP14A,Bahia,Large-scale,,,
CP 49 [BRA],,,,Brazil,2014 onwards,current,CEP14A,Bahia,Large-scale,,,
VB 681,,,,Brazil,2014 onwards,current,CEP14A,Bahia,Large-scale,,,
Ipiranga 1,,,,Brazil,2014 onwards,current,CEP14A,Bahia,Large-scale,,,
FA 13,,,,Brazil,2014 onwards,current,CEP14A,Bahia,Small-scale (trial plantings),,,
Vencedora 20,,,,Brazil,2014 onwards,current,CEP14A,Bahia,Small-scale (trial plantings),,,
PH 9 [BRA],,,,Brazil,2014 onwards,current,CEP14A,Bahia,Small-scale (trial plantings),,,
CCN 10,,,,Brazil,2014 onwards,current,CEP14A,Bahia,Small-scale (trial plantings),,,
Salobrinho 3,,,,Brazil,2014 onwards,current,CEP14A,Bahia,Small-scale (trial plantings),,,
LP 6 [BRA],,,,Brazil,2014 onwards,current,CEP14A,Bahia,Small-scale (trial plantings),,,
PH 15 [BRA],,,,Brazil,2014 onwards,current,CEP14A,Bahia,Small-scale (trial plantings),,,
BJ 11,,,,Brazil,2014 onwards,current,CEP14A,Bahia,Small-scale (trial plantings),,,
CATIE-R1,,,"Costa Rica, Centro Agronómico Tropical de Investigación y Enseñanza (CATIE)","PAN,CRI,NIC,HND,GTM,BLZ",,,PHI13A,,,Recommended for commerial planting in Central America.,,
CATIE-R4,,,"Costa Rica, Centro Agronómico Tropical de Investigación y Enseñanza (CATIE)","PAN,CRI,NIC,HND,GTM,BLZ",,,PHI13A,,,Recommended for commerial planting in Central America.,,
CATIE-R6,,,"Costa Rica, Centro Agronómico Tropical de Investigación y Enseñanza (CATIE)","PAN,CRI,NIC,HND,GTM,BLZ",,,PHI13A,,,Recommended for commerial planting in Central America.,,
CC 137,,,"Costa Rica, Centro Agronómico Tropical de Investigación y Enseñanza (CATIE)","PAN,CRI,NIC,HND,GTM,BLZ",,,PHI13A,,,Recommended for commerial planting in Central America.,,
ICS 95,,,"Costa Rica, Centro Agronómico Tropical de Investigación y Enseñanza (CATIE)","PAN,CRI,NIC,HND,GTM,BLZ",,,PHI13A,,,Recommended for commerial planting in Central America.,,
