Clone name,Accession,Light saturated photosynthetic rate,Stomatal conductance,Transpiration rate,Intrinsic water use efficiency,Instantaneous water use efficiency,Flush size,Leaf area,Leaf dry weight,Specific leaf area,Refcode
PA 120 [PER],RUQ 852,2.93,0.05,0.68,71.74,4.39,4,303.3,1.89,162.7,LAH17A
PA 121 [PER],RUQ 1059,4.17,0.09,1.26,62.82,3.76,5,328.7,2.15,156.8,LAH17A
PA 124 [PER],RUQ 1576,4.35,0.09,1.09,48.21,4.05,4,251.9,1.49,169.7,LAH17A
PA 13 [PER],RUQ 1575,4.44,0.09,1.22,46.17,3.47,6,280.2,1.78,159.2,LAH17A
PA 136 [PER],RUQ 1131,3.58,0.08,0.88,52.13,4.34,3,236.6,1.51,161.7,LAH17A
PA 137 [PER],RUQ 1081/RUQ 36,4.9,0.09,1.3,54.98,3.7,6,251.7,1.56,161.9,LAH17A
PA 156 [PER],RUQ 1531,6.02,0.17,2.02,38.01,3.0,7,417.2,2.24,188.0,LAH17A
PA 169 [PER],RUQ 1479,5.9,0.1,1.26,65.2,4.73,5,265.0,1.65,165.1,LAH17A
PA 175 [PER],RUQ 37,2.51,0.05,0.81,50.96,3.43,3,155.0,0.97,162.2,LAH17A
PA 195 [PER],RUQ 1642,3.76,0.08,1.08,52.1,3.85,3,282.9,1.74,163.6,LAH17A
PA 299 [PER],RUQ 1621,5.82,0.11,1.39,57.71,4.13,4,245.2,1.59,154.8,LAH17A
PA 30 [PER],RUQ 1635,5.24,0.13,1.53,43.75,3.5,5,291.7,1.6,187.4,LAH17A
PA 303 [PER],RUQ 1372,5.75,0.14,1.61,46.14,3.64,4,259.7,1.52,174.6,LAH17A
PA 39 [PER],RUQ 1567,5.95,0.18,1.91,35.44,3.11,5,349.8,2.04,171.4,LAH17A
PA 4 [PER],RUQ 1058,3.77,0.06,1.05,66.18,4.02,4,213.4,1.63,136.2,LAH17A
PA 56 [PER],RUQ 32,1.74,0.04,0.64,46.81,2.51,5,166.8,1.16,146.4,LAH17A
PA 67 [PER],RUQ 590,6.81,0.16,1.94,42.55,3.52,4,250.8,1.61,161.2,LAH17A
PA 7 [PER],RUQ 113,5.76,0.11,1.54,52.63,3.79,6,247.9,1.41,176.9,LAH17A
PA 70 [PER],RUQ 33,3.26,0.06,0.88,64.66,3.72,4,189.8,1.45,133.9,LAH17A
PA 71 [PER],RUQ 1564,5.25,0.12,1.34,61.01,4.12,6,375.1,2.44,156.2,LAH17A
PA 88 [PER],RUQ 34,2.63,0.05,0.68,67.67,4.03,4,200.0,1.28,158.9,LAH17A
PBC 123,RUQ 1499,6.08,0.11,1.48,62.02,4.13,5,269.7,1.94,140.1,LAH17A
PLAYA ALTA 2 [VEN],RUQ 232,2.9,0.06,0.68,77.67,4.53,3,252.6,1.87,137.0,LAH17A
PNG 10,RUQ 1314,1.37,0.05,0.56,51.71,2.74,5,240.2,1.78,135.0,LAH17A
PNG 110,RUQ 1288,4.96,0.09,1.26,63.78,4.08,5,290.3,2.2,132.8,LAH17A
PNG 138,RUQ 1354,4.96,0.08,1.18,73.13,4.66,4,287.3,1.91,151.4,LAH17A
PNG 139,RUQ 1355,2.3,0.05,0.81,51.4,2.82,4,302.5,1.73,178.4,LAH17A
PNG 155,RUQ 1290,5.08,0.1,1.31,56.73,3.89,4,290.9,1.82,160.7,LAH17A
PNG 197,RUQ 1291,5.07,0.1,1.36,64.64,4.02,5,216.5,1.35,163.3,LAH17A
PNG 210,RUQ 1292,6.02,0.11,1.55,58.29,3.98,4,295.8,1.86,160.0,LAH17A
PNG 218,RUQ 1294,5.03,0.1,1.29,47.64,3.48,5,302.7,2.06,147.7,LAH17A
PNG 296,RUQ 1299,6.51,0.12,1.79,55.49,3.6,5,451.9,2.94,157.8,LAH17A
PNG 336,RUQ 1321,5.38,0.1,1.39,53.67,4.08,4,277.2,1.9,146.0,LAH17A
PNG 340,RUQ 1304,4.95,0.11,1.11,49.74,4.58,5,310.1,1.84,171.8,LAH17A
PNG 360,RUQ 1358,4.68,0.11,1.08,46.39,4.41,7,286.3,1.72,166.8,LAH17A
PNG 386,RUQ 1306,3.79,0.08,0.79,48.45,4.82,6,305.8,2.07,148.0,LAH17A
PNG 414,RUQ 1308,5.0,0.11,1.12,49.47,4.59,4,320.8,2.07,156.1,LAH17A
POR 3 [TTO],RUQ 1062,5.07,0.12,1.26,48.54,4.41,4,301.4,1.62,190.9,LAH17A
POUND 12 /A,RUQ 1458,3.6,0.09,1.08,41.15,3.41,7,337.5,2.66,128.5,LAH17A
POUND 16 /A,RUQ 26,6.38,0.15,1.94,43.33,3.29,4,222.4,1.24,183.1,LAH17A
POUND 16 /B,RUQ 804,4.58,0.08,1.27,57.68,3.68,4,245.0,1.66,148.9,LAH17A
POUND 18,RUQ 874,5.7,0.09,1.26,65.03,4.43,4,320.1,2.04,158.0,LAH17A
POUND 18 /A,RUQ 1061,3.54,0.07,0.91,50.8,3.93,5,319.0,2.03,158.9,LAH17A
POUND 7 /B,RUQ 24,6.68,0.16,1.83,42.49,3.76,4,250.9,1.68,153.7,LAH17A
RB 29 [BRA],RUQ 129,6.42,0.13,1.47,48.87,4.35,6,302.0,1.79,171.8,LAH17A
RB 33 /3 [BRA],RUQ 40,4.19,0.06,0.84,75.55,4.95,4,238.5,1.93,124.6,LAH17A
RB 46 [BRA],RUQ 134,5.07,0.1,1.11,52.16,4.86,6,270.1,2.08,131.9,LAH17A
RB 49 [BRA],RUQ 136,3.43,0.06,0.68,59.82,5.31,4,242.9,1.92,127.1,LAH17A
REDAMEL 1 /27,RUQ 339,2.29,0.04,0.56,59.41,4.08,4,200.5,1.43,142.5,LAH17A
RIM 189 [MEX],RUQ 310,2.48,0.05,0.68,108.5,4.67,3,256.7,1.78,143.4,LAH17A
RIM 39 [MEX],RUQ 487,5.57,0.09,1.19,69.14,4.91,2,228.5,1.65,139.7,LAH17A
GU 168 /H,RUQ 223,4.39,0.08,1.06,54.11,4.15,4,209.9,1.6,131.9,LAH17A
SC 1 [UNK],RUQ 41,4.93,0.1,1.08,70.47,4.73,4,248.9,2.07,120.9,LAH17A
SC 9 [UNK],RUQ 44,2.91,0.05,0.73,64.9,3.92,5,224.9,1.75,131.2,LAH17A
SCA 11,RUQ 1686/RUQ 374,4.25,0.07,0.91,63.9,4.71,3,191.2,1.04,185.5,LAH17A
SCA 12,RUQ 1689,5.29,0.07,1.1,72.55,4.99,3,208.3,1.24,168.7,LAH17A
SCA 6,RUQ 234,3.99,0.06,0.97,72.4,4.25,2,143.5,0.84,182.0,LAH17A
SCA 9,RUQ 1064,4.57,0.12,1.1,56.51,4.3,4,272.8,1.9,145.1,LAH17A
SIAL 339,RUQ 48,3.55,0.05,0.68,79.46,5.21,3,162.5,1.2,136.5,LAH17A
SILECIA 5 [ECU],RUQ 1349,5.58,0.11,1.2,67.03,4.83,5,198.0,1.55,130.2,LAH17A
SJ 1 /40 [POU],RUQ 1438,5.34,0.08,1.12,72.31,4.88,3,240.5,1.46,166.7,LAH17A
SLA 16,RUQ 1092,5.88,0.11,1.25,54.72,4.4,5,252.5,1.71,150.5,LAH17A
SLC 18,RUQ 1134,4.25,0.06,0.85,72.99,4.8,4,248.0,1.69,148.2,LAH17A
SLC 19,RUQ 1664,5.1,0.08,1.08,70.76,4.86,5,239.2,1.46,169.3,LAH17A
SNK 413,RUQ 854,5.05,0.09,1.19,58.39,4.32,5,262.1,2.05,129.2,LAH17A
SPA 16 [COL],RUQ 691,2.85,0.08,0.91,44.93,3.28,3,280.3,1.82,155.8,LAH17A
