Clone name,Plant,NCS,Population,Coeff cl,Subcluster,Coeff scl,Refcode
AGU 17 [CHA],-,1.0,Curaray,0.931,Coca R - Napo R,0.626,JCM10A
AGU 22 [CHA],-,1.0,Curaray,0.86,Coca R - Napo R,0.536,JCM10A
AGU 31 [CHA],-,1.0,Curaray,0.964,Curaray R - Napo R,0.690,JCM10A
AGU 5 [CHA],-,1.0,Curaray,0.991,Coca R - Napo R,0.985,JCM10A
AGU 8 [CHA],-,1.0,Curaray,0.558,n-a,-,JCM10A
AM 1 /57 [POU],-,1.0,Iquitos,0.996,IMC I,0.998,JCM10A
AMAZ 1 /5,-,2.0,Iquitos,0.751,Amazonas,0.942,JCM10A
AMAZ 10,-,2.0,Iquitos,0.73,Amazonas,0.994,JCM10A
AMAZ 11,-,2.0,Iquitos,0.567,n-a,-,JCM10A
AMAZ 12,-,1.0,Iquitos,0.682,n-a,-,JCM10A
AMAZ 13,-,2.0,Iquitos,0.735,all,0.966,JCM10A
AMAZ 14,-,2.0,Iquitos,0.77,all,0.990,JCM10A
AMAZ 14,-,2.0,Iquitos,0.8,Amazonas,0.989,JCM10A
AMAZ 15 /15,-,1.0,Iquitos,0.818,Amazonas,0.888,JCM10A
AMAZ 2,-,2.0,Iquitos,0.725,all,0.997,JCM10A
AMAZ 4,-,1.0,Iquitos,0.756,Amazonas,0.879,JCM10A
AMAZ 5 /2,-,2.0,Iquitos,0.777,Amazonas,0.998,JCM10A
AMAZ 9,-,3.0,Iquitos,0.495,n-a,-,JCM10A
AMELONADO 1 [MAY],-,2.0,Amelonado,0.987,Amelonado Type I,0.996,JCM10A
AMELONADO 2 [MAY],-,2.0,Amelonado,0.997,Amelonado Type I,0.976,JCM10A
B 3 [BLZ],-,1.0,Criollo,0.997,Lacandona,0.478,JCM10A
B 48 [BLZ],-,1.0,Criollo,0.992,Belize,0.953,JCM10A
Borne 7-A-2,-,2.0,Guiana,0.991,Camopi R - Euleupousing R,0.703,JCM10A
Borne 7-A-6,-,2.0,Guiana,0.997,Camopi R - Euleupousing R,0.685,JCM10A
Borne 7-B-2,-,2.0,Guiana,0.997,Camopi R,0.558,JCM10A
Borne 7-B-3,-,2.0,Guiana,0.994,Camopi R - Euleupousing R,0.960,JCM10A
Borne 7-B-4,-,2.0,Guiana,0.997,Camopi R - Euleupousing R,0.982,JCM10A
Borne 7-B-5,-,2.0,Guiana,0.997,Camopi R - Euleupousing R,0.508,JCM10A
BE 10,1,2.0,Amelonado,0.703,Amelonado Type III,0.890,JCM10A
BE 2,1,2.0,Amelonado,0.521,n-a,-,JCM10A
BE 3,6,2.0,Amelonado,0.646,n-a,-,JCM10A
BE 4,3,2.0,Amelonado,0.827,Amelonado Type III,0.879,JCM10A
BE 5,2,2.0,Amelonado,0.976,Amelonado Type II,0.453,JCM10A
BE 7,7,2.0,Amelonado,0.971,Amelonado Type I,0.664,JCM10A
BE 8,2,3.0,Amelonado,0.281,n-a,-,JCM10A
BE 9,1,1.0,Maranon,0.639,n-a,-,JCM10A
BEN 1 [VEN],-,1.0,Criollo,0.996,Santa Marta,0.730,JCM10A
BEN 5 [VEN],-,1.0,Criollo,0.998,Santa Marta,0.950,JCM10A
BOB 8 [CHA],2,2.0,Nacional,0.551,n-a,-,JCM10A
C SUL 1,2,1.0,Iquitos,0.536,n-a,-,JCM10A
C SUL 10,1,1.0,Iquitos,0.528,n-a,-,JCM10A
C SUL 5,1,3.0,Purus,0.521,n-a,-,JCM10A
C SUL 9,2,3.0,Purus,0.453,n-a,-,JCM10A
CA S 5,-,1.0,Criollo,0.998,Lacandona,0.795,JCM10A
CAB 122,2,1.0,Purus,0.996,Caete R - Purus R,0.985,JCM10A
CAB 123,2,1.0,Purus,0.987,Caete R - Purus R,0.989,JCM10A
CAB 124,3,1.0,Purus,0.99,Caete R - Purus R,0.992,JCM10A
CAB 126,2,2.0,Maranon,0.495,n-a,-,JCM10A
CAB 127,2,1.0,Purus,0.996,Caete R - Purus R,0.990,JCM10A
CAB 128,4,1.0,Purus,0.996,Caete R - Purus R,0.990,JCM10A
CAB 130,2,1.0,Purus,0.99,Caete R - Purus R,0.991,JCM10A
CAB 131,2,1.0,Purus,0.989,Caete R - Purus R,0.983,JCM10A
CAB 132,1,1.0,Purus,0.996,Caete R - Purus R,0.977,JCM10A
CAB 145,1,1.0,Purus,0.993,Acre R,0.946,JCM10A
CAB 146,2,1.0,Purus,0.996,Acre R,0.994,JCM10A
CAB 147,1,1.0,Purus,0.988,Acre R,0.946,JCM10A
CAB 148,2,1.0,Purus,0.977,Acre R,0.993,JCM10A
CAB 149,2,1.0,Purus,0.991,Acre R,0.990,JCM10A
CAB 150,4,1.0,Purus,0.915,Acre R,0.993,JCM10A
CAB 151,6,1.0,Purus,0.986,Acre R,0.873,JCM10A
CAB 152,3,1.0,Purus,0.99,Acre R,0.990,JCM10A
CAB 153,2,1.0,Purus,0.993,Acre R,0.996,JCM10A
CAB 154,4,1.0,Purus,0.99,Acre R,0.816,JCM10A
CAB 155,4,1.0,Purus,0.971,Acre R,0.976,JCM10A
CAB 156,7,1.0,Purus,0.993,Acre R,0.895,JCM10A
CAB 16,2,2.0,Amelonado,0.871,Amelonado Type III,0.575,JCM10A
CAB 17,4,1.0,Maranon,0.574,n-a,-,JCM10A
CAB 18,3,1.0,Maranon,0.59,n-a,-,JCM10A
CAB 181,1,2.0,Purus,0.465,n-a,-,JCM10A
CAB 182,4,2.0,Purus,0.532,n-a,-,JCM10A
CAB 183,1,2.0,Contamana,0.818,Embira R,0.994,JCM10A
CAB 184,5,2.0,Contamana,0.726,Embira R,0.993,JCM10A
CAB 185,2,2.0,Contamana,0.703,Embira R,0.994,JCM10A
CAB 186,2,2.0,Contamana,0.775,Embira R,0.997,JCM10A
CAB 187,1,2.0,Contamana,0.745,Embira R,0.996,JCM10A
CAB 188,4,2.0,Contamana,0.729,Embira R,0.989,JCM10A
CAB 19,4,1.0,Maranon,0.655,n-a,-,JCM10A
CAB 190,5,2.0,Contamana,0.693,n-a,-,JCM10A
CAB 191,5,1.0,Purus,0.927,Purus R,0.959,JCM10A
CAB 193,4,1.0,Purus,0.924,Purus R,0.936,JCM10A
CAB 194,1,1.0,Purus,0.985,Purus R,0.710,JCM10A
CAB 195,2,1.0,Purus,0.76,Purus R,0.961,JCM10A
CAB 196,4,1.0,Purus,0.992,Purus R,0.884,JCM10A
CAB 197,3,1.0,Purus,0.986,Purus R,0.971,JCM10A
CAB 198,4,1.0,Purus,0.988,Purus R,0.613,JCM10A
CAB 20,3,2.0,Amelonado,0.587,n-a,-,JCM10A
CAB 200,1,1.0,Purus,0.737,all,0.557,JCM10A
CAB 21,3,1.0,Maranon,0.47,n-a,-,JCM10A
CAB 211,1,1.0,Purus,0.981,Caete R - Purus R,0.619,JCM10A
CAB 213,4,1.0,Purus,0.989,Acre R,0.692,JCM10A
CAB 219,3,2.0,Maranon,0.984,Ji - Parana R,0.890,JCM10A
CAB 22,2,1.0,Maranon,0.604,n-a,-,JCM10A
CAB 221,1,2.0,Maranon,0.982,Ji - Parana R,0.958,JCM10A
CAB 224,2,2.0,Maranon,0.791,Ji - Parana R,0.702,JCM10A
CAB 23,1,1.0,Maranon,0.516,n-a,-,JCM10A
CAB 232,7,2.0,Maranon,0.997,Ji - Parana R,0.989,JCM10A
CAB 233,1,2.0,Maranon,0.997,Ji - Parana R,0.989,JCM10A
CAB 234,4,2.0,Maranon,0.992,Ji - Parana R,0.992,JCM10A
CAB 236,6,2.0,Purus,0.57,n-a,-,JCM10A
CAB 24,3,2.0,Amelonado,0.51,n-a,-,JCM10A
CAB 244,9,2.0,Maranon,0.995,Ji - Parana R,0.997,JCM10A
CAB 25,2,1.0,Maranon,0.507,n-a,-,JCM10A
CAB 251,1,2.0,Maranon,0.993,Ji - Parana R,0.918,JCM10A
CAB 253,9,2.0,Maranon,0.996,Ji - Parana R,0.994,JCM10A
CAB 321,1,2.0,Iquitos,0.7,Middle Solimoes R,0.992,JCM10A
CAB 322,1,2.0,Iquitos,0.717,Middle Solimoes R,0.995,JCM10A
CAB 323,3,2.0,Iquitos,0.677,n-a,-,JCM10A
CAB 324,4,2.0,Iquitos,0.529,n-a,-,JCM10A
CAB 326,4,2.0,Iquitos,0.483,n-a,-,JCM10A
CAB 327,3,2.0,Iquitos,0.684,n-a,-,JCM10A
CAB 328,10,2.0,Iquitos,0.672,n-a,-,JCM10A
CAB 329,4,2.0,Iquitos,0.709,Middle Solimoes R,0.997,JCM10A
CAB 330,9,2.0,Iquitos,0.674,n-a,-,JCM10A
CAB 331,4,2.0,Iquitos,0.782,Middle Solimoes R,0.995,JCM10A
CAB 334,4,3.0,Purus,0.803,Upper Solimoes R - Ica R,0.814,JCM10A
CAB 335,6,2.0,Amelonado,0.557,n-a,-,JCM10A
CAB 336,3,3.0,Purus,0.77,Upper Solimoes R - Ica R,0.956,JCM10A
CAB 339,1,3.0,Purus,0.831,Upper Solimoes R - Ica R,0.970,JCM10A
CAB 340,2,2.0,Purus,0.826,Upper Solimoes R - Ica R,0.992,JCM10A
CAB 341,2,3.0,Purus,0.819,Upper Solimoes R - Ica R,0.985,JCM10A
CAB 342,1,2.0,Purus,0.823,Upper Solimoes R - Ica R,0.997,JCM10A
CAB 343,3,3.0,Purus,0.83,Upper Solimoes R - Ica R,0.950,JCM10A
CAB 344,1,2.0,Purus,0.644,n-a,-,JCM10A
CAB 345,2,2.0,Purus,0.622,n-a,-,JCM10A
CAB 349,3,1.0,Iquitos,0.509,n-a,-,JCM10A
CAB 352,1,1.0,Iquitos,0.698,IMC I,0.531,JCM10A
CAB 353,2,1.0,Iquitos,0.509,n-a,-,JCM10A
CAB 355,2,3.0,Purus,0.886,all,0.995,JCM10A
CAB 356,2,2.0,Amelonado,0.529,n-a,-,JCM10A
CAB 357,3,3.0,Purus,0.825,all,0.955,JCM10A
CAB 359,3,1.0,Iquitos,0.543,n-a,-,JCM10A
CAB 36,3,2.0,Amelonado,0.807,Amelonado Type III,0.977,JCM10A
CAB 360,1,3.0,Purus,0.855,Upper Solimoes R - Ica R,0.529,JCM10A
CAB 362,5,3.0,Purus,0.884,Upper Solimoes R - Ica R,0.521,JCM10A
CAB 363,4,3.0,Purus,0.821,Upper Solimoes R - Ica R,0.500,JCM10A
CAB 364,2,2.0,Purus,0.814,Upper Solimoes R - Ica R,0.811,JCM10A
CAB 365,4,2.0,Purus,0.728,Upper Solimoes R - Ica R,0.984,JCM10A
CAB 366,1,2.0,Amelonado,0.511,n-a,-,JCM10A
CAB 367,3,1.0,Iquitos,0.511,n-a,-,JCM10A
CAB 368,1,2.0,Purus,0.784,Upper Solimoes R - Ica R,0.975,JCM10A
CAB 369,3,2.0,Purus,0.807,Upper Solimoes R - Ica R,0.974,JCM10A
CAB 39,9,2.0,Amelonado,0.994,Amelonado Type III,0.564,JCM10A
CAB 422,2,2.0,Maranon,0.978,Ji - Parana R,0.995,JCM10A
CAB 440,1,2.0,Maranon,0.983,Ji - Parana R,0.995,JCM10A
CAB 445,2,2.0,Maranon,0.995,Ji - Parana R,0.992,JCM10A
CAB 448,1,2.0,Maranon,0.99,Ji - Parana R,0.997,JCM10A
CAB 450,1,2.0,Maranon,0.944,Ji - Parana R,0.992,JCM10A
CAB 452,3,2.0,Maranon,0.923,Ji - Parana R,0.990,JCM10A
CAB 458,1,2.0,Maranon,0.996,Ji - Parana R,0.996,JCM10A
CAB 459,1,2.0,Maranon,0.879,Ji - Parana R,0.991,JCM10A
CAB 466,3,2.0,Maranon,0.985,Ji - Parana R,0.993,JCM10A
CAB 467,3,2.0,Maranon,0.995,Ji - Parana R,0.994,JCM10A
CAB 475,3,2.0,Purus,0.605,n-a,-,JCM10A
CAB 478,1,2.0,Amelonado,0.507,n-a,-,JCM10A
CAB 481,2,2.0,Purus,0.612,n-a,-,JCM10A
CAB 484,1,2.0,Purus,0.592,n-a,-,JCM10A
CAB 487,2,2.0,Purus,0.701,all,0.987,JCM10A
CAB 488,4,2.0,Purus,0.678,n-a,-,JCM10A
CAB 493,3,2.0,Purus,0.659,n-a,-,JCM10A
CAB 495,1,2.0,Purus,0.626,n-a,-,JCM10A
CAB 496,2,2.0,Purus,0.465,n-a,-,JCM10A
CAB 514,1,2.0,Purus,0.486,n-a,-,JCM10A
CAB 516,3,2.0,Iquitos,0.527,n-a,-,JCM10A
CAB 517,2,2.0,Iquitos,0.73,Middle Solimoes R,0.996,JCM10A
CAB 518,1,2.0,Iquitos,0.727,Middle Solimoes R,0.998,JCM10A
CAB 519,3,2.0,Iquitos,0.653,n-a,-,JCM10A
CAB 521,2,2.0,Iquitos,0.697,Middle Solimoes R,0.995,JCM10A
CAB 527,1,2.0,Iquitos,0.657,n-a,-,JCM10A
CAB 529,3,2.0,Iquitos,0.693,n-a,-,JCM10A
CAB 531,2,2.0,Iquitos,0.453,n-a,-,JCM10A
CAB 532,5,2.0,Iquitos,0.572,n-a,-,JCM10A
CAB 6,3,1.0,Maranon,0.508,n-a,-,JCM10A
CAB 63,1,1.0,Purus,0.951,Caete R - Purus R,0.937,JCM10A
CAB 64,1,1.0,Purus,0.992,Caete R - Purus R,0.993,JCM10A
CAB 66,1,3.0,Iquitos,0.326,n-a,-,JCM10A
CAB 67,2,1.0,Purus,0.981,Caete R - Purus R,0.978,JCM10A
CAB 68,3,1.0,Purus,0.994,Caete R - Purus R,0.896,JCM10A
CAB 69,2,1.0,Purus,0.995,Caete R - Purus R,0.984,JCM10A
CAB 70,2,1.0,Purus,0.996,Caete R - Purus R,0.985,JCM10A
CAB 71,3,1.0,Purus,0.994,Caete R - Purus R,0.986,JCM10A
CAB 72,2,1.0,Purus,0.995,Caete R - Purus R,0.936,JCM10A
CAB 728,3,2.0,Amelonado,0.992,Uatama R,0.998,JCM10A
CAB 729,2,2.0,Amelonado,0.994,Uatama R,0.998,JCM10A
CAB 730,1,2.0,Amelonado,0.993,Uatama R,0.998,JCM10A
CAB 731,1,2.0,Amelonado,0.993,Uatama R,0.998,JCM10A
CAB 732,1,2.0,Amelonado,0.994,Uatama R,0.998,JCM10A
CAB 733,2,2.0,Amelonado,0.989,Uatama R,0.998,JCM10A
CAB 734,1,2.0,Amelonado,0.993,Uatama R,0.998,JCM10A
CAB 735,5,2.0,Amelonado,0.948,Uatama R,0.998,JCM10A
CAB 745,2,2.0,Maranon,0.993,Ji - Parana R,0.996,JCM10A
CAB 749,1,2.0,Maranon,0.994,Ji - Parana R,0.996,JCM10A
CAB 754,1,2.0,Maranon,0.993,Ji - Parana R,0.997,JCM10A
CAB 756,1,2.0,Maranon,0.994,Ji - Parana R,0.996,JCM10A
CAB 757,1,2.0,Maranon,0.997,Ji - Parana R,0.998,JCM10A
CAB 758,1,2.0,Maranon,0.996,Ji - Parana R,0.996,JCM10A
CAB 76,3,1.0,Purus,0.995,Caete R - Purus R,0.995,JCM10A
CAB 763,1,2.0,Maranon,0.925,Ji - Parana R,0.873,JCM10A
CAB 764,2,2.0,Maranon,0.946,Ji - Parana R,0.993,JCM10A
CAB 77,5,1.0,Purus,0.995,Caete R - Purus R,0.995,JCM10A
CAB 771,3,2.0,Maranon,0.996,Ji - Parana R,0.992,JCM10A
CAB 772,1,2.0,Maranon,0.995,Ji - Parana R,0.997,JCM10A
CAB 775,1,2.0,Maranon,0.996,Ji - Parana R,0.998,JCM10A
CAB 776,1,2.0,Maranon,0.993,Ji - Parana R,0.998,JCM10A
CAB 777,2,2.0,Maranon,0.996,Ji - Parana R,0.997,JCM10A
CAB 779,1,2.0,Maranon,0.996,Ji - Parana R,0.997,JCM10A
CAB 78,1,1.0,Purus,0.994,Caete R - Purus R,0.880,JCM10A
CAB 782,1,2.0,Maranon,0.992,Ji - Parana R,0.993,JCM10A
CAB 783,1,2.0,Maranon,0.996,Ji - Parana R,0.997,JCM10A
CAB 79,5,1.0,Purus,0.995,Caete R - Purus R,0.993,JCM10A
CAB 80,3,1.0,Purus,0.992,Caete R - Purus R,0.980,JCM10A
MATINA 1 /6,-,2.0,Amelonado,0.956,Amelonado Type III,0.756,JCM10A
CHA 13 [MEX],-,1.0,Criollo,0.998,Lacandona,0.926,JCM10A
CHA 18 [MEX],-,1.0,Criollo,0.997,Belize,0.782,JCM10A
CHA 20 [MEX],-,1.0,Criollo,0.998,Lacandona,0.984,JCM10A
CHA 5 [MEX],-,1.0,Criollo,0.997,Lacandona,0.986,JCM10A
CJ 10 [BRA],3,2.0,Amelonado,0.57,n-a,-,JCM10A
CJ 11 [BRA],5,2.0,Amelonado,0.551,n-a,-,JCM10A
CJ 2 [BRA],4,2.0,Guiana,0.51,n-a,-,JCM10A
CJ 3 [BRA],1,2.0,Amelonado,0.536,n-a,-,JCM10A
CJ 4 [BRA],6,2.0,Guiana,0.543,n-a,-,JCM10A
CJ 5 [BRA],7,2.0,Amelonado,0.502,n-a,-,JCM10A
CJ 6 [BRA],1,2.0,Amelonado,0.533,n-a,-,JCM10A
CJ 8 [BRA],3,2.0,Guiana,0.6,n-a,-,JCM10A
CJ 9 [BRA],1,2.0,Amelonado,0.61,n-a,-,JCM10A
COCA 3023 [CHA],-,1.0,Curaray,0.996,Coca R - Napo R,0.984,JCM10A
COCA 3328 [CHA],-,1.0,Curaray,0.982,Coca R - Napo R,0.970,JCM10A
COCA 3335 [CHA],-,1.0,Curaray,0.998,Coca R - Napo R,0.994,JCM10A
COCA 3338 [CHA],-,1.0,Curaray,0.987,Coca R - Napo R,0.975,JCM10A
COCA 3370 /5 [CHA],-,1.0,Iquitos,0.451,n-a,-,JCM10A
COL 10 [COL],-,1.0,Criollo,0.998,Santa Marta,0.981,JCM10A
COL 11 [COL],-,1.0,Criollo,0.998,Santa Marta,0.992,JCM10A
COL 2 [COL],-,1.0,Criollo,0.997,Santa Marta,0.985,JCM10A
COL 3 [COL],-,1.0,Criollo,0.998,Santa Marta,0.988,JCM10A
COL 4 [COL],-,1.0,Criollo,0.998,Santa Marta,0.589,JCM10A
COL 5 [COL],-,1.0,Criollo,0.998,Santa Marta,0.587,JCM10A
COL 8 [COL],-,1.0,Criollo,0.998,Santa Marta,0.989,JCM10A
CRIOLLO 13 [CRI],-,1.0,Criollo,0.998,all,0.975,JCM10A
CUR 3 [CHA],-,2.0,Curaray,0.432,n-a,-,JCM10A
CUR 6 [CHA],-,1.0,Curaray,0.718,Curaray R - Napo R,0.650,JCM10A
EBC 114,-,3.0,Purus,0.805,all,0.996,JCM10A
EBC 121,-,2.0,Purus,0.609,n-a,-,JCM10A
EBC 122,-,2.0,Purus,0.629,n-a,-,JCM10A
EBC 126,-,2.0,Nacional,0.406,n-a,-,JCM10A
EBC 136,-,2.0,Purus,0.744,all,0.621,JCM10A
EBC 138,-,2.0,Purus,0.659,n-a,-,JCM10A
EBC 142,-,2.0,Purus,0.441,n-a,-,JCM10A
EBC 148,-,2.0,Purus,0.549,n-a,-,JCM10A
EEG 29,-,2.0,Amelonado,0.997,Amelonado Type II,0.992,JCM10A
EEG 65,-,2.0,Amelonado,0.997,Amelonado Type II,0.976,JCM10A
ELP 15,-,2.0,Guiana,0.997,Camopi R - Euleupousing R,0.986,JCM10A
ELP 16 A,-,2.0,Guiana,0.998,Camopi R - Euleupousing R,0.992,JCM10A
ELP 18 A,-,2.0,Guiana,0.997,Camopi R - Euleupousing R,0.988,JCM10A
ELP 20 A,-,2.0,Guiana,0.996,Camopi R - Euleupousing R,0.979,JCM10A
ELP 28 A,-,2.0,Guiana,0.613,n-a,-,JCM10A
ELP 32 A,-,2.0,Guiana,0.565,n-a,-,JCM10A
ELP 34 A,-,2.0,Amelonado,0.727,Amelonado Type III,0.964,JCM10A
ELP 35 A,-,2.0,Amelonado,0.509,n-a,-,JCM10A
ELP 37 A,-,2.0,Amelonado,0.517,n-a,-,JCM10A
ELP 5,-,2.0,Guiana,0.998,Camopi R - Euleupousing R,0.788,JCM10A
ELP 7 A,-,2.0,Guiana,0.998,Camopi R - Euleupousing R,0.992,JCM10A
ELP 9 A,-,2.0,Guiana,0.997,Camopi R - Euleupousing R,0.986,JCM10A
FSC 13,-,2.0,Amelonado,0.996,Amelonado Type II,0.671,JCM10A
FSC 3,-,2.0,Amelonado,0.997,Amelonado Type I,0.981,JCM10A
GU 116 /A,-,2.0,Guiana,0.997,Camopi R - Euleupousing R,0.958,JCM10A
GU 124 /A,-,2.0,Guiana,0.995,Camopi R - Euleupousing R,0.989,JCM10A
GU 134 /B,-,2.0,Guiana,0.984,Camopi R - Euleupousing R,0.922,JCM10A
GU 138 A,-,2.0,Guiana,0.996,Camopi R - Euleupousing R,0.989,JCM10A
GU 139 /A,-,2.0,Guiana,0.997,Camopi R - Euleupousing R,0.992,JCM10A
GU 143 /A,-,2.0,Guiana,0.997,Camopi R - Euleupousing R,0.770,JCM10A
GU 155 A,-,2.0,Guiana,0.997,Camopi R - Euleupousing R,0.939,JCM10A
GU 156 B,-,2.0,Guiana,0.995,Camopi R - Euleupousing R,0.856,JCM10A
GU 174 A,-,2.0,Guiana,0.997,Camopi R,0.948,JCM10A
GU 199 A,-,2.0,Guiana,0.998,Camopi R,0.981,JCM10A
GU 214 /A,-,2.0,Guiana,0.997,Camopi R,0.950,JCM10A
GU 216 A,-,2.0,Guiana,0.998,Camopi R,0.938,JCM10A
GU 218 /A,-,2.0,Guiana,0.998,Camopi R,0.957,JCM10A
GU 227 A,-,2.0,Guiana,0.997,Camopi R,0.980,JCM10A
GU 230 /A,-,2.0,Guiana,0.998,Camopi R,0.990,JCM10A
GU 254 /A,-,2.0,Guiana,0.998,Camopi R - Euleupousing R,0.991,JCM10A
GU 274 /A,-,2.0,Guiana,0.997,Camopi R - Euleupousing R,0.985,JCM10A
GU 285 /A,-,2.0,Guiana,0.996,Camopi R - Euleupousing R,0.986,JCM10A
GU 292 /A,-,2.0,Guiana,0.997,Camopi R - Euleupousing R,0.659,JCM10A
GU 295 A,-,2.0,Guiana,0.998,Camopi R - Euleupousing R,0.509,JCM10A
GU 297 B,-,2.0,Guiana,0.993,Camopi R,0.942,JCM10A
GU 308 /A,-,2.0,Guiana,0.997,Camopi R,0.967,JCM10A
GU 315 /A,-,2.0,Guiana,0.997,Camopi R - Euleupousing R,0.528,JCM10A
GU 323 /A,-,2.0,Guiana,0.997,Camopi R,0.990,JCM10A
GU 326 /A,-,2.0,Guiana,0.997,Camopi R,0.507,JCM10A
GU 331 /A,-,2.0,Guiana,0.994,Camopi R,0.548,JCM10A
IMC 10,-,1.0,Iquitos,0.996,IMC I,0.998,JCM10A
IMC 103,-,1.0,Iquitos,0.913,IMC II,0.979,JCM10A
IMC 104,-,1.0,Iquitos,0.766,IMC II,0.997,JCM10A
IMC 105,-,1.0,Iquitos,0.837,IMC II,0.979,JCM10A
IMC 107,-,1.0,Iquitos,0.996,IMC I,0.997,JCM10A
IMC 11,-,1.0,Iquitos,0.996,IMC I,0.997,JCM10A
IMC 12,-,1.0,Iquitos,0.996,IMC I,0.996,JCM10A
IMC 13,-,1.0,Iquitos,0.996,IMC I,0.997,JCM10A
IMC 16,-,1.0,Iquitos,0.996,IMC I,0.995,JCM10A
IMC 18,-,1.0,Iquitos,0.992,IMC I,0.997,JCM10A
IMC 2,-,1.0,Iquitos,0.883,IMC II,0.725,JCM10A
IMC 20,-,1.0,Iquitos,0.996,IMC I,0.997,JCM10A
IMC 23,-,1.0,Iquitos,0.996,IMC I,0.996,JCM10A
IMC 27,-,1.0,Iquitos,0.996,IMC I,0.996,JCM10A
IMC 3,-,1.0,Iquitos,0.825,IMC II,0.988,JCM10A
IMC 30,-,1.0,Iquitos,0.994,IMC I,0.990,JCM10A
IMC 31,-,1.0,Iquitos,0.996,IMC I,0.994,JCM10A
IMC 33,-,1.0,Iquitos,0.996,IMC I,0.998,JCM10A
IMC 36,-,1.0,Iquitos,0.399,n-a,-,JCM10A
IMC 36,-,1.0,Iquitos,0.996,IMC I,0.998,JCM10A
IMC 38,-,1.0,Iquitos,0.994,IMC I,0.997,JCM10A
IMC 39,-,1.0,Iquitos,0.995,IMC I,0.997,JCM10A
IMC 41,-,1.0,Iquitos,0.914,IMC II,0.997,JCM10A
IMC 42,-,1.0,Iquitos,0.995,IMC I,0.964,JCM10A
IMC 44,-,1.0,Iquitos,0.996,IMC I,0.995,JCM10A
IMC 47,-,1.0,Iquitos,0.991,IMC I,0.986,JCM10A
IMC 48,-,1.0,Iquitos,0.994,IMC I,0.991,JCM10A
IMC 49,-,1.0,Iquitos,0.904,IMC II,0.996,JCM10A
IMC 5,-,1.0,Iquitos,0.974,IMC I,0.983,JCM10A
IMC 50,-,1.0,Iquitos,0.992,IMC I,0.992,JCM10A
IMC 51,-,1.0,Iquitos,0.806,IMC II,0.997,JCM10A
IMC 53,-,1.0,Iquitos,0.989,IMC I,0.996,JCM10A
IMC 55,-,1.0,Iquitos,0.996,IMC I,0.995,JCM10A
IMC 58,-,1.0,Iquitos,0.996,IMC I,0.997,JCM10A
IMC 59,-,1.0,Iquitos,0.996,IMC I,0.996,JCM10A
IMC 6,-,1.0,Iquitos,0.996,IMC I,0.995,JCM10A
IMC 60,-,1.0,Iquitos,0.996,IMC I,0.997,JCM10A
IMC 61,-,1.0,Iquitos,0.793,IMC II,0.959,JCM10A
IMC 63,-,1.0,Iquitos,0.994,IMC I,0.997,JCM10A
IMC 65,-,1.0,Iquitos,0.995,IMC I,0.992,JCM10A
IMC 66,-,1.0,Iquitos,0.915,IMC II,0.996,JCM10A
IMC 68,-,1.0,Iquitos,0.996,IMC I,0.997,JCM10A
IMC 71,-,1.0,Iquitos,0.996,IMC I,0.997,JCM10A
IMC 73,-,1.0,Iquitos,0.836,IMC II,0.995,JCM10A
IMC 76,-,1.0,Iquitos,0.996,IMC I,0.990,JCM10A
IMC 77,-,1.0,Iquitos,0.996,IMC I,0.998,JCM10A
IMC 78,-,1.0,Iquitos,0.996,IMC I,0.995,JCM10A
IMC 83,-,1.0,Iquitos,0.996,IMC I,0.995,JCM10A
IMC 85,-,1.0,Iquitos,0.996,IMC I,0.997,JCM10A
IMC 9,-,1.0,Iquitos,0.855,IMC II,0.882,JCM10A
IMC 94,-,1.0,Iquitos,0.974,IMC II,0.923,JCM10A
IMC 96,-,1.0,Iquitos,0.996,IMC I,0.992,JCM10A
IMC 98,-,1.0,Iquitos,0.996,IMC I,0.997,JCM10A
KER 1-L,-,2.0,Guiana,0.829,Kerindioutou R,0.544,JCM10A
KER 11-1-L,-,2.0,Guiana,0.994,Kerindioutou R,0.989,JCM10A
KER 11-2-L,-,2.0,Guiana,0.997,Kerindioutou R,0.996,JCM10A
KER 11-3-L,-,2.0,Guiana,0.997,Kerindioutou R,0.993,JCM10A
KER 2-L,-,2.0,Guiana,0.997,Kerindioutou R,0.996,JCM10A
KER 3,-,2.0,Guiana,0.997,Kerindioutou R,0.996,JCM10A
KER 5,-,2.0,Guiana,0.973,Kerindioutou R,0.966,JCM10A
KER 6,-,2.0,Guiana,0.665,n-a,-,JCM10A
KER 7,-,2.0,Guiana,0.998,Kerindioutou R,0.996,JCM10A
KER 8-L,-,2.0,Guiana,0.997,Kerindioutou R,0.996,JCM10A
KER 9,-,2.0,Guiana,0.996,Kerindioutou R,0.992,JCM10A
LAN 21,-,1.0,Criollo,0.998,Lacadona,0.932,JCM10A
LAN 22,-,1.0,Criollo,0.998,Lacadona,0.968,JCM10A
LAN 23,-,1.0,Criollo,0.994,Lacadona,0.719,JCM10A
LAN 26,-,1.0,Criollo,0.995,Lacadona,0.915,JCM10A
LAN 27,-,1.0,Criollo,0.998,Lacadona,0.985,JCM10A
LAN 28,-,1.0,Criollo,0.998,Lacadona,0.991,JCM10A
LAN 29,-,1.0,Criollo,0.998,Lacadona,0.990,JCM10A
