Clone name,Self compatibility,Refcode,Bud colour,Ligule colour,Stamen colour,Guide line length,Sepal colour,Sepal width,Sepal length,Sepal length width,Ligule length,Ligule width,Ligule length width,Ribbon length,Ribbon colour,Ovary colour,Ovary width,Ovary length,Ovary length width,Ovule number,Style colour,Style length,Staminode colour,Staminode length,Pedicel length,Hairs,Pigmented glands,Horns,Pigmented spot,Notes,Stamen size,Sepal size,Ligule size,Pedicel size,Accession,Sepal orientation,Sepal shape,Ligule shape,Info,Petal length
ICS 9,self compatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICS 95,self compatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICS 98,self compatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMC 67,self incompatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA 11 [BRA],self incompatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA 12 [BRA],self incompatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA 13 [BRA],self incompatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA 14 [BRA],self incompatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA 15 [BRA],self incompatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA 33,self incompatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA 691,self incompatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OC 61 [VEN],self compatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OC 77 [VEN],self compatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA 13 [PER],self incompatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA 148 [PER],self incompatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA 15 [PER],self incompatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA 150 [PER],self incompatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA 16 [PER],self incompatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA 169 [PER],self incompatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA 195 [PER],self incompatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA 285 [PER],self incompatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA 30 [PER],self incompatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA 46 [PER],self incompatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA 81 [PER],self incompatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLAYA ALTA 4 [VEN],self incompatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POUND 11,self incompatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POUND 12,self incompatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POUND 16,self incompatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POUND 19,self incompatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POUND 20,self incompatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POUND 21,self incompatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POUND 25,self incompatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POUND 32,self compatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POUND 7,self incompatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PQTO 87 [VEN],self compatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RB 29 [BRA],self incompatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RB 31 [BRA],self incompatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RB 33 [BRA],self incompatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RB 38 [BRA],self incompatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RB 40 [BRA],self incompatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RB 45 [BRA],self incompatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RB 47 [BRA],self incompatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RB 48 [BRA],self incompatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RB 49 [BRA],self incompatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIM 10 [MEX],self compatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIM 2 [MEX],self incompatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC 24 [COL],self compatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC 25 [COL],self compatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC 5 [COL],self compatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCA 6,self incompatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCR 4,self compatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SGU 26,self compatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIAL 105,self compatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIAL 13,self compatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIAL 130,self compatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIAL 15,self compatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIAL 163,self compatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIAL 164,self compatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIAL 169,self compatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIAL 2,self compatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIAL 20,self compatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIAL 207,self compatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIAL 244,self compatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIAL 253,self compatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIAL 283,self compatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIAL 3,self compatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIAL 325,self compatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIAL 357,self compatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIAL 407,self compatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIAL 495,self compatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIAL 505,self compatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIAL 512,self compatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIAL 542,self compatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIAL 543,self compatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIAL 577,self compatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIAL 578,self compatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIAL 580,self compatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIAL 581,self compatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIAL 638,self compatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIAL 644,self compatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIAL 659,self compatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIAL 689,self compatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIAL 698,self compatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIAL 70,self compatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIAL 73,self compatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIAL 756,self compatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIAL 83,self compatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIAL 84,self compatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIAL 88,self compatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIAL 910,self compatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIAL 912,self compatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIAL 93,self compatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIAL 98,self compatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIC 17,self compatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIC 18,self compatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIC 19,self compatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIC 2,self compatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIC 20,self compatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIC 21,self compatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIC 22,self compatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIC 23,self compatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIC 24,self compatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIC 250,self compatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIC 328,self compatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIC 329,self compatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIC 4,self compatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIC 433,self compatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIC 439,self compatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIC 5,self compatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIC 543,self compatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIC 628,self compatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIC 644,self compatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIC 662,self compatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIC 680,self compatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIC 747,self compatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIC 765,self compatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIC 801,self compatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIC 802,self compatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIC 806,self compatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIC 812,self compatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIC 813,self compatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIC 823,self compatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
