Clone name,Self compatibility,Refcode,Bud colour,Ligule colour,Stamen colour,Guide line length,Sepal colour,Sepal width,Sepal length,Sepal length width,Ligule length,Ligule width,Ligule length width,Ribbon length,Ribbon colour,Ovary colour,Ovary width,Ovary length,Ovary length width,Ovule number,Style colour,Style length,Staminode colour,Staminode length,Pedicel length,Hairs,Pigmented glands,Horns,Pigmented spot,Notes,Stamen size,Sepal size,Ligule size,Pedicel size,Accession,Sepal orientation,Sepal shape,Ligule shape,Info,Petal length
B 18 /9 [POU],,BEKAD1,,slight anthocyanin,anthocyanin absent,,,-,8.15,,,2.52,,,,,,,,52.0,,2.67,,,,,,,,,,,,,,,,,,
B 2 /8 [POU],,BEKAD1,,moderate anthocyanin,intense anthocyanin,,,-,7.66,,,2.53,,,,,,,,40.0,,2.77,,,,,,,,,,,,,,,,,,
B 20 /1 [POU],,BEKAD1,,slight anthocyanin,slight anthocyanin,,,-,7.24,,,2.29,,,,,,,,42.0,,2.64,,,,,,,,,,,,,,,,,,
B 20 /2 [POU],,BEKAD1,,slight anthocyanin,moderate anthocyanin,,,-,7.2,,,2.36,,,,,,,,33.0,,3.1,,,,,,,,,,,,,,,,,,
B 21 /6 [POU],,BEKAD1,,moderate anthocyanin,intense anthocyanin,,,-,8.69,,,2.74,,,,,,,,44.0,,2.82,,,,,,,,,,,,,,,,,,
B 21 /7 [POU],,BEKAD1,,slight anthocyanin,slight anthocyanin,,,-,7.69,,,1.99,,,,,,,,44.0,,2.52,,,,,,,,,,,,,,,,,,
B 22 /15 [POU],,BEKAD1,,slight anthocyanin,intense anthocyanin,,,-,7.52,,,2.58,,,,,,,,44.0,,2.21,,,,,,,,,,,,,,,,,,
B 22 /16 [POU],,BEKAD1,,slight anthocyanin,moderate anthocyanin,,,-,7.37,,,2.05,,,,,,,,45.0,,2.17,,,,,,,,,,,,,,,,,,
B 22 /17 [POU],,BEKAD1,,anthocyanin absent,moderate anthocyanin,,,-,7.99,,,2.3,,,,,,,,45.0,,2.36,,,,,,,,,,,,,,,,,,
B 22 /3 [POU],,BEKAD1,,slight anthocyanin,slight anthocyanin,,,-,8.27,,,2.22,,,,,,,,42.0,,2.29,,,,,,,,,,,,,,,,,,
B 22 /8 [POU],,BEKAD1,,moderate anthocyanin,moderate anthocyanin,,,-,8.3,,,2.3,,,,,,,,47.0,,2.51,,,,,,,,,,,,,,,,,,
B 23 /1 [POU],,BEKAD1,,slight anthocyanin,moderate anthocyanin,,,-,8.78,,,2.36,,,,,,,,44.0,,2.48,,,,,,,,,,,,,,,,,,
B 23 /2 [POU],,BEKAD1,,anthocyanin absent,slight anthocyanin,,,-,8.61,,,2.45,,,,,,,,33.0,,2.19,,,,,,,,,,,,,,,,,,
B 23 /4 [POU],,BEKAD1,,moderate anthocyanin,slight anthocyanin,,,-,9.14,,,2.4,,,,,,,,43.0,,2.87,,,,,,,,,,,,,,,,,,
B 23 /6 [POU],,BEKAD1,,intense anthocyanin,moderate anthocyanin,,,-,7.08,,,2.52,,,,,,,,42.0,,2.1,,,,,,,,,,,,,,,,,,
B 23 /9 [POU],,BEKAD1,,slight anthocyanin,moderate anthocyanin,,,-,8.02,,,2.01,,,,,,,,42.0,,2.59,,,,,,,,,,,,,,,,,,
B 4 /8 [POU],,BEKAD1,,slight anthocyanin,slight anthocyanin,,,-,7.78,,,2.2,,,,,,,,37.0,,2.45,,,,,,,,,,,,,,,,,,
B 5 /10 [POU],,BEKAD1,,slight anthocyanin,moderate anthocyanin,,,-,8.2,,,2.05,,,,,,,,42.0,,1.96,,,,,,,,,,,,,,,,,,
B 5 /11 [POU],,BEKAD1,,anthocyanin absent,moderate anthocyanin,,,-,8.49,,,2.15,,,,,,,,43.0,,2.51,,,,,,,,,,,,,,,,,,
B 5 /2 [POU],,BEKAD1,,anthocyanin absent,intense anthocyanin,,,-,10.16,,,2.38,,,,,,,,48.0,,2.74,,,,,,,,,,,,,,,,,,
B 5 /3 [POU],,BEKAD1,,anthocyanin absent,moderate anthocyanin,,,-,7.62,,,2.04,,,,,,,,36.0,,2.27,,,,,,,,,,,,,,,,,,
B 5 /5 [POU],,BEKAD1,,anthocyanin absent,intense anthocyanin,,,-,8.28,,,2.28,,,,,,,,43.0,,2.63,,,,,,,,,,,,,,,,,,
B 5 /7 [POU],,BEKAD1,,slight anthocyanin,moderate anthocyanin,,,-,8.73,,,2.96,,,,,,,,35.0,,2.66,,,,,,,,,,,,,,,,,,
B 6 /2 [POU],,BEKAD1,,slight anthocyanin,slight anthocyanin,,,-,7.48,,,2.27,,,,,,,,41.0,,1.94,,,,,,,,,,,,,,,,,,
B 6 /29 [POU],,BEKAD1,,slight anthocyanin,moderate anthocyanin,,,-,8.7,,,2.23,,,,,,,,42.0,,2.4,,,,,,,,,,,,,,,,,,
B 6 /3 [POU],,BEKAD1,,slight anthocyanin,intense anthocyanin,,,-,9.19,,,2.67,,,,,,,,45.0,,2.48,,,,,,,,,,,,,,,,,,
B 6 /5 [POU],,BEKAD1,,slight anthocyanin,intense anthocyanin,,,-,7.4,,,2.02,,,,,,,,38.0,,2.22,,,,,,,,,,,,,,,,,,
B 6 /8 [POU],,BEKAD1,,slight anthocyanin,moderate anthocyanin,,,-,8.81,,,2.38,,,,,,,,42.0,,2.65,,,,,,,,,,,,,,,,,,
B 7 /1 [POU],,BEKAD1,,slight anthocyanin,intense anthocyanin,,,-,8.07,,,2.63,,,,,,,,42.0,,3.07,,,,,,,,,,,,,,,,,,
B 7 /14 [POU],,BEKAD1,,intense anthocyanin,intense anthocyanin,,,-,8.4,,,2.54,,,,,,,,39.0,,2.6,,,,,,,,,,,,,,,,,,
B 7 /15 [POU],,BEKAD1,,intense anthocyanin,intense anthocyanin,,,-,8.44,,,2.55,,,,,,,,47.0,,2.64,,,,,,,,,,,,,,,,,,
B 7 /16 [POU],,BEKAD1,,moderate anthocyanin,intense anthocyanin,,,-,7.52,,,2.63,,,,,,,,41.0,,2.35,,,,,,,,,,,,,,,,,,
B 7 /18 [POU],,BEKAD1,,slight anthocyanin,intense anthocyanin,,,-,7.79,,,2.54,,,,,,,,43.0,,2.69,,,,,,,,,,,,,,,,,,
B 7 /21 [POU],,BEKAD1,,slight anthocyanin,moderate anthocyanin,,,-,8.0,,,2.62,,,,,,,,43.0,,2.41,,,,,,,,,,,,,,,,,,
B 7 /3 [POU],,BEKAD1,,anthocyanin absent,intense anthocyanin,,,-,7.47,,,2.5,,,,,,,,48.0,,2.44,,,,,,,,,,,,,,,,,,
B 7 /4 [POU],,BEKAD1,,moderate anthocyanin,intense anthocyanin,,,-,8.76,,,2.45,,,,,,,,41.0,,2.69,,,,,,,,,,,,,,,,,,
B 8 /4 [POU],,BEKAD1,,slight anthocyanin,intense anthocyanin,,,-,7.74,,,3.06,,,,,,,,36.0,,2.11,,,,,,,,,,,,,,,,,,
B 8 /5 [POU],,BEKAD1,,slight anthocyanin,slight anthocyanin,,,-,8.35,,,3.23,,,,,,,,41.0,,2.21,,,,,,,,,,,,,,,,,,
B 8 /8 [POU],,BEKAD1,,moderate anthocyanin,slight anthocyanin,,,-,7.83,,,2.77,,,,,,,,47.0,,2.73,,,,,,,,,,,,,,,,,,
B 8 /9 [POU],,BEKAD1,,slight anthocyanin,anthocyanin absent,,,-,8.73,,,2.26,,,,,,,,37.0,,2.33,,,,,,,,,,,,,,,,,,
B 9 /10-12 [POU],,BEKAD1,,slight anthocyanin,slight anthocyanin,,,-,8.86,,,2.64,,,,,,,,44.0,,2.81,,,,,,,,,,,,,,,,,,
B 9 /10-18 [POU],,BEKAD1,,moderate anthocyanin,moderate anthocyanin,,,-,6.52,,,2.05,,,,,,,,43.0,,2.18,,,,,,,,,,,,,,,,,,
B 9 /10-23 [POU],,BEKAD1,,slight anthocyanin,slight anthocyanin,,,-,9.32,,,2.39,,,,,,,,41.0,,2.55,,,,,,,,,,,,,,,,,,
B 9 /10-25 [POU],,BEKAD1,,slight anthocyanin,slight anthocyanin,,,-,9.06,,,2.48,,,,,,,,44.0,,2.78,,,,,,,,,,,,,,,,,,
B 9 /10-28 [POU],,BEKAD1,,moderate anthocyanin,moderate anthocyanin,,,-,9.52,,,3.04,,,,,,,,41.0,,2.36,,,,,,,,,,,,,,,,,,
B 9 /10-30 [POU],,BEKAD1,,slight anthocyanin,slight anthocyanin,,,-,8.59,,,2.7,,,,,,,,42.0,,3.0,,,,,,,,,,,,,,,,,,
B 9 /10-32 [POU],,BEKAD1,,anthocyanin absent,slight anthocyanin,,,-,8.77,,,2.66,,,,,,,,43.0,,2.62,,,,,,,,,,,,,,,,,,
B 9 /10-33 [POU],,BEKAD1,,slight anthocyanin,anthocyanin absent,,,-,6.15,,,2.14,,,,,,,,41.0,,2.15,,,,,,,,,,,,,,,,,,
B 9 /10-34 [POU],,BEKAD1,,moderate anthocyanin,slight anthocyanin,,,-,9.01,,,2.74,,,,,,,,38.0,,2.58,,,,,,,,,,,,,,,,,,
B 9 /10-35 [POU],,BEKAD1,,slight anthocyanin,slight anthocyanin,,,-,9.59,,,2.54,,,,,,,,37.0,,2.75,,,,,,,,,,,,,,,,,,
B 9 /10-43 [POU],,BEKAD1,,moderate anthocyanin,moderate anthocyanin,,,-,8.04,,,2.6,,,,,,,,44.0,,2.66,,,,,,,,,,,,,,,,,,
B 9 /10-46 [POU],,BEKAD1,,slight anthocyanin,moderate anthocyanin,,,-,7.89,,,2.45,,,,,,,,42.0,,2.74,,,,,,,,,,,,,,,,,,
B 9 /10-8 [POU],,BEKAD1,,slight anthocyanin,intense anthocyanin,,,-,6.96,,,2.07,,,,,,,,39.0,,2.12,,,,,,,,,,,,,,,,,,
BE 10,,BEKAD1,,slight anthocyanin,slight anthocyanin,,,-,7.56,,,2.48,,,,,,,,42.0,,2.25,,,,,,,,,,,,,,,,,,
BE 2,,BEKAD1,,anthocyanin absent,anthocyanin absent,,,-,5.18,,,1.7,,,,,,,,41.0,,1.83,,,,,,,,,,,,,,,,,,
Belize 10 [BLZ],,BEKAD1,,moderate anthocyanin,slight anthocyanin,,,-,7.78,,,2.1,,,,,,,,40.0,,2.48,,,,,,,,,,,,,,,,,,
Belize 12 [BLZ],,BEKAD1,,slight anthocyanin,slight anthocyanin,,,-,7.32,,,2.15,,,,,,,,37.0,,2.59,,,,,,,,,,,,,,,,,,
Belize 14 [BLZ],,BEKAD1,,moderate anthocyanin,moderate anthocyanin,,,-,7.45,,,2.24,,,,,,,,39.0,,2.41,,,,,,,,,,,,,,,,,,
Belize 15 [BLZ],,BEKAD1,,intense anthocyanin,slight anthocyanin,,,-,8.46,,,2.12,,,,,,,,39.0,,2.48,,,,,,,,,,,,,,,,,,
Belize 17 [BLZ],,BEKAD1,,intense anthocyanin,moderate anthocyanin,,,-,7.17,,,2.03,,,,,,,,43.0,,2.44,,,,,,,,,,,,,,,,,,
Belize 2 [BLZ],,BEKAD1,,anthocyanin absent,anthocyanin absent,,,-,5.99,,,2.05,,,,,,,,42.0,,1.84,,,,,,,,,,,,,,,,,,
Belize 20 [BLZ],,BEKAD1,,moderate anthocyanin,slight anthocyanin,,,-,7.07,,,2.13,,,,,,,,39.0,,2.37,,,,,,,,,,,,,,,,,,
Belize 28 [BLZ],,BEKAD1,,anthocyanin absent,anthocyanin absent,,,-,7.01,,,1.53,,,,,,,,39.0,,1.79,,,,,,,,,,,,,,,,,,
Belize 29 [BLZ],,BEKAD1,,intense anthocyanin,slight anthocyanin,,,-,6.85,,,2.12,,,,,,,,47.0,,2.05,,,,,,,,,,,,,,,,,,
B 97 61 /B-7 [BLZ],,BEKAD1,,anthocyanin absent,anthocyanin absent,,,-,6.13,,,2.02,,,,,,,,27.0,,1.58,,,,,,,,,,,,,,,,,,
B 97 AC 2/1 [BLZ],,BEKAD1,,anthocyanin absent,slight anthocyanin,,,-,8.76,,,2.1,,,,,,,,40.0,,2.22,,,,,,,,,,,,,,,,,,
B 97Ex 1 /(a)-1 [BLZ],,BEKAD1,,moderate anthocyanin,slight anthocyanin,,,-,5.39,,,2.1,,,,,,,,50.0,,2.4,,,,,,,,,,,,,,,,,,
B 97 Ex 4 /B-5 [BLZ],,BEKAD1,,slight anthocyanin,intense anthocyanin,,,-,6.19,,,2.37,,,,,,,,48.0,,1.99,,,,,,,,,,,,,,,,,,
BH,,BEKAD1,,slight anthocyanin,anthocyanin absent,,,-,6.16,,,2.21,,,,,,,,50.0,,2.09,,,,,,,,,,,,,,,,,,
BOB 8 [CHA],,BEKAD1,,slight anthocyanin,slight anthocyanin,,,-,7.69,,,1.9,,,,,,,,38.0,,2.35,,,,,,,,,,,,,,,,,,
C 15 /61 [TRI],,BEKAD1,,slight anthocyanin,moderate anthocyanin,,,-,7.21,,,1.97,,,,,,,,43.0,,1.89,,,,,,,,,,,,,,,,,,
C 40 [TRI],,BEKAD1,,anthocyanin absent,anthocyanin absent,,,-,6.83,,,2.25,,,,,,,,45.0,,1.93,,,,,,,,,,,,,,,,,,
C 96 [TRI],,BEKAD1,,slight anthocyanin,slight anthocyanin,,,-,8.3,,,2.29,,,,,,,,43.0,,2.01,,,,,,,,,,,,,,,,,,
C 97 [TRI],,BEKAD1,,slight anthocyanin,moderate anthocyanin,,,-,7.47,,,2.25,,,,,,,,42.0,,2.33,,,,,,,,,,,,,,,,,,
C 99 [TRI],,BEKAD1,,slight anthocyanin,slight anthocyanin,,,-,9.09,,,2.55,,,,,,,,40.0,,2.3,,,,,,,,,,,,,,,,,,
CAS 1,,BEKAD1,,slight anthocyanin,slight anthocyanin,,,-,7.15,,,2.61,,,,,,,,45.0,,2.32,,,,,,,,,,,,,,,,,,
CATONGO,,BEKAD1,,anthocyanin absent,anthocyanin absent,,,-,7.04,,,2.71,,,,,,,,37.0,,2.33,,,,,,,,,,,,,,,,,,
CBO 177 [VEN],,BEKAD1,,anthocyanin absent,anthocyanin absent,,,-,8.16,,,3.3,,,,,,,,35.0,,2.18,,,,,,,,,,,,,,,,,,
CC 10,,BEKAD1,,slight anthocyanin,anthocyanin absent,,,-,8.08,,,2.75,,,,,,,,41.0,,2.14,,,,,,,,,,,,,,,,,,
CC 17,,BEKAD1,,anthocyanin absent,anthocyanin absent,,,-,7.7,,,1.92,,,,,,,,40.0,,1.89,,,,,,,,,,,,,,,,,,
CC 38,,BEKAD1,,anthocyanin absent,slight anthocyanin,,,-,7.77,,,2.33,,,,,,,,47.0,,2.16,,,,,,,,,,,,,,,,,,
CC 39,,BEKAD1,,anthocyanin absent,slight anthocyanin,,,-,7.74,,,2.42,,,,,,,,46.0,,2.68,,,,,,,,,,,,,,,,,,
CC 40,,BEKAD1,,slight anthocyanin,moderate anthocyanin,,,-,7.98,,,2.43,,,,,,,,44.0,,2.1,,,,,,,,,,,,,,,,,,
CC 41,,BEKAD1,,anthocyanin absent,moderate anthocyanin,,,-,7.53,,,2.23,,,,,,,,42.0,,2.4,,,,,,,,,,,,,,,,,,
CC 49,,BEKAD1,,slight anthocyanin,slight anthocyanin,,,-,7.17,,,2.01,,,,,,,,52.0,,2.21,,,,,,,,,,,,,,,,,,
CC 57,,BEKAD1,,slight anthocyanin,anthocyanin absent,,,-,7.3,,,2.43,,,,,,,,39.0,,2.12,,,,,,,,,,,,,,,,,,
CC 71,,BEKAD1,,moderate anthocyanin,slight anthocyanin,,,-,6.86,,,2.51,,,,,,,,39.0,,1.88,,,,,,,,,,,,,,,,,,
CC 9,,BEKAD1,,slight anthocyanin,moderate anthocyanin,,,-,8.26,,,2.26,,,,,,,,44.0,,2.44,,,,,,,,,,,,,,,,,,
CERRO AZUL 10,,BEKAD1,,slight anthocyanin,anthocyanin absent,,,-,8.56,,,2.89,,,,,,,,41.0,,2.51,,,,,,,,,,,,,,,,,,
CL 10 /10,,BEKAD1,,slight anthocyanin,intense anthocyanin,,,-,7.85,,,3.01,,,,,,,,41.0,,2.16,,,,,,,,,,,,,,,,,,
CL 10 /11,,BEKAD1,,slight anthocyanin,moderate anthocyanin,,,-,7.71,,,2.93,,,,,,,,42.0,,2.14,,,,,,,,,,,,,,,,,,
CL 10 /12,,BEKAD1,,anthocyanin absent,slight anthocyanin,,,-,7.15,,,2.31,,,,,,,,31.0,,2.05,,,,,,,,,,,,,,,,,,
CL 10 /14,,BEKAD1,,slight anthocyanin,intense anthocyanin,,,-,7.26,,,2.57,,,,,,,,41.0,,2.35,,,,,,,,,,,,,,,,,,
CL 10 /15,,BEKAD1,,slight anthocyanin,intense anthocyanin,,,-,7.63,,,2.71,,,,,,,,40.0,,1.9,,,,,,,,,,,,,,,,,,
CL 10 /21,,BEKAD1,,slight anthocyanin,anthocyanin absent,,,-,7.78,,,2.65,,,,,,,,50.0,,2.3,,,,,,,,,,,,,,,,,,
CL 10 /23,,BEKAD1,,anthocyanin absent,intense anthocyanin,,,-,8.3,,,2.5,,,,,,,,45.0,,3.03,,,,,,,,,,,,,,,,,,
CL 10 /25,,BEKAD1,,slight anthocyanin,intense anthocyanin,,,-,6.99,,,2.96,,,,,,,,39.0,,2.57,,,,,,,,,,,,,,,,,,
CL 10 /26,,BEKAD1,,slight anthocyanin,slight anthocyanin,,,-,7.88,,,2.09,,,,,,,,40.0,,2.48,,,,,,,,,,,,,,,,,,
CL 10 /27,,BEKAD1,,moderate anthocyanin,slight anthocyanin,,,-,9.41,,,2.46,,,,,,,,36.0,,2.24,,,,,,,,,,,,,,,,,,
CL 10 /29,,BEKAD1,,anthocyanin absent,intense anthocyanin,,,-,7.95,,,2.99,,,,,,,,49.0,,2.7,,,,,,,,,,,,,,,,,,
CL 10 /3,,BEKAD1,,anthocyanin absent,intense anthocyanin,,,-,6.97,,,2.37,,,,,,,,44.0,,2.16,,,,,,,,,,,,,,,,,,
CL 10 /32,,BEKAD1,,slight anthocyanin,intense anthocyanin,,,-,8.42,,,2.6,,,,,,,,44.0,,2.7,,,,,,,,,,,,,,,,,,
CL 10 /33,,BEKAD1,,slight anthocyanin,intense anthocyanin,,,-,9.16,,,3.24,,,,,,,,44.0,,2.27,,,,,,,,,,,,,,,,,,
CL 10 /4,,BEKAD1,,anthocyanin absent,intense anthocyanin,,,-,7.79,,,2.68,,,,,,,,41.0,,2.96,,,,,,,,,,,,,,,,,,
CL 10 /5,,BEKAD1,,slight anthocyanin,slight anthocyanin,,,-,6.43,,,2.37,,,,,,,,48.0,,2.45,,,,,,,,,,,,,,,,,,
CL 10 /6,,BEKAD1,,anthocyanin absent,slight anthocyanin,,,-,8.12,,,2.8,,,,,,,,41.0,,2.71,,,,,,,,,,,,,,,,,,
CL 10 /7,,BEKAD1,,anthocyanin absent,slight anthocyanin,,,-,8.46,,,2.6,,,,,,,,41.0,,2.79,,,,,,,,,,,,,,,,,,
CL 13 /12,,BEKAD1,,slight anthocyanin,slight anthocyanin,,,-,8.46,,,3.17,,,,,,,,36.0,,2.61,,,,,,,,,,,,,,,,,,
CL 13 /13,,BEKAD1,,slight anthocyanin,intense anthocyanin,,,-,8.12,,,3.25,,,,,,,,52.0,,2.9,,,,,,,,,,,,,,,,,,
CL 13 /17,,BEKAD1,,slight anthocyanin,slight anthocyanin,,,-,7.71,,,2.25,,,,,,,,46.0,,2.07,,,,,,,,,,,,,,,,,,
CL 13 /21,,BEKAD1,,anthocyanin absent,intense anthocyanin,,,-,8.89,,,2.64,,,,,,,,38.0,,2.94,,,,,,,,,,,,,,,,,,
CL 13 /27,,BEKAD1,,slight anthocyanin,slight anthocyanin,,,-,8.71,,,2.13,,,,,,,,52.0,,2.33,,,,,,,,,,,,,,,,,,
CL 13 /35,,BEKAD1,,moderate anthocyanin,moderate anthocyanin,,,-,7.78,,,2.91,,,,,,,,37.0,,2.66,,,,,,,,,,,,,,,,,,
CL 13 /36,,BEKAD1,,slight anthocyanin,intense anthocyanin,,,-,7.49,,,3.26,,,,,,,,35.0,,2.36,,,,,,,,,,,,,,,,,,
CL 13 /4,,BEKAD1,,slight anthocyanin,anthocyanin absent,,,-,6.33,,,1.79,,,,,,,,42.0,,1.67,,,,,,,,,,,,,,,,,,
CL 13 /41,,BEKAD1,,slight anthocyanin,moderate anthocyanin,,,-,8.46,,,2.91,,,,,,,,42.0,,2.49,,,,,,,,,,,,,,,,,,
CL 13 /43,,BEKAD1,,slight anthocyanin,intense anthocyanin,,,-,6.72,,,2.52,,,,,,,,53.0,,2.28,,,,,,,,,,,,,,,,,,
CL 13 /65,,BEKAD1,,anthocyanin absent,anthocyanin absent,,,-,8.86,,,2.31,,,,,,,,46.0,,2.19,,,,,,,,,,,,,,,,,,
CL 15 /195,,BEKAD1,,anthocyanin absent,moderate anthocyanin,,,-,7.78,,,3.02,,,,,,,,39.0,,2.34,,,,,,,,,,,,,,,,,,
CL 15 /197,,BEKAD1,,slight anthocyanin,moderate anthocyanin,,,-,8.02,,,2.58,,,,,,,,39.0,,2.17,,,,,,,,,,,,,,,,,,
CL 19 /10,,BEKAD1,,slight anthocyanin,slight anthocyanin,,,-,7.91,,,2.19,,,,,,,,42.0,,1.76,,,,,,,,,,,,,,,,,,
CL 19 /11,,BEKAD1,,slight anthocyanin,intense anthocyanin,,,-,7.63,,,2.71,,,,,,,,40.0,,2.68,,,,,,,,,,,,,,,,,,
CL 19 /17,,BEKAD1,,slight anthocyanin,anthocyanin absent,,,-,8.48,,,2.15,,,,,,,,44.0,,2.09,,,,,,,,,,,,,,,,,,
CL 19 /2,,BEKAD1,,slight anthocyanin,intense anthocyanin,,,-,8.87,,,2.53,,,,,,,,37.0,,3.21,,,,,,,,,,,,,,,,,,
CL 19 /21,,BEKAD1,,moderate anthocyanin,moderate anthocyanin,,,-,7.27,,,2.41,,,,,,,,41.0,,2.15,,,,,,,,,,,,,,,,,,
CL 19 /22,,BEKAD1,,slight anthocyanin,moderate anthocyanin,,,-,8.69,,,2.51,,,,,,,,46.0,,2.04,,,,,,,,,,,,,,,,,,
CL 19 /27,,BEKAD1,,slight anthocyanin,slight anthocyanin,,,-,7.53,,,2.65,,,,,,,,43.0,,2.74,,,,,,,,,,,,,,,,,,
CL 19 /31,,BEKAD1,,anthocyanin absent,moderate anthocyanin,,,-,8.72,,,2.85,,,,,,,,42.0,,2.7,,,,,,,,,,,,,,,,,,
CL 19 /33,,BEKAD1,,anthocyanin absent,intense anthocyanin,,,-,8.45,,,2.61,,,,,,,,40.0,,2.59,,,,,,,,,,,,,,,,,,
CL 19 /34,,BEKAD1,,anthocyanin absent,intense anthocyanin,,,-,7.73,,,3.33,,,,,,,,42.0,,2.51,,,,,,,,,,,,,,,,,,
CL 19 /35,,BEKAD1,,intense anthocyanin,intense anthocyanin,,,-,8.93,,,2.66,,,,,,,,50.0,,2.68,,,,,,,,,,,,,,,,,,
CL 19 /37,,BEKAD1,,moderate anthocyanin,intense anthocyanin,,,-,7.55,,,2.43,,,,,,,,45.0,,2.83,,,,,,,,,,,,,,,,,,
CL 19 /39,,BEKAD1,,moderate anthocyanin,moderate anthocyanin,,,-,7.37,,,2.35,,,,,,,,53.0,,1.86,,,,,,,,,,,,,,,,,,
CL 19 /41,,BEKAD1,,slight anthocyanin,moderate anthocyanin,,,-,7.44,,,2.25,,,,,,,,41.0,,1.85,,,,,,,,,,,,,,,,,,
CL 19 /42,,BEKAD1,,anthocyanin absent,intense anthocyanin,,,-,7.84,,,2.79,,,,,,,,42.0,,2.94,,,,,,,,,,,,,,,,,,
CL 19 /44,,BEKAD1,,anthocyanin absent,moderate anthocyanin,,,-,7.46,,,2.45,,,,,,,,38.0,,2.84,,,,,,,,,,,,,,,,,,
CL 19 /47,,BEKAD1,,slight anthocyanin,slight anthocyanin,,,-,8.75,,,2.75,,,,,,,,40.0,,2.76,,,,,,,,,,,,,,,,,,
CL 19 /49,,BEKAD1,,slight anthocyanin,slight anthocyanin,,,-,7.84,,,2.71,,,,,,,,43.0,,2.51,,,,,,,,,,,,,,,,,,
CL 19 /51,,BEKAD1,,slight anthocyanin,slight anthocyanin,,,-,6.55,,,1.71,,,,,,,,41.0,,1.83,,,,,,,,,,,,,,,,,,
CL 19 /9,,BEKAD1,,anthocyanin absent,intense anthocyanin,,,-,9.29,,,2.96,,,,,,,,44.0,,3.15,,,,,,,,,,,,,,,,,,
CL 27 /105,,BEKAD1,,slight anthocyanin,intense anthocyanin,,,-,9.1,,,2.1,,,,,,,,41.0,,2.86,,,,,,,,,,,,,,,,,,
CL 27 /109,,BEKAD1,,moderate anthocyanin,intense anthocyanin,,,-,6.84,,,2.06,,,,,,,,45.0,,2.21,,,,,,,,,,,,,,,,,,
CL 27 /111,,BEKAD1,,moderate anthocyanin,intense anthocyanin,,,-,8.4,,,2.54,,,,,,,,42.0,,2.55,,,,,,,,,,,,,,,,,,
CL 27 /116,,BEKAD1,,slight anthocyanin,slight anthocyanin,,,-,6.61,,,1.95,,,,,,,,38.0,,2.07,,,,,,,,,,,,,,,,,,
CL 27 /14,,BEKAD1,,anthocyanin absent,anthocyanin absent,,,-,8.84,,,2.24,,,,,,,,37.0,,2.3,,,,,,,,,,,,,,,,,,
CL 27 /21,,BEKAD1,,slight anthocyanin,anthocyanin absent,,,-,7.45,,,1.87,,,,,,,,41.0,,1.84,,,,,,,,,,,,,,,,,,
CL 27 /27,,BEKAD1,,intense anthocyanin,intense anthocyanin,,,-,8.27,,,2.57,,,,,,,,38.0,,2.41,,,,,,,,,,,,,,,,,,
CL 27 /34,,BEKAD1,,anthocyanin absent,intense anthocyanin,,,-,8.32,,,2.66,,,,,,,,42.0,,2.81,,,,,,,,,,,,,,,,,,
CL 27 /39,,BEKAD1,,slight anthocyanin,intense anthocyanin,,,-,7.66,,,2.33,,,,,,,,44.0,,2.59,,,,,,,,,,,,,,,,,,
CL 27 /43,,BEKAD1,,anthocyanin absent,intense anthocyanin,,,-,8.23,,,2.76,,,,,,,,39.0,,2.46,,,,,,,,,,,,,,,,,,
CL 27 /46,,BEKAD1,,moderate anthocyanin,intense anthocyanin,,,-,8.48,,,2.51,,,,,,,,43.0,,2.51,,,,,,,,,,,,,,,,,,
CL 27 /49,,BEKAD1,,slight anthocyanin,moderate anthocyanin,,,-,8.91,,,3.08,,,,,,,,42.0,,3.37,,,,,,,,,,,,,,,,,,
CL 27 /50,,BEKAD1,,anthocyanin absent,slight anthocyanin,,,-,10.53,,,2.82,,,,,,,,43.0,,2.77,,,,,,,,,,,,,,,,,,
CL 27 /53,,BEKAD1,,intense anthocyanin,slight anthocyanin,,,-,6.45,,,2.26,,,,,,,,41.0,,2.17,,,,,,,,,,,,,,,,,,
CL 27 /58,,BEKAD1,,anthocyanin absent,moderate anthocyanin,,,-,8.13,,,3.05,,,,,,,,42.0,,2.38,,,,,,,,,,,,,,,,,,
CL 27 /61,,BEKAD1,,slight anthocyanin,intense anthocyanin,,,-,8.33,,,2.16,,,,,,,,42.0,,2.6,,,,,,,,,,,,,,,,,,
CL 27 /7,,BEKAD1,,slight anthocyanin,slight anthocyanin,,,-,7.8,,,2.54,,,,,,,,33.0,,2.8,,,,,,,,,,,,,,,,,,
CL 27 /71,,BEKAD1,,intense anthocyanin,moderate anthocyanin,,,-,7.66,,,3.06,,,,,,,,42.0,,2.68,,,,,,,,,,,,,,,,,,
CL 27 /72,,BEKAD1,,moderate anthocyanin,moderate anthocyanin,,,-,8.22,,,2.93,,,,,,,,41.0,,2.83,,,,,,,,,,,,,,,,,,
CL 27 /74,,BEKAD1,,anthocyanin absent,intense anthocyanin,,,-,8.24,,,3.02,,,,,,,,43.0,,2.8,,,,,,,,,,,,,,,,,,
CL 27 /76,,BEKAD1,,anthocyanin absent,slight anthocyanin,,,-,9.13,,,3.2,,,,,,,,54.0,,2.79,,,,,,,,,,,,,,,,,,
