Clone name,Self compatibility,Refcode,Ligule colour,Stamen colour,Sepal length,Ligule width,Ovule number,Style length
ICS 65,,BEKAD1,slight anthocyanin,anthocyanin absent,9.01,2.74,38.0,2.2
ICS 66,,BEKAD1,slight anthocyanin,slight anthocyanin,8.04,2.65,38.0,2.29
ICS 67,,BEKAD1,slight anthocyanin,slight anthocyanin,8.01,2.72,51.0,2.17
ICS 68,,BEKAD1,slight anthocyanin,slight anthocyanin,7.4,2.94,52.0,1.93
ICS 69,,BEKAD1,slight anthocyanin,intense anthocyanin,7.45,2.3,34.0,2.31
ICS 7,,BEKAD1,moderate anthocyanin,moderate anthocyanin,8.85,2.7,40.0,2.44
ICS 70,,BEKAD1,anthocyanin absent,anthocyanin absent,6.71,2.59,41.0,1.92
ICS 72,,BEKAD1,slight anthocyanin,anthocyanin absent,7.94,2.85,34.0,2.24
ICS 73,,BEKAD1,slight anthocyanin,slight anthocyanin,8.67,2.56,49.0,2.32
ICS 75,,BEKAD1,slight anthocyanin,anthocyanin absent,7.47,2.79,40.0,2.06
ICS 76,,BEKAD1,anthocyanin absent,anthocyanin absent,6.94,2.77,40.0,1.92
ICS 77,,BEKAD1,anthocyanin absent,anthocyanin absent,6.94,2.49,45.0,2.03
ICS 8,,BEKAD1,moderate anthocyanin,intense anthocyanin,8.2,2.81,39.0,2.21
ICS 80,,BEKAD1,anthocyanin absent,anthocyanin absent,9.13,2.52,35.0,1.86
ICS 82,,BEKAD1,slight anthocyanin,anthocyanin absent,7.54,2.21,43.0,2.15
ICS 83,,BEKAD1,slight anthocyanin,anthocyanin absent,8.13,2.92,37.0,2.15
ICS 84,,BEKAD1,slight anthocyanin,anthocyanin absent,8.31,3.16,41.0,2.51
ICS 85,,BEKAD1,slight anthocyanin,anthocyanin absent,7.21,1.8,42.0,1.7
ICS 86,,BEKAD1,anthocyanin absent,slight anthocyanin,8.98,2.71,35.0,1.57
ICS 87,,BEKAD1,slight anthocyanin,anthocyanin absent,9.13,3.19,40.0,2.31
ICS 88,,BEKAD1,anthocyanin absent,anthocyanin absent,7.99,2.25,41.0,1.85
ICS 89,,BEKAD1,anthocyanin absent,anthocyanin absent,7.08,2.24,36.0,1.88
ICS 90,,BEKAD1,slight anthocyanin,slight anthocyanin,7.98,2.51,51.0,2.48
ICS 92,,BEKAD1,slight anthocyanin,slight anthocyanin,8.33,2.57,36.0,1.98
ICS 93,,BEKAD1,slight anthocyanin,anthocyanin absent,8.14,2.6,32.0,2.21
ICS 94,,BEKAD1,slight anthocyanin,anthocyanin absent,6.86,2.32,40.0,1.84
ICS 95,,BEKAD1,anthocyanin absent,anthocyanin absent,7.12,2.31,39.0,1.91
ICS 96,,BEKAD1,anthocyanin absent,anthocyanin absent,8.15,2.14,38.0,1.7
ICS 97,,BEKAD1,slight anthocyanin,intense anthocyanin,6.97,2.34,42.0,2.09
ICS 98,,BEKAD1,moderate anthocyanin,anthocyanin absent,6.72,2.05,33.0,1.79
ICS 99,,BEKAD1,slight anthocyanin,slight anthocyanin,7.85,2.22,50.0,2.24
IMC 10,,BEKAD1,slight anthocyanin,slight anthocyanin,7.18,2.54,54.0,2.18
IMC 103,,BEKAD1,moderate anthocyanin,intense anthocyanin,7.05,2.67,53.0,2.26
IMC 104,,BEKAD1,moderate anthocyanin,slight anthocyanin,7.42,2.56,49.0,2.02
IMC 105,,BEKAD1,moderate anthocyanin,slight anthocyanin,7.98,2.55,51.0,2.25
IMC 107,,BEKAD1,slight anthocyanin,intense anthocyanin,7.71,2.88,51.0,1.92
IMC 11,,BEKAD1,slight anthocyanin,slight anthocyanin,7.88,2.38,55.0,2.17
IMC 12,,BEKAD1,intense anthocyanin,intense anthocyanin,6.27,2.09,50.0,1.57
IMC 13,,BEKAD1,slight anthocyanin,intense anthocyanin,6.47,2.57,53.0,2.04
IMC 14,,BEKAD1,moderate anthocyanin,slight anthocyanin,8.95,2.31,54.0,2.19
IMC 16,,BEKAD1,slight anthocyanin,slight anthocyanin,7.72,2.75,41.0,2.2
IMC 18,,BEKAD1,moderate anthocyanin,intense anthocyanin,7.71,2.84,53.0,2.27
IMC 2,,BEKAD1,moderate anthocyanin,moderate anthocyanin,7.2,3.18,62.0,2.29
IMC 20,,BEKAD1,moderate anthocyanin,slight anthocyanin,7.45,2.05,58.0,2.2
IMC 22,,BEKAD1,slight anthocyanin,moderate anthocyanin,7.12,2.39,46.0,2.11
IMC 23,,BEKAD1,moderate anthocyanin,intense anthocyanin,7.71,2.81,55.0,2.24
IMC 27,,BEKAD1,slight anthocyanin,moderate anthocyanin,7.66,2.04,52.0,1.83
IMC 3,,BEKAD1,anthocyanin absent,anthocyanin absent,7.8,3.01,62.0,2.19
IMC 30,,BEKAD1,moderate anthocyanin,moderate anthocyanin,7.52,2.63,55.0,2.23
IMC 31,,BEKAD1,moderate anthocyanin,moderate anthocyanin,7.26,2.55,52.0,2.11
IMC 33,,BEKAD1,moderate anthocyanin,moderate anthocyanin,6.49,2.26,49.0,1.9
IMC 36,,BEKAD1,slight anthocyanin,slight anthocyanin,7.78,2.33,47.0,1.54
IMC 38,,BEKAD1,slight anthocyanin,slight anthocyanin,7.0,2.68,58.0,2.1
IMC 39,,BEKAD1,intense anthocyanin,moderate anthocyanin,6.71,2.52,55.0,1.94
IMC 41,,BEKAD1,moderate anthocyanin,slight anthocyanin,7.22,2.43,48.0,2.02
IMC 42,,BEKAD1,slight anthocyanin,moderate anthocyanin,7.53,2.45,46.0,1.94
IMC 44,,BEKAD1,moderate anthocyanin,moderate anthocyanin,6.85,2.51,48.0,2.04
IMC 45,,BEKAD1,slight anthocyanin,anthocyanin absent,7.24,2.61,57.0,2.03
IMC 47,,BEKAD1,slight anthocyanin,slight anthocyanin,6.97,2.44,48.0,1.82
IMC 48,,BEKAD1,slight anthocyanin,intense anthocyanin,7.6,2.56,57.0,2.43
IMC 49,,BEKAD1,moderate anthocyanin,slight anthocyanin,6.9,2.68,57.0,2.05
IMC 5,,BEKAD1,intense anthocyanin,intense anthocyanin,6.82,2.49,55.0,2.11
IMC 50,,BEKAD1,moderate anthocyanin,moderate anthocyanin,6.56,2.32,52.0,1.7
IMC 51,,BEKAD1,slight anthocyanin,slight anthocyanin,7.5,2.85,60.0,2.32
IMC 53,,BEKAD1,moderate anthocyanin,slight anthocyanin,7.05,2.77,59.0,2.23
IMC 54,,BEKAD1,slight anthocyanin,moderate anthocyanin,7.9,3.22,58.0,2.49
IMC 55,,BEKAD1,slight anthocyanin,moderate anthocyanin,7.1,2.47,51.0,2.15
IMC 57,,BEKAD1,moderate anthocyanin,slight anthocyanin,6.78,2.35,56.0,2.0
IMC 58,,BEKAD1,slight anthocyanin,slight anthocyanin,7.5,3.1,60.0,2.58
IMC 59,,BEKAD1,anthocyanin absent,intense anthocyanin,6.89,2.6,47.0,2.16
IMC 6,,BEKAD1,anthocyanin absent,anthocyanin absent,7.05,2.67,52.0,2.47
IMC 60,,BEKAD1,moderate anthocyanin,intense anthocyanin,6.69,1.94,48.0,1.92
IMC 61,,BEKAD1,moderate anthocyanin,moderate anthocyanin,7.57,2.79,54.0,2.15
IMC 63,,BEKAD1,moderate anthocyanin,intense anthocyanin,7.6,2.49,44.0,2.03
IMC 65,,BEKAD1,slight anthocyanin,moderate anthocyanin,7.92,2.44,53.0,2.18
IMC 66,,BEKAD1,slight anthocyanin,moderate anthocyanin,7.36,2.78,47.0,2.16
IMC 67,,BEKAD1,slight anthocyanin,moderate anthocyanin,7.96,2.77,48.0,2.42
IMC 68,,BEKAD1,anthocyanin absent,moderate anthocyanin,7.09,2.22,51.0,1.88
IMC 71,,BEKAD1,slight anthocyanin,slight anthocyanin,8.0,2.84,60.0,2.28
IMC 73,,BEKAD1,moderate anthocyanin,slight anthocyanin,6.41,2.71,54.0,2.23
IMC 76,,BEKAD1,moderate anthocyanin,moderate anthocyanin,7.84,2.59,54.0,1.99
IMC 77,,BEKAD1,slight anthocyanin,slight anthocyanin,7.71,2.86,48.0,2.51
IMC 78,,BEKAD1,slight anthocyanin,slight anthocyanin,6.78,2.21,49.0,2.05
IMC 81,,BEKAD1,slight anthocyanin,slight anthocyanin,6.94,2.34,45.0,1.92
IMC 83,,BEKAD1,intense anthocyanin,slight anthocyanin,7.16,2.45,59.0,2.38
IMC 85,,BEKAD1,anthocyanin absent,moderate anthocyanin,7.5,2.69,55.0,1.98
IMC 9,,BEKAD1,moderate anthocyanin,slight anthocyanin,7.21,2.67,51.0,1.94
IMC 94,,BEKAD1,slight anthocyanin,slight anthocyanin,7.2,2.36,55.0,2.26
IMC 96,,BEKAD1,moderate anthocyanin,moderate anthocyanin,6.75,2.56,50.0,2.12
IMC 97,,BEKAD1,slight anthocyanin,intense anthocyanin,7.28,2.68,57.0,2.22
IMC 98,,BEKAD1,slight anthocyanin,moderate anthocyanin,7.67,2.75,53.0,2.44
JA 1 /10 [POU],,BEKAD1,slight anthocyanin,intense anthocyanin,8.29,2.85,40.0,2.78
JA 1 /11 [POU],,BEKAD1,slight anthocyanin,intense anthocyanin,7.98,2.85,44.0,2.99
JA 1 /12 [POU],,BEKAD1,slight anthocyanin,slight anthocyanin,7.37,2.2,48.0,2.21
JA 1 /13 [POU],,BEKAD1,slight anthocyanin,moderate anthocyanin,8.62,2.61,43.0,2.66
JA 1 /14 [POU],,BEKAD1,intense anthocyanin,slight anthocyanin,8.4,3.03,35.0,2.14
JA 1 /15 [POU],,BEKAD1,moderate anthocyanin,anthocyanin absent,8.81,2.62,40.0,2.6
JA 1 /17 [POU],,BEKAD1,slight anthocyanin,slight anthocyanin,8.46,2.71,45.0,2.83
JA 1 /18 [POU],,BEKAD1,anthocyanin absent,moderate anthocyanin,8.24,2.89,40.0,2.42
JA 1 /19 [POU],,BEKAD1,slight anthocyanin,intense anthocyanin,8.32,2.65,47.0,2.89
JA 1 /2 [POU],,BEKAD1,slight anthocyanin,intense anthocyanin,8.24,2.46,42.0,2.68
JA 1 /20 [POU],,BEKAD1,slight anthocyanin,slight anthocyanin,7.55,2.54,45.0,2.69
JA 1 /21 [POU],,BEKAD1,slight anthocyanin,moderate anthocyanin,6.39,2.63,44.0,2.84
JA 1 /23 [POU],,BEKAD1,slight anthocyanin,moderate anthocyanin,8.09,2.33,43.0,2.66
JA 1 /25 [POU],,BEKAD1,slight anthocyanin,intense anthocyanin,7.73,2.51,43.0,2.67
JA 1 /29 [POU],,BEKAD1,slight anthocyanin,slight anthocyanin,6.79,2.75,45.0,2.68
JA 1 /3 [POU],,BEKAD1,slight anthocyanin,moderate anthocyanin,8.42,2.71,43.0,2.94
JA 1 /4 [POU],,BEKAD1,slight anthocyanin,intense anthocyanin,7.84,2.74,39.0,2.57
JA 1 /5 [POU],,BEKAD1,slight anthocyanin,moderate anthocyanin,7.98,2.61,44.0,2.71
JA 1 /6 [POU],,BEKAD1,intense anthocyanin,moderate anthocyanin,8.59,2.38,34.0,2.15
JA 1 /9 [POU],,BEKAD1,anthocyanin absent,moderate anthocyanin,8.72,2.79,44.0,2.85
JA 10 /11 [POU],,BEKAD1,moderate anthocyanin,slight anthocyanin,7.23,2.2,42.0,1.97
JA 10 /12 [POU],,BEKAD1,slight anthocyanin,slight anthocyanin,8.12,2.39,48.0,2.32
JA 10 /16 [POU],,BEKAD1,slight anthocyanin,slight anthocyanin,7.07,2.71,41.0,2.45
JA 10 /31 [POU],,BEKAD1,anthocyanin absent,anthocyanin absent,8.31,2.55,46.0,2.49
JA 10 /32 [POU],,BEKAD1,anthocyanin absent,anthocyanin absent,7.01,2.46,44.0,2.28
JA 10 /33 [POU],,BEKAD1,moderate anthocyanin,slight anthocyanin,7.38,2.52,37.0,2.58
JA 10 /34 [POU],,BEKAD1,anthocyanin absent,anthocyanin absent,6.57,2.56,40.0,2.44
JA 10 /35 [POU],,BEKAD1,slight anthocyanin,moderate anthocyanin,7.3,2.5,40.0,2.35
JA 10 /38 [POU],,BEKAD1,anthocyanin absent,anthocyanin absent,6.81,2.43,39.0,2.26
JA 10 /4 [POU],,BEKAD1,slight anthocyanin,slight anthocyanin,8.09,2.61,41.0,2.44
JA 10 /40 [POU],,BEKAD1,slight anthocyanin,moderate anthocyanin,7.11,3.18,45.0,2.62
JA 10 /41 [POU],,BEKAD1,slight anthocyanin,slight anthocyanin,8.2,2.87,42.0,2.54
JA 10 /42 [POU],,BEKAD1,moderate anthocyanin,slight anthocyanin,7.18,2.81,43.0,2.5
JA 10 /46 [POU],,BEKAD1,slight anthocyanin,slight anthocyanin,7.78,2.02,40.0,1.83
JA 10 /5 [POU],,BEKAD1,slight anthocyanin,anthocyanin absent,8.94,2.15,42.0,1.75
JA 10 /51 [POU],,BEKAD1,moderate anthocyanin,intense anthocyanin,7.77,2.7,45.0,2.65
JA 10 /52 [POU],,BEKAD1,moderate anthocyanin,slight anthocyanin,7.02,2.23,42.0,2.22
JA 10 /54 [POU],,BEKAD1,slight anthocyanin,slight anthocyanin,8.53,2.41,45.0,2.71
JA 10 /55 [POU],,BEKAD1,slight anthocyanin,moderate anthocyanin,7.39,2.45,47.0,2.36
JA 10 /6 [POU],,BEKAD1,intense anthocyanin,moderate anthocyanin,6.21,2.17,47.0,2.24
JA 2 /11 [POU],,BEKAD1,slight anthocyanin,moderate anthocyanin,8.62,2.35,41.0,3.03
JA 2 /12 [POU],,BEKAD1,slight anthocyanin,moderate anthocyanin,6.94,2.46,48.0,2.31
JA 2 /18 [POU],,BEKAD1,slight anthocyanin,moderate anthocyanin,7.72,2.8,35.0,2.84
JA 2 /2 [POU],,BEKAD1,slight anthocyanin,slight anthocyanin,8.55,2.55,42.0,2.7
JA 2 /21 [POU],,BEKAD1,slight anthocyanin,intense anthocyanin,7.13,2.6,46.0,2.3
JA 2 /26 [POU],,BEKAD1,slight anthocyanin,moderate anthocyanin,7.98,2.69,45.0,2.36
JA 2 /4 [POU],,BEKAD1,anthocyanin absent,slight anthocyanin,7.65,2.8,35.0,2.71
JA 2 /6 [POU],,BEKAD1,slight anthocyanin,moderate anthocyanin,8.07,2.82,38.0,2.78
JA 2 /8 [POU],,BEKAD1,anthocyanin absent,anthocyanin absent,9.05,2.0,46.0,2.21
JA 3 /11 [POU],,BEKAD1,slight anthocyanin,intense anthocyanin,7.64,2.66,40.0,2.62
JA 3 /14 [POU],,BEKAD1,moderate anthocyanin,anthocyanin absent,7.85,2.11,42.0,1.72
JA 3 /16 [POU],,BEKAD1,slight anthocyanin,moderate anthocyanin,7.96,2.29,50.0,2.31
JA 3 /18 [POU],,BEKAD1,slight anthocyanin,intense anthocyanin,8.39,2.86,45.0,2.38
JA 3 /2 [POU],,BEKAD1,slight anthocyanin,intense anthocyanin,7.99,2.6,41.0,2.66
JA 3 /20 [POU],,BEKAD1,intense anthocyanin,slight anthocyanin,8.14,2.19,42.0,2.31
JA 3 /22 [POU],,BEKAD1,anthocyanin absent,anthocyanin absent,8.17,2.41,39.0,2.43
JA 3 /27 [POU],,BEKAD1,anthocyanin absent,slight anthocyanin,7.76,2.67,37.0,2.46
JA 3 /28 [POU],,BEKAD1,anthocyanin absent,slight anthocyanin,9.03,2.49,48.0,2.61
JA 3 /29 [POU],,BEKAD1,anthocyanin absent,intense anthocyanin,8.14,2.94,46.0,2.97
JA 3 /30 [POU],,BEKAD1,moderate anthocyanin,slight anthocyanin,7.76,2.31,41.0,2.24
JA 3 /32 [POU],,BEKAD1,slight anthocyanin,slight anthocyanin,8.46,2.83,40.0,2.48
JA 3 /35 [POU],,BEKAD1,moderate anthocyanin,intense anthocyanin,9.76,3.16,46.0,3.1
JA 3 /38 [POU],,BEKAD1,moderate anthocyanin,intense anthocyanin,8.55,2.42,44.0,2.65
JA 3 /39 [POU],,BEKAD1,slight anthocyanin,slight anthocyanin,7.25,2.47,42.0,2.3
JA 3 /4 [POU],,BEKAD1,slight anthocyanin,slight anthocyanin,7.59,2.51,40.0,2.13
JA 3 /5 ]POU[,,BEKAD1,slight anthocyanin,slight anthocyanin,7.68,2.31,45.0,2.58
JA 3 /9 [POU],,BEKAD1,anthocyanin absent,moderate anthocyanin,7.21,2.28,45.0,2.67
JA 4 /14 [POU],,BEKAD1,slight anthocyanin,moderate anthocyanin,7.81,2.27,44.0,2.6
JA 4 /17 [POU],,BEKAD1,slight anthocyanin,intense anthocyanin,8.44,2.31,38.0,2.13
JA 4 /21 [POU],,BEKAD1,anthocyanin absent,slight anthocyanin,7.44,2.44,49.0,2.48
JA 4 /28 [POU],,BEKAD1,slight anthocyanin,moderate anthocyanin,8.1,2.56,45.0,2.62
JA 4 /7 [POU],,BEKAD1,slight anthocyanin,slight anthocyanin,8.47,2.17,38.0,1.8
JA 4 /9 [POU],,BEKAD1,slight anthocyanin,intense anthocyanin,7.49,2.22,42.0,2.46
JA 5 /10 [POU],,BEKAD1,slight anthocyanin,moderate anthocyanin,7.83,2.31,44.0,2.55
JA 5 /11 [POU],,BEKAD1,moderate anthocyanin,slight anthocyanin,7.47,2.26,42.0,2.21
JA 5 /18 [POU],,BEKAD1,anthocyanin absent,slight anthocyanin,8.46,2.68,38.0,2.76
JA 5 /19 [POU],,BEKAD1,slight anthocyanin,slight anthocyanin,7.5,2.67,40.0,2.5
JA 5 /2 [POU],,BEKAD1,slight anthocyanin,moderate anthocyanin,8.61,2.53,46.0,2.94
JA 5 /21 [POU],,BEKAD1,slight anthocyanin,moderate anthocyanin,7.28,2.43,42.0,2.37
JA 5 /23 [POU],,BEKAD1,slight anthocyanin,slight anthocyanin,6.65,2.3,50.0,2.43
JA 5 /24 [POU],,BEKAD1,slight anthocyanin,slight anthocyanin,8.41,2.57,43.0,2.68
JA 5 /25 [POU],,BEKAD1,slight anthocyanin,moderate anthocyanin,8.09,2.61,44.0,2.69
JA 5 /26 [POU],,BEKAD1,slight anthocyanin,moderate anthocyanin,8.82,2.86,43.0,3.21
JA 5 /27 [POU],,BEKAD1,slight anthocyanin,moderate anthocyanin,7.9,2.48,43.0,2.71
JA 5 /28 [POU],,BEKAD1,moderate anthocyanin,anthocyanin absent,7.87,2.23,42.0,2.0
JA 5 /31 [POU],,BEKAD1,slight anthocyanin,slight anthocyanin,8.89,2.4,43.0,2.22
JA 5 /34 [POU],,BEKAD1,slight anthocyanin,slight anthocyanin,8.4,2.77,44.0,2.64
JA 5 /35 [POU],,BEKAD1,slight anthocyanin,slight anthocyanin,8.48,2.85,48.0,2.67
JA 5 /36 [POU],,BEKAD1,slight anthocyanin,slight anthocyanin,8.98,2.57,42.0,2.75
JA 5 /37 [POU],,BEKAD1,slight anthocyanin,slight anthocyanin,8.27,2.83,46.0,2.9
JA 5 /38 [POU],,BEKAD1,slight anthocyanin,intense anthocyanin,8.52,2.75,43.0,2.78
JA 5 /39 [POU],,BEKAD1,slight anthocyanin,slight anthocyanin,7.99,2.5,45.0,2.53
JA 5 /4 [POU],,BEKAD1,slight anthocyanin,slight anthocyanin,8.62,2.85,47.0,2.66
JA 5 /40 [POU],,BEKAD1,intense anthocyanin,moderate anthocyanin,8.6,2.45,39.0,2.73
JA 5 /41 [POU],,BEKAD1,slight anthocyanin,slight anthocyanin,7.53,2.52,51.0,2.62
JA 5 /42 [POU],,BEKAD1,moderate anthocyanin,moderate anthocyanin,8.55,2.82,43.0,2.54
JA 5 /47 [POU],,BEKAD1,slight anthocyanin,slight anthocyanin,6.97,2.45,42.0,2.09
JA 5 /5 [POU],,BEKAD1,slight anthocyanin,slight anthocyanin,8.86,2.97,42.0,2.87
JA 5 /7 [POU],,BEKAD1,slight anthocyanin,intense anthocyanin,7.82,2.68,48.0,2.55
JA 5 /8 [POU],,BEKAD1,slight anthocyanin,intense anthocyanin,8.08,2.86,45.0,2.77
JA 5 /9 [POU],,BEKAD1,slight anthocyanin,moderate anthocyanin,8.96,2.86,49.0,2.81
JA 6 /1 [POU],,BEKAD1,slight anthocyanin,slight anthocyanin,6.85,2.48,39.0,2.47
JA 6 /12 [POU],,BEKAD1,slight anthocyanin,slight anthocyanin,9.26,2.62,37.0,3.04
JA 6 /2 [POU],,BEKAD1,anthocyanin absent,slight anthocyanin,9.24,2.53,42.0,2.84
JA 6 /4 [POU],,BEKAD1,slight anthocyanin,slight anthocyanin,8.72,2.32,42.0,2.78
JA 6 /7 [POU],,BEKAD1,slight anthocyanin,intense anthocyanin,8.46,2.56,45.0,2.52
JA 6 /9 [POU],,BEKAD1,slight anthocyanin,slight anthocyanin,8.76,2.65,38.0,2.64
JA 7 /11 [POU],,BEKAD1,moderate anthocyanin,intense anthocyanin,7.88,2.35,52.0,2.22
JA 7 /25 [POU],,BEKAD1,moderate anthocyanin,intense anthocyanin,7.34,2.47,49.0,2.28
JA 7 /3 [POU],,BEKAD1,intense anthocyanin,moderate anthocyanin,8.14,2.57,42.0,2.58
JA 8 /1 [POU],,BEKAD1,slight anthocyanin,intense anthocyanin,7.99,2.72,40.0,2.59
JA 8 /13 [POU],,BEKAD1,slight anthocyanin,moderate anthocyanin,6.83,2.19,37.0,2.28
JA 8 /15 [POU],,BEKAD1,anthocyanin absent,anthocyanin absent,9.77,2.25,34.0,2.54
JA 8 /16 [POU],,BEKAD1,intense anthocyanin,moderate anthocyanin,7.12,2.35,47.0,2.09
JA 8 /19 [POU],,BEKAD1,anthocyanin absent,slight anthocyanin,8.48,2.54,40.0,2.48
JA 8 /20 [POU],,BEKAD1,slight anthocyanin,slight anthocyanin,8.86,2.56,40.0,2.64
JA 8 /21 [POU],,BEKAD1,anthocyanin absent,anthocyanin absent,8.58,2.01,36.0,2.37
JA 8 /24 [POU],,BEKAD1,slight anthocyanin,slight anthocyanin,7.55,2.2,40.0,2.32
JA 8 /25 [POU],,BEKAD1,anthocyanin absent,slight anthocyanin,8.43,2.24,40.0,2.34
JA 8 /26 [POU],,BEKAD1,anthocyanin absent,anthocyanin absent,8.53,2.48,35.0,2.38
JA 8 /3 [POU],,BEKAD1,anthocyanin absent,slight anthocyanin,7.37,2.42,47.0,2.32
JA 8 /33 [POU],,BEKAD1,anthocyanin absent,anthocyanin absent,7.09,2.28,49.0,2.22
JA 8 /38 [POU],,BEKAD1,moderate anthocyanin,intense anthocyanin,7.33,2.24,51.0,1.77
JA 8 /42 [POU],,BEKAD1,slight anthocyanin,moderate anthocyanin,8.23,2.18,43.0,2.26
JA 9 /10 [POU],,BEKAD1,moderate anthocyanin,intense anthocyanin,6.49,2.29,52.0,1.88
JA 9 /12 [POU],,BEKAD1,slight anthocyanin,intense anthocyanin,7.8,1.84,40.0,2.75
JA 9 /13 [POU],,BEKAD1,slight anthocyanin,anthocyanin absent,8.27,2.54,45.0,2.81
JA 9 /14 [POU],,BEKAD1,slight anthocyanin,intense anthocyanin,7.4,2.33,42.0,2.53
JA 9 /16 [POU],,BEKAD1,slight anthocyanin,anthocyanin absent,7.61,2.7,39.0,2.21
JA 9 /20 [POU],,BEKAD1,slight anthocyanin,intense anthocyanin,8.16,2.52,41.0,2.63
JA 9 /29 [POU],,BEKAD1,moderate anthocyanin,moderate anthocyanin,7.46,2.4,47.0,2.13
JA 9 /34 [POU],,BEKAD1,anthocyanin absent,slight anthocyanin,8.56,2.39,41.0,2.53
JA 9 /37 [POU],,BEKAD1,slight anthocyanin,anthocyanin absent,8.25,2.44,39.0,2.41
JA 9 /4 [POU],,BEKAD1,slight anthocyanin,moderate anthocyanin,6.83,2.45,51.0,2.39
JA 9 /9 [POU],,BEKAD1,slight anthocyanin,anthocyanin absent,7.35,2.82,46.0,2.43
LAFI 7,,BEKAD1,anthocyanin absent,anthocyanin absent,6.93,2.91,46.0,2.22
LCT EEN 108 /S,,BEKAD1,anthocyanin absent,anthocyanin absent,8.07,2.03,38.0,2.64
LCT EEN 123,,BEKAD1,moderate anthocyanin,slight anthocyanin,7.05,2.14,47.0,2.3
LCT EEN 162 /S-1010,,BEKAD1,slight anthocyanin,moderate anthocyanin,6.34,2.17,45.0,2.25
LCT EEN 188,,BEKAD1,anthocyanin absent,anthocyanin absent,6.18,1.86,42.0,2.15
LCT EEN 189,,BEKAD1,anthocyanin absent,anthocyanin absent,6.88,1.91,45.0,2.25
LCT EEN 193,,BEKAD1,anthocyanin absent,anthocyanin absent,7.3,1.65,39.0,1.92
LCT EEN 202,,BEKAD1,anthocyanin absent,moderate anthocyanin,7.87,2.44,47.0,2.5
LCT EEN 21 /S-4,,BEKAD1,slight anthocyanin,anthocyanin absent,7.68,2.74,42.0,2.33
LCT EEN 212 /S-4,,BEKAD1,anthocyanin absent,anthocyanin absent,7.6,2.64,45.0,2.56
LCT EEN 221,,BEKAD1,slight anthocyanin,moderate anthocyanin,8.71,2.37,38.0,2.66
LCT EEN 23,,BEKAD1,anthocyanin absent,anthocyanin absent,8.71,2.11,31.0,2.28
LCT EEN 246,,BEKAD1,moderate anthocyanin,anthocyanin absent,6.81,2.52,44.0,1.77
LCT EEN 250,,BEKAD1,anthocyanin absent,moderate anthocyanin,7.73,1.86,40.0,2.62
LCT EEN 253,,BEKAD1,anthocyanin absent,anthocyanin absent,8.37,2.33,41.0,2.42
LCT EEN 261 /S-4,,BEKAD1,anthocyanin absent,anthocyanin absent,8.3,2.72,43.0,2.46
LCT EEN 29 /S-1,,BEKAD1,anthocyanin absent,anthocyanin absent,6.84,1.8,36.0,2.25
LCT EEN 295 /S-10,,BEKAD1,anthocyanin absent,anthocyanin absent,7.39,2.09,39.0,2.48
LCT EEN 31,,BEKAD1,slight anthocyanin,slight anthocyanin,8.28,2.29,43.0,2.17
LCT EEN 321 /S-1,,BEKAD1,slight anthocyanin,anthocyanin absent,6.71,1.8,43.0,1.82
LCT EEN 324 /S-2,,BEKAD1,slight anthocyanin,intense anthocyanin,7.19,2.8,48.0,2.46
LCT EEN 326,,BEKAD1,moderate anthocyanin,slight anthocyanin,7.5,2.42,48.0,2.02
LCT EEN 327,,BEKAD1,slight anthocyanin,moderate anthocyanin,7.29,2.53,48.0,2.45
LCT EEN 346,,BEKAD1,anthocyanin absent,anthocyanin absent,7.74,2.3,39.0,2.17
LCT EEN 37,,BEKAD1,anthocyanin absent,anthocyanin absent,7.37,2.11,41.0,2.48
LCT EEN 37 /F,,BEKAD1,slight anthocyanin,slight anthocyanin,7.15,2.25,37.0,2.26
LCT EEN 370,,BEKAD1,moderate anthocyanin,slight anthocyanin,6.51,1.99,40.0,1.84
LCT EEN 372 /S-301,,BEKAD1,anthocyanin absent,anthocyanin absent,6.58,1.6,37.0,2.09
LCT EEN 409,,BEKAD1,anthocyanin absent,anthocyanin absent,6.19,1.75,37.0,1.48
LCT EEN 411,,BEKAD1,anthocyanin absent,anthocyanin absent,7.43,1.49,45.0,2.24
LCT EEN 46,,BEKAD1,moderate anthocyanin,slight anthocyanin,8.45,2.82,40.0,2.9
LCT EEN 49,,BEKAD1,anthocyanin absent,anthocyanin absent,8.58,2.84,37.0,2.28
LCT EEN 6 /S-1,,BEKAD1,anthocyanin absent,anthocyanin absent,7.18,2.15,44.0,2.25
LCT EEN 60,,BEKAD1,intense anthocyanin,intense anthocyanin,6.94,2.19,49.0,2.03
LCT EEN 62 /S-4,,BEKAD1,slight anthocyanin,moderate anthocyanin,8.71,2.65,44.0,2.22
LCT EEN 66,,BEKAD1,anthocyanin absent,anthocyanin absent,6.8,2.09,36.0,2.59
LCT EEN 68 /S-1,,BEKAD1,anthocyanin absent,anthocyanin absent,7.45,2.39,33.0,2.55
LCT EEN 68 /S-2,,BEKAD1,slight anthocyanin,anthocyanin absent,8.2,2.45,41.0,2.04
LCT EEN 73 /A,,BEKAD1,anthocyanin absent,slight anthocyanin,8.03,2.58,47.0,2.15
LCT EEN 81,,BEKAD1,anthocyanin absent,slight anthocyanin,7.78,2.23,42.0,2.81
LCT EEN 82,,BEKAD1,anthocyanin absent,anthocyanin absent,8.31,2.74,45.0,2.59
