Clone name,Self compatibility,Refcode,Ligule colour,Stamen colour,Sepal length,Ligule width,Ovule number,Style length
SILECIA 8 [ECU],,BEKAD1,slight anthocyanin,slight anthocyanin,8.33,2.35,39.0,1.95
SJ 1 /1 [POU],,BEKAD1,slight anthocyanin,moderate anthocyanin,7.55,2.82,51.0,1.95
SJ 1 /11 [POU],,BEKAD1,slight anthocyanin,intense anthocyanin,8.93,2.4,41.0,2.63
SJ 1 /18 [POU],,BEKAD1,slight anthocyanin,anthocyanin absent,8.61,3.13,47.0,2.55
SJ 1 /19 [POU],,BEKAD1,slight anthocyanin,anthocyanin absent,7.85,2.4,36.0,2.08
SJ 1 /26 [POU],,BEKAD1,slight anthocyanin,intense anthocyanin,8.1,2.87,39.0,2.77
SJ 1 /27 [POU],,BEKAD1,moderate anthocyanin,slight anthocyanin,8.51,2.39,47.0,2.54
SJ 1 /28 [POU],,BEKAD1,slight anthocyanin,intense anthocyanin,7.75,2.39,45.0,2.63
SJ 1 /29 [POU],,BEKAD1,intense anthocyanin,slight anthocyanin,9.06,2.71,45.0,1.95
SJ 1 /3 [POU],,BEKAD1,anthocyanin absent,moderate anthocyanin,7.8,2.63,49.0,2.7
SJ 1 /33 [POU],,BEKAD1,slight anthocyanin,slight anthocyanin,7.64,2.58,50.0,2.62
SJ 1 /34 [POU],,BEKAD1,slight anthocyanin,intense anthocyanin,8.33,2.55,42.0,3.15
SJ 1 /37 [POU],,BEKAD1,anthocyanin absent,anthocyanin absent,8.72,2.52,44.0,2.95
SJ 1 /39 [POU],,BEKAD1,anthocyanin absent,intense anthocyanin,9.0,2.96,45.0,2.99
SJ 1 /4 [POU],,BEKAD1,slight anthocyanin,intense anthocyanin,7.6,2.13,35.0,2.61
SJ 1 /40 [POU],,BEKAD1,anthocyanin absent,slight anthocyanin,7.65,2.23,41.0,2.69
SJ 1 /41 [POU],,BEKAD1,slight anthocyanin,anthocyanin absent,6.7,2.09,38.0,1.76
SJ 1 /5 [POU],,BEKAD1,slight anthocyanin,moderate anthocyanin,7.46,2.34,48.0,2.96
SJ 1 /9 [POU],,BEKAD1,slight anthocyanin,intense anthocyanin,8.54,2.53,59.0,2.67
SJ 2 /10 [POU],,BEKAD1,moderate anthocyanin,anthocyanin absent,7.75,2.27,38.0,2.35
SJ 2 /11 [POU],,BEKAD1,slight anthocyanin,slight anthocyanin,6.59,2.12,40.0,1.79
SJ 2 /12 [POU],,BEKAD1,slight anthocyanin,anthocyanin absent,9.07,2.56,49.0,2.32
SJ 2 /13 [POU],,BEKAD1,anthocyanin absent,slight anthocyanin,7.97,2.4,38.0,2.39
SJ 2 /15 [POU],,BEKAD1,slight anthocyanin,intense anthocyanin,8.01,2.34,43.0,2.68
SJ 2 /16 [POU],,BEKAD1,intense anthocyanin,slight anthocyanin,10.36,2.68,41.0,2.32
SJ 2 /17 [POU],,BEKAD1,slight anthocyanin,slight anthocyanin,9.77,2.83,41.0,2.41
SJ 2 /19 [POU],,BEKAD1,moderate anthocyanin,slight anthocyanin,7.35,2.33,37.0,2.37
SJ 2 /2 [POU],,BEKAD1,slight anthocyanin,slight anthocyanin,8.81,2.72,43.0,2.72
SJ 2 /20 [POU],,BEKAD1,moderate anthocyanin,moderate anthocyanin,7.12,2.25,54.0,1.97
SJ 2 /22 [POU],,BEKAD1,slight anthocyanin,slight anthocyanin,7.88,2.43,38.0,2.51
SJ 2 /24 [POU],,BEKAD1,slight anthocyanin,slight anthocyanin,8.17,2.04,38.0,2.01
SJ 2 /25 [POU],,BEKAD1,slight anthocyanin,slight anthocyanin,8.35,2.13,39.0,2.53
SJ 2 /26 [POU],,BEKAD1,slight anthocyanin,moderate anthocyanin,8.5,2.49,50.0,2.38
SJ 2 /28 [POU],,BEKAD1,anthocyanin absent,slight anthocyanin,7.3,1.88,35.0,2.43
SJ 2 /30 [POU],,BEKAD1,intense anthocyanin,moderate anthocyanin,7.63,2.2,36.0,1.86
SJ 2 /6 [POU],,BEKAD1,intense anthocyanin,slight anthocyanin,8.56,2.25,41.0,2.2
SJ 2 /7 [POU],,BEKAD1,slight anthocyanin,intense anthocyanin,8.14,2.72,44.0,2.8
SLA 10,,BEKAD1,slight anthocyanin,intense anthocyanin,8.5,2.44,44.0,2.72
SLA 13,,BEKAD1,anthocyanin absent,intense anthocyanin,9.22,2.68,48.0,2.77
SLA 16,,BEKAD1,slight anthocyanin,slight anthocyanin,6.53,2.12,39.0,2.01
SLA 20,,BEKAD1,moderate anthocyanin,intense anthocyanin,8.95,2.35,39.0,2.62
SLA 3,,BEKAD1,slight anthocyanin,intense anthocyanin,8.95,2.67,43.0,3.1
SLA 30,,BEKAD1,slight anthocyanin,moderate anthocyanin,6.48,2.23,39.0,2.33
SLA 44,,BEKAD1,slight anthocyanin,slight anthocyanin,8.29,2.43,42.0,2.31
SLA 45,,BEKAD1,slight anthocyanin,intense anthocyanin,6.73,2.47,47.0,2.51
SLA 48,,BEKAD1,slight anthocyanin,moderate anthocyanin,6.66,2.37,43.0,2.1
SLA 51,,BEKAD1,moderate anthocyanin,slight anthocyanin,8.63,2.78,44.0,2.68
SLA 54,,BEKAD1,slight anthocyanin,intense anthocyanin,7.14,2.48,44.0,2.45
SLA 57,,BEKAD1,slight anthocyanin,intense anthocyanin,8.25,2.55,41.0,2.72
SLA 64,,BEKAD1,intense anthocyanin,moderate anthocyanin,6.49,2.08,46.0,1.47
SLA 66,,BEKAD1,anthocyanin absent,anthocyanin absent,7.33,2.45,38.0,2.21
SLA 68,,BEKAD1,slight anthocyanin,intense anthocyanin,7.86,2.64,53.0,2.84
SLA 74,,BEKAD1,intense anthocyanin,moderate anthocyanin,7.99,2.63,49.0,2.13
SLA 77,,BEKAD1,moderate anthocyanin,intense anthocyanin,7.68,2.59,39.0,2.54
SLA 8,,BEKAD1,anthocyanin absent,slight anthocyanin,7.35,2.06,37.0,2.2
SLA 85,,BEKAD1,slight anthocyanin,slight anthocyanin,8.31,2.76,48.0,2.41
SLA 90,,BEKAD1,moderate anthocyanin,moderate anthocyanin,7.15,2.46,42.0,1.93
SLA 93,,BEKAD1,anthocyanin absent,intense anthocyanin,8.12,2.64,37.0,2.6
SLA 95,,BEKAD1,moderate anthocyanin,moderate anthocyanin,7.18,2.42,43.0,2.34
SLA 97,,BEKAD1,slight anthocyanin,intense anthocyanin,8.55,2.2,40.0,2.78
