Clone name,Colour,Shape,Number,Total wet weight,Cotyledon dry weight,Cotyledon length,Cotyledon width
NA 916,dark purple,elliptical,35.0,54.6,1.06,21.1,13.0
NA 92,purple,elliptical,21.0,25.3,0.83,15.8,10.8
NA 929,dark purple,elliptical,35.0,38.2,0.71,19.2,11.7
NA 935,dark purple,ovate,39.0,54.1,0.99,23.9,12.0
NA 961,purple,elliptical,42.0,92.9,1.49,24.5,14.2
NA 98,dark purple,elliptical,36.0,49.9,0.91,22.4,11.9
NAPO 3 [CHA],dark purple,oblong,44.0,73.3,1.09,23.3,12.1
NG 3,purple,elliptical,43.0,56.9,0.92,21.4,10.6
OC 61 [VEN],purple,elliptical,33.0,71.3,1.3,24.9,14.7
PA 1 [PER],dark purple,ovate,42.0,55.9,0.91,21.8,11.3
PA 105 [PER],purple,ovate,32.0,50.9,1.03,23.3,11.9
PA 107 [PER],purple,ovate,44.0,47.0,0.75,18.0,9.9
PA 109 [PER],dark purple,elliptical,38.0,47.9,0.92,19.7,12.7
PA 113 [PER],dark purple,elliptical,42.0,49.3,0.81,19.1,10.8
PA 114 [PER],purple,ovate,40.0,36.6,0.48,17.5,11.0
PA 115 [PER],purple,elliptical,42.0,55.6,0.9,21.5,11.3
PA 118 [PER],dark purple,elliptical,38.0,47.3,0.84,19.7,11.3
PA 12 [PER],purple,elliptical,36.0,54.2,1.02,22.8,13.0
PA 120 [PER],purple,ovate,35.0,38.7,0.82,20.2,11.1
PA 121 [PER],dark purple,elliptical,34.0,44.7,0.96,21.5,12.0
PA 123 [PER],purple,elliptical,29.0,36.0,0.89,20.8,12.2
PA 124 [PER],purple,elliptical,39.0,46.0,0.86,18.8,10.9
PA 125 [PER],dark purple,ovate,42.0,48.5,0.79,20.5,10.5
PA 126 [PER],purple,elliptical,37.0,45.7,0.89,21.0,12.1
PA 128 [PER],dark purple,ovate,44.0,51.5,0.79,20.8,10.4
PA 13 [PER],purple,ovate,42.0,47.1,0.76,19.8,10.5
PA 132 [PER],purple,elliptical,40.0,51.6,0.87,20.6,12.0
PA 134 [PER],dark purple,ovate,39.0,30.1,0.5,17.0,9.5
PA 135 [PER],dark purple,oblong,33.0,51.0,1.01,21.7,11.6
PA 136 [PER],dark purple,elliptical,34.0,46.7,0.97,20.7,11.2
PA 137 [PER],dark purple,elliptical,33.0,49.8,1.08,22.1,12.1
PA 139 [PER],dark purple,elliptical,39.0,49.1,0.77,17.5,10.8
PA 140 [PER],purple,elliptical,27.0,37.0,0.87,20.3,11.5
PA 141 [PER],dark purple,elliptical,36.0,63.1,1.17,21.9,13.1
PA 143 [PER],dark purple,ovate,35.0,55.1,0.97,21.0,11.7
PA 149 [PER],dark purple,oblong,34.0,44.1,0.84,20.9,10.6
PA 15 [PER],dark purple,elliptical,36.0,44.1,0.9,19.7,11.2
PA 150 [PER],dark purple,elliptical,43.0,49.2,0.85,20.2,11.0
PA 151 [PER],purple,elliptical,40.0,42.7,0.75,19.6,10.3
PA 152 [PER],dark purple,ovate,35.0,37.4,0.84,21.9,10.5
PA 156 [PER],dark purple,ovate,39.0,48.2,0.79,20.2,10.5
PA 157 [PER],dark purple,ovate,37.0,60.9,1.17,22.4,12.0
PA 16 [PER],purple,oblong,40.0,46.4,0.86,18.9,11.5
PA 165 [PER],purple,elliptical,37.0,49.0,0.95,20.7,10.3
PA 167 [PER],dark purple,elliptical,36.0,66.3,1.11,23.2,13.1
PA 168 [PER],purple,elliptical,40.0,40.7,0.69,18.9,10.3
PA 169 [PER],purple,elliptical,34.0,47.3,1.01,20.9,12.0
PA 171 [PER],purple,elliptical,42.0,31.2,0.5,18.9,9.9
PA 173 [PER],dark purple,elliptical,33.0,50.6,1.1,22.2,12.8
PA 175 [PER],purple,ovate,43.0,57.9,0.88,20.4,9.7
PA 176 [PER],dark purple,elliptical,40.0,63.2,0.96,21.7,11.1
PA 179 [PER],dark purple,oblong,40.0,57.8,0.94,21.3,12.6
PA 18 [PER],dark purple,elliptical,41.0,47.9,0.9,19.7,11.5
PA 184 [PER],dark purple,elliptical,36.0,46.4,0.95,18.3,10.4
PA 185 [PER],purple,ovate,33.0,39.2,0.75,21.7,10.7
PA 186 [PER],dark purple,ovate,40.0,49.4,0.81,20.5,10.7
PA 187 [PER],dark purple,ovate,39.0,65.3,1.14,23.3,11.3
PA 188 [PER],purple,elliptical,38.0,46.3,0.85,19.1,10.0
PA 189 [PER],purple,elliptical,32.0,46.3,0.89,20.3,11.0
PA 191 [PER],purple,elliptical,36.0,57.3,1.04,18.9,11.2
PA 194 [PER],purple,oblong,38.0,55.4,1.07,21.2,12.6
PA 195 [PER],purple,elliptical,37.0,54.5,1.01,19.8,11.4
PA 196 [PER],purple,elliptical,37.0,49.6,0.99,20.0,11.8
PA 2 [PER],dark purple,ovate,45.0,63.1,0.96,21.2,10.9
PA 2 /72 [PER],purple,elliptical,39.0,37.9,0.7,19.7,10.7
PA 20 [PER],dark purple,elliptical,36.0,63.7,1.19,22.1,13.4
PA 200 [PER],dark purple,elliptical,32.0,41.5,0.83,19.6,10.8
PA 202 [PER],dark purple,elliptical,37.0,44.3,0.84,19.8,10.9
PA 203 [PER],dark purple,oblong,44.0,58.7,0.86,20.9,10.7
PA 205 [PER],purple,elliptical,43.0,92.6,1.41,24.8,14.7
PA 207 [PER],dark purple,elliptical,33.0,41.0,0.84,20.9,12.6
PA 211 [PER],purple,elliptical,33.0,48.8,0.95,18.6,10.7
PA 218 [PER],purple,ovate,36.0,33.8,0.64,19.4,7.6
PA 24 [PER],dark purple,elliptical,39.0,56.8,0.93,19.7,12.3
PA 27 [PER],dark purple,elliptical,38.0,46.4,0.88,20.8,12.5
PA 271 [PER],purple,oblong,39.0,47.9,0.86,20.3,11.1
PA 272 [PER],purple,oblong,40.0,45.4,0.8,18.1,10.8
PA 279 [PER],purple,elliptical,36.0,45.2,0.87,19.8,10.8
PA 288 [PER],dark purple,elliptical,38.0,40.9,0.7,19.9,10.8
PA 289 [PER],purple,elliptical,34.0,48.0,0.9,19.8,11.9
PA 29 [PER],purple,elliptical,35.0,45.2,0.89,21.8,11.3
PA 291 [PER],dark purple,elliptical,30.0,41.5,0.95,20.8,11.8
PA 293 [PER],dark purple,elliptical,40.0,48.0,0.78,20.6,11.2
PA 294 [PER],purple,elliptical,36.0,39.1,0.7,18.8,10.7
PA 296 [PER],purple,elliptical,36.0,46.2,0.83,20.4,11.9
PA 297 [PER],dark purple,elliptical,28.0,44.6,1.0,20.0,12.0
PA 299 [PER],dark purple,elliptical,31.0,37.7,0.89,18.3,11.1
PA 3 [PER],purple,elliptical,42.0,58.1,0.99,21.1,12.8
PA 3 /10 [PER],purple,oblong,45.0,73.7,1.09,22.5,12.3
PA 30 [PER],dark purple,elliptical,36.0,54.0,1.01,22.8,12.9
PA 300 [PER],purple,oblong,41.0,70.9,1.14,21.2,11.8
PA 301 [PER],purple,oblong,30.0,46.9,1.03,21.1,10.9
PA 303 [PER],dark purple,elliptical,34.0,45.6,0.94,19.4,11.6
PA 310 [PER],dark purple,elliptical,37.0,43.6,0.84,20.0,11.8
PA 312 [PER],purple,ovate,36.0,32.7,0.72,20.0,10.9
PA 32 [PER],dark purple,ovate,44.0,58.8,0.85,21.7,11.0
PA 34 [PER],dark purple,elliptical,40.0,47.8,0.83,18.4,9.6
PA 37 [PER],purple,ovate,34.0,69.3,1.45,25.9,15.2
PA 39 [PER],purple,elliptical,39.0,53.8,0.97,21.8,12.9
PA 4 [PER],purple,elliptical,42.0,58.0,0.99,21.2,12.5
PA 41 [PER],purple,elliptical,37.0,45.3,0.79,20.3,10.0
PA 44 [PER],dark purple,elliptical,38.0,37.5,0.75,18.8,10.5
PA 45 [PER],dark purple,ovate,37.0,51.4,0.94,20.3,11.9
PA 46 [PER],purple,elliptical,40.0,40.9,0.44,19.2,10.9
PA 48 [PER],dark purple,oblong,35.0,46.2,0.85,21.0,11.4
PA 49 [PER],dark purple,oblong,36.0,47.4,0.81,20.2,10.6
PA 5 [PER],dark purple,oblong,46.0,58.8,0.91,22.5,11.1
PA 51 [PER],purple,ovate,34.0,44.2,0.97,21.2,12.1
PA 52 [PER],dark purple,elliptical,46.0,53.8,0.79,19.2,10.7
PA 53 [PER],dark purple,elliptical,42.0,53.0,0.85,20.7,11.9
PA 56 [PER],purple,elliptical,39.0,47.6,0.8,14.7,6.5
PA 61 [PER],purple,ovate,41.0,46.1,0.89,19.5,12.6
PA 63 [PER],dark purple,oblong,43.0,66.8,1.06,21.6,11.3
PA 65 [PER],dark purple,elliptical,39.0,44.9,0.77,18.5,11.5
PA 66 [PER],purple,ovate,38.0,48.5,0.88,18.5,10.5
PA 67 [PER],purple,elliptical,37.0,55.5,1.07,23.0,12.0
PA 68 [PER],purple,ovate,45.0,48.4,0.72,21.0,11.0
PA 70 [PER],dark purple,elliptical,34.0,47.6,0.99,21.1,12.3
PA 71 [PER],dark purple,ovate,43.0,66.7,1.19,24.0,12.0
PA 72 [PER],purple,ovate,41.0,55.5,0.91,21.3,10.9
PA 73 [PER],purple,elliptical,46.0,63.2,0.9,22.4,11.3
PA 81 [PER],dark purple,elliptical,37.0,78.5,1.39,24.1,14.3
PA 82 [PER],purple,elliptical,42.0,50.3,0.78,20.9,11.7
PA 84 [PER],purple,elliptical,27.0,42.5,1.01,19.8,11.7
PA 88 [PER],purple,elliptical,28.0,45.7,1.0,19.9,12.3
PA 90 [PER],purple,ovate,40.0,42.7,0.76,19.5,9.2
PA 95 [PER],purple,elliptical,39.0,49.0,0.85,21.9,10.3
PH 1 /2 [BLZ],dark purple,oblong,32.0,38.7,0.78,19.3,11.2
PH 1 /3 [BLZ],dark purple,elliptical,36.0,50.3,0.92,21.8,11.8
PH 1 /4 [BLZ],dark purple,oblong,35.0,44.4,0.89,22.0,11.5
PH 1 /5 [BLZ],dark purple,oblong,32.0,41.3,0.87,21.7,12.0
PH 2 /1 [BLZ],purple,oblong,39.0,47.8,0.83,21.7,11.7
PH 2 /2 [BLZ],dark purple,oblong,40.0,59.9,1.01,23.3,12.2
PH 2 /3 [BLZ],dark purple,oblong,40.0,57.0,0.94,22.1,11.9
PH 2 /4 [BLZ],dark purple,oblong,42.0,57.8,0.87,21.6,11.8
PH 2 /5 [BLZ],dark purple,oblong,36.0,47.4,0.87,21.6,12.1
PH 2 /8 [BLZ],dark purple,oblong,35.0,51.7,1.03,22.1,12.2
PLAYA ALTA 2 [VEN],light purple,elliptical,36.0,72.7,1.26,23.9,13.1
POR 1 [TTO],dark purple,elliptical,36.0,39.1,0.73,20.8,11.4
POR 3 [TTO],purple,ovate,47.0,64.0,0.92,24.3,12.5
POUND 1 /B,purple,elliptical,36.0,38.6,0.84,19.0,11.7
POUND 10 /B,purple,elliptical,28.0,31.5,0.83,19.0,11.6
POUND 10 /C,purple,elliptical,30.0,31.5,0.82,18.7,11.3
POUND 12 /A,dark purple,elliptical,49.0,46.0,0.62,20.8,10.1
POUND 15 /A,dark purple,elliptical,33.0,40.7,0.88,19.6,13.0
POUND 16 /B,purple,elliptical,49.0,58.4,0.84,21.8,11.3
POUND 18,dark purple,ovate,58.0,72.5,0.97,24.1,12.0
POUND 18 /A,dark purple,ovate,53.0,65.5,0.89,22.1,11.7
POUND 19,dark purple,ovate,42.0,50.7,0.85,20.8,11.2
POUND 19 /A,dark purple,elliptical,42.0,39.6,0.65,20.2,10.6
POUND 2 /A,dark purple,elliptical,29.4,34.7,0.8,18.7,11.9
POUND 2 /B,dark purple,elliptical,38.0,47.1,0.91,20.3,12.8
POUND 21 /B,dark purple,elliptical,39.0,51.2,0.81,22.8,11.6
POUND 25 /A,dark purple,oblong,52.0,57.7,0.77,21.6,11.5
POUND 25 /C,purple,elliptical,42.0,48.0,0.74,19.9,12.3
POUND 26 /C,dark purple,elliptical,31.0,37.1,0.81,18.5,11.4
POUND 27 /C,purple,elliptical,37.0,49.9,0.9,20.9,11.6
POUND 31 /A,dark purple,oblong,39.0,32.8,0.55,18.1,8.6
POUND 31 /C,dark purple,oblong,40.0,40.7,0.69,19.4,9.4
POUND 32 /A,purple,elliptical,39.0,46.9,0.92,19.9,12.5
POUND 4 /A,dark purple,elliptical,42.0,51.7,0.89,21.7,12.0
POUND 5 /B,dark purple,elliptical,32.0,39.8,0.84,19.1,11.8
POUND 5 /C,purple,elliptical,40.0,53.8,0.97,21.0,11.8
POUND 7 /A,dark purple,elliptical,46.0,59.3,0.94,21.2,12.0
POUND 7 /B,dark purple,elliptical,50.0,67.3,1.05,23.4,12.6
POUND 7 /C,dark purple,ovate,44.0,64.1,1.02,22.6,12.4
POUND 8 /C,purple,elliptical,32.0,38.3,0.84,19.3,12.3
POUND 9 /B,dark purple,elliptical,47.0,54.0,0.85,21.5,10.1
RB 29 [BRA],dark purple,ovate,43.0,39.1,0.63,18.7,10.5
RB 33 /3 [BRA],dark purple,ovate,37.0,46.4,0.82,23.0,11.6
RB 39 [BRA],dark purple,elliptical,42.0,42.0,0.69,19.4,10.6
RB 46 [BRA],dark purple,elliptical,33.0,37.0,0.83,20.6,11.5
RB 49 [BRA],dark purple,elliptical,41.0,41.6,0.66,20.2,11.1
REDAMEL 1 /27,purple,elliptical,33.0,37.8,0.7,20.6,11.9
REDAMEL 1 /30,dark purple,elliptical,37.0,64.6,1.13,23.6,12.6
REDAMEL 1 /31,purple,ovate,41.0,47.8,0.82,21.0,11.5
RIM 101 [MEX],dark purple,oblong,31.0,52.0,1.0,21.7,12.4
RIM 106 [MEX],purple,elliptical,36.0,52.4,0.96,21.5,12.6
RIM 113 [MEX],dark purple,ovate,41.0,71.2,1.12,22.6,13.4
RIM 117 [MEX],dark purple,elliptical,40.0,84.6,1.34,23.1,13.6
RIM 12 [MEX],light purple,elliptical,32.0,46.5,0.91,19.8,12.1
RIM 13 [MEX],purple,elliptical,35.0,57.5,0.99,21.1,12.3
RIM 19 [MEX],dark purple,elliptical,33.0,66.2,1.37,23.3,13.8
RIM 2 [MEX],light purple,oblong,20.0,38.9,1.26,23.9,13.5
RIM 23 [MEX],dark purple,elliptical,42.0,41.2,0.66,19.3,11.0
RIM 24 [MEX],dark purple,elliptical,38.0,61.4,1.09,21.6,12.6
RIM 39 [MEX],dark purple,elliptical,38.0,58.4,1.11,22.2,13.0
RIM 41 [MEX],purple,elliptical,37.0,57.1,1.06,21.8,12.2
RIM 52 [MEX],dark purple,elliptical,37.0,59.3,1.09,22.1,12.4
RIM 6 [MEX],purple,ovate,36.0,64.3,1.18,23.2,12.9
RIM 71 [MEX],dark purple,elliptical,42.0,82.9,1.31,23.4,13.7
RIM 75 [MEX],dark purple,elliptical,38.0,69.9,1.33,22.9,13.2
RIM 76 [MEX],dark purple,elliptical,39.0,75.4,1.26,23.3,13.4
RIM 8 [MEX],dark purple,ovate,36.0,60.6,1.22,22.8,12.9
RIM 9 [MEX],dark purple,elliptical,38.0,65.9,1.17,21.9,13.1
SAN JUAN WSC,dark purple,elliptical,48.0,99.8,1.34,25.3,14.0
SAN MIGUEL 3161 /2 [CHA],dark purple,elliptical,34.0,57.9,1.0,25.4,12.1
SAN MIGUEL 3360 /2 [CHA],dark purple,elliptical,46.0,67.4,1.11,23.7,13.2
SAN MIGUEL 3360 /3 [CHA],dark purple,elliptical,42.0,60.7,0.96,23.0,13.3
SC 1 [COL],purple,elliptical,35.0,74.8,1.29,23.3,14.4
SC 10 [COL],dark purple,oblong,39.0,73.8,1.24,25.1,14.0
SC 11 [COL],light purple,elliptical,34.0,54.4,1.24,21.9,12.9
SC 12 [COL],dark purple,oblong,37.0,69.7,1.22,22.9,14.2
SC 13 [COL],purple,elliptical,28.0,54.9,1.35,23.6,13.4
SC 17 [COL],dark purple,elliptical,37.0,76.6,1.48,24.6,14.3
SC 19 [COL],dark purple,elliptical,33.0,77.0,1.54,24.6,14.6
SC 2 [COL],dark purple,elliptical,35.0,69.0,1.46,22.9,13.7
SC 20 [COL],purple,elliptical,36.0,69.5,1.22,23.1,13.4
SC 3 [COL],dark purple,elliptical,37.0,67.1,1.23,21.9,14.2
SC 4 [COL],dark purple,oblong,26.0,53.5,1.58,24.5,13.9
SC 5 [COL],dark purple,oblong,35.0,77.9,1.51,24.8,14.0
SC 6 [COL],purple,elliptical,34.0,61.0,1.26,22.7,12.9
SC 8 [COL],purple,elliptical,37.0,62.2,1.04,21.8,13.5
SCA 10,purple,elliptical,37.0,60.9,1.11,21.5,13.2
SCA 11,dark purple,elliptical,33.0,34.6,0.7,19.2,9.8
SCA 12,purple,elliptical,46.0,54.7,0.7,20.9,10.3
SCA 16,dark purple,elliptical,37.0,46.0,0.78,19.2,12.3
SCA 19,purple,elliptical,40.0,50.7,0.92,21.2,12.5
SCA 20,dark purple,elliptical,45.0,56.7,0.97,21.1,11.1
SCA 23,purple,elliptical,46.0,42.5,0.65,19.7,12.2
SCA 24,dark purple,ovate,40.0,36.5,0.65,18.8,10.2
SCA 3,dark purple,ovate,37.0,36.8,0.7,19.1,9.6
SCA 5,purple,elliptical,36.0,32.3,0.69,17.7,9.3
SCA 6,purple,oblong,45.0,34.5,0.51,17.5,8.8
SCA 7,dark purple,elliptical,32.0,41.3,0.81,20.1,11.1
SCA 9,dark purple,elliptical,46.0,65.9,1.07,23.4,13.0
SD 1 /6,dark purple,ovate,57.0,76.5,0.96,24.9,12.6
SI 10 /1,dark purple,elliptical,45.0,70.1,1.01,23.0,12.1
SI 12 /4,purple,elliptical,44.0,57.1,1.01,21.6,12.2
SI 17 /1,dark purple,elliptical,33.0,36.4,0.71,18.7,11.4
SI 22 /3,dark purple,elliptical,48.0,46.1,0.68,19.7,11.2
SI 32 /1,purple,oblong,48.0,45.2,0.67,22.4,10.7
SI 35 /3,dark purple,elliptical,38.0,46.8,0.91,22.0,11.0
SI 40 /6,dark purple,elliptical,44.0,45.9,0.71,20.4,11.3
SI 45 /2,dark purple,oblong,33.0,53.0,1.06,23.7,11.1
SI 46 /2,purple,oblong,38.0,41.1,0.71,20.6,11.4
SI 48 /3,dark purple,oblong,49.0,55.5,0.76,20.5,11.2
SI 48 /4,dark purple,elliptical,36.0,36.3,0.7,18.4,12.0
SI 66 /1,dark purple,elliptical,32.0,45.9,1.0,19.9,12.5
SIAL 330,dark purple,oblong,41.0,64.8,1.15,23.7,13.1
SIAL 339,dark purple,oblong,43.0,66.1,1.05,21.5,12.6
SIAL 44,dark purple,oblong,41.0,55.7,0.82,21.5,11.4
SIC 5,purple,oblong,39.0,54.5,0.85,22.4,11.7
SILECIA 8 [ECU],purple,elliptical,44.0,83.4,1.4,25.7,13.4
SJ 1 /1 [POU],dark purple,elliptical,46.0,78.6,1.06,23.6,12.7
SJ 1 /11 [POU],dark purple,elliptical,36.0,53.7,1.07,21.3,13.4
SJ 1 /18 [POU],dark purple,elliptical,47.0,68.2,0.99,21.7,12.3
SJ 1 /19 [POU],dark purple,ovate,35.0,73.7,1.32,23.2,14.0
SJ 1 /26 [POU],dark purple,elliptical,37.0,53.3,1.04,21.8,12.6
SJ 1 /27 [POU],dark purple,elliptical,41.0,50.3,0.78,21.1,11.3
SJ 1 /28 [POU],dark purple,elliptical,39.0,61.5,0.99,21.2,12.8
SJ 1 /29 [POU],dark purple,elliptical,33.0,50.2,0.91,20.9,11.8
SJ 1 /3 [POU],purple,elliptical,34.0,58.9,1.14,22.5,12.7
SJ 1 /33 [POU],dark purple,ovate,39.0,47.9,0.84,21.6,11.7
SJ 1 /34 [POU],dark purple,elliptical,33.0,68.2,1.36,23.0,14.3
SJ 1 /37 [POU],dark purple,elliptical,38.0,81.4,1.39,22.8,14.3
SJ 1 /39 [POU],dark purple,oblong,41.0,71.4,1.06,23.2,12.5
SJ 1 /4 [POU],dark purple,elliptical,36.0,60.7,1.07,22.3,11.8
SJ 1 /40 [POU],purple,ovate,44.0,66.7,0.93,21.8,11.3
SJ 1 /41 [POU],dark purple,elliptical,39.0,48.4,0.92,21.6,11.8
SJ 1 /5 [POU],purple,elliptical,41.0,60.9,0.9,19.9,12.7
SJ 1 /9 [POU],dark purple,oblong,35.0,59.0,1.04,20.5,11.5
SJ 2 /10 [POU],purple,elliptical,38.0,59.7,0.95,21.9,12.4
SJ 2 /11 [POU],purple,oblong,36.0,36.2,0.64,19.7,10.6
SJ 2 /12 [POU],dark purple,oblong,40.0,56.2,0.89,21.5,12.1
SJ 2 /13 [POU],dark purple,ovate,38.0,45.8,0.83,21.5,11.4
SJ 2 /15 [POU],dark purple,oblong,45.0,71.4,0.96,22.2,11.5
SJ 2 /16 [POU],purple,oblong,34.0,69.8,1.34,25.5,13.5
SJ 2 /17 [POU],purple,oblong,36.0,52.1,0.9,22.5,12.1
SJ 2 /19 [POU],dark purple,elliptical,37.0,55.2,0.94,20.3,13.2
SJ 2 /2 [POU],dark purple,elliptical,44.0,36.3,0.55,17.5,9.5
SJ 2 /20 [POU],purple,ovate,51.0,61.3,0.9,21.1,11.4
SJ 2 /22 [POU],dark purple,elliptical,44.0,74.2,1.17,21.7,11.2
SJ 2 /24 [POU],dark purple,ovate,43.0,49.6,0.69,20.6,11.2
SJ 2 /25 [POU],dark purple,ovate,40.0,46.0,0.78,19.3,11.3
SJ 2 /26 [POU],dark purple,oblong,39.0,57.5,0.96,23.0,12.4
SJ 2 /28 [POU],purple,ovate,37.0,44.7,0.8,22.7,11.8
SJ 2 /30 [POU],dark purple,elliptical,29.0,48.9,1.09,22.7,13.7
SJ 2 /6 [POU],dark purple,oblong,40.0,65.8,1.14,23.4,12.2
SJ 2 /7 [POU],light purple,elliptical,39.0,54.1,0.82,21.2,11.9
SLA 10,dark purple,ovate,44.0,71.5,1.08,21.1,13.4
SLA 13,dark purple,elliptical,35.0,56.5,1.08,23.3,12.5
SLA 16,dark purple,elliptical,37.0,47.7,0.93,18.3,11.3
SLA 20,purple,elliptical,40.0,47.5,0.76,19.7,12.8
SLA 3,dark purple,elliptical,39.0,62.4,1.08,21.7,12.3
SLA 30,purple,ovate,41.0,79.0,1.37,22.2,13.3
SLA 44,purple,elliptical,37.0,51.2,0.93,21.5,11.4
SLA 45,purple,elliptical,41.0,37.1,0.63,18.2,12.4
SLA 48,purple,oblong,35.0,61.3,1.13,22.3,12.6
SLA 51,dark purple,ovate,39.0,62.1,1.14,23.9,13.2
SLA 54,dark purple,ovate,36.0,63.7,1.17,21.5,13.8
SLA 57,purple,elliptical,39.0,39.6,0.65,18.6,11.5
SLA 64,dark purple,oblong,40.0,54.2,0.83,21.2,10.9
SLA 66,dark purple,oblong,37.0,49.8,0.95,21.1,11.2
SLA 68,purple,ovate,45.0,76.4,1.22,22.7,14.4
SLA 74,purple,elliptical,40.0,56.4,0.92,22.7,12.6
SLA 77,dark purple,elliptical,35.0,56.8,1.09,22.3,12.6
SLA 8,purple,elliptical,36.0,50.9,1.03,21.6,12.1
SLA 85,dark purple,oblong,39.0,58.3,0.97,22.3,12.6
SLA 90,purple,elliptical,38.0,53.1,0.93,22.1,12.4
SLA 93,dark purple,ovate,37.0,43.1,0.87,20.7,12.0
SLA 95,dark purple,elliptical,37.0,52.0,0.82,20.0,11.5
SLA 97,mottled,elliptical,38.0,46.2,0.69,20.3,12.4
SLC 1,dark purple,elliptical,47.0,74.4,0.97,21.9,12.7
SLC 11,dark purple,elliptical,28.0,32.5,0.71,18.9,11.2
SLC 12,dark purple,elliptical,45.0,66.4,0.99,21.0,13.0
SLC 18,purple,elliptical,39.0,72.2,1.23,21.4,13.1
SLC 19,purple,ovate,44.0,72.8,1.01,21.7,13.0
SLC 24,dark purple,elliptical,42.0,80.1,1.15,23.8,13.3
SLC 25,dark purple,elliptical,41.0,48.2,0.81,19.4,11.9
SLC 3,dark purple,oblong,35.0,60.3,1.09,23.0,12.5
SLC 4,purple,elliptical,43.0,60.9,0.97,20.7,12.0
SLC 7,purple,ovate,40.0,57.1,0.91,20.2,12.8
SLC 8,dark purple,ovate,37.0,42.0,0.73,19.0,11.5
SM 18 [POU],dark purple,oblong,25.0,31.2,0.8,20.1,10.7
SM 2 [POU],dark purple,elliptical,37.0,42.7,0.72,19.9,10.7
SM 5 [POU],dark purple,elliptical,33.0,58.4,1.06,21.9,13.6
SM 6 [POU],dark purple,oblong,35.0,48.2,0.87,20.5,11.4
SM 9 [POU],dark purple,oblong,27.0,64.6,1.6,25.7,13.2
SNK 12,purple,oblong,40.0,74.9,1.22,24.4,13.1
SP 1 [VEN],purple,elliptical,30.0,61.4,1.24,22.9,14.0
SPA 10 [COL],dark purple,ovate,44.0,47.9,0.65,21.1,11.6
SPA 11 [COL],dark purple,ovate,43.0,56.8,0.86,21.2,12.6
SPA 12 [COL],dark purple,elliptical,45.0,70.8,1.15,21.1,13.5
SPA 16 [COL],dark purple,ovate,50.0,61.0,0.85,22.3,13.4
SPA 18 [COL],dark purple,ovate,45.0,56.3,0.93,21.8,11.9
SPA 20 [COL],dark purple,ovate,46.0,65.1,0.95,22.0,12.7
SPA 4 [COL],purple,ovate,35.0,41.2,0.8,19.0,12.3
SPA 5 [COL],light purple,ovate,41.0,46.6,0.66,20.8,12.1
SPA 7 [COL],purple,elliptical,47.0,49.8,0.79,21.4,12.4
SPA 8 [COL],dark purple,ovate,47.0,51.0,0.76,19.1,10.5
SPA 9 [COL],dark purple,ovate,48.0,48.5,0.71,20.2,12.2
SPEC 137 /6,dark purple,elliptical,46.0,43.8,0.67,20.4,10.0
SPEC 138 /10,purple,elliptical,39.0,44.6,0.85,20.5,12.2
SPEC 138 /11,dark purple,ovate,42.0,55.8,0.91,22.4,11.3
SPEC 138 /13,dark purple,elliptical,54.0,52.5,0.63,20.5,9.3
SPEC 138 /15,purple,elliptical,34.0,61.4,1.15,23.1,13.8
SPEC 138 /16,purple,oblong,33.0,62.2,1.09,23.3,12.7
SPEC 138 /17,purple,ovate,36.0,52.5,1.07,21.5,12.7
SPEC 138 /21,dark purple,elliptical,39.0,46.0,0.8,20.4,11.6
SPEC 138 /3,dark purple,oblong,41.0,45.7,0.77,21.3,10.1
SPEC 138 /8,dark purple,ovate,39.0,37.7,0.62,21.1,10.9
SPEC 160 /9,purple,oblong,30.0,57.9,1.21,22.8,12.6
SPEC 161 /7,purple,elliptical,38.0,57.7,0.97,22.1,12.3
SPEC 18 /5,dark purple,elliptical,38.0,48.0,0.94,20.8,12.5
SPEC 18 /6,purple,elliptical,42.0,49.8,0.78,22.0,12.8
SPEC 184 /15,dark purple,oblong,38.0,55.1,1.18,21.3,12.0
SPEC 184 /2,purple,elliptical,50.0,51.9,0.78,22.6,9.8
SPEC 185 /4,light purple,elliptical,28.0,34.9,0.87,20.1,12.1
SPEC 189 /14,purple,elliptical,40.0,52.6,0.86,22.4,11.9
SPEC 189 /8,purple,elliptical,43.0,67.1,1.07,21.4,12.7
SPEC 194 /103,light purple,elliptical,34.0,69.0,1.35,22.9,13.5
SPEC 194 /107,dark purple,oblong,46.0,57.3,0.86,22.1,11.4
SPEC 194 /109,purple,elliptical,33.0,49.7,1.02,21.5,11.9
SPEC 194 /15,purple,ovate,37.0,55.7,0.97,23.3,12.4
SPEC 194 /44,dark purple,oblong,33.0,36.7,0.75,20.5,10.1
SPEC 194 /48,purple,elliptical,28.0,65.2,1.43,23.6,13.7
SPEC 194 /62,purple,elliptical,34.0,62.7,1.22,23.9,14.7
SPEC 194 /75,dark purple,elliptical,39.0,34.4,0.62,19.2,11.0
SPEC 41 /11,purple,oblong,38.0,55.6,1.01,22.3,12.5
SPEC 41 /6,dark purple,oblong,35.0,58.7,1.11,22.9,12.4
SPEC 41 /6-17,purple,oblong,39.0,50.3,0.88,21.2,11.3
SPEC 41 /6-18,purple,elliptical,36.0,39.2,0.72,20.1,11.1
SPEC 41 /6-25,purple,oblong,39.0,42.6,0.7,21.2,11.8
