Clone name,Fat,Testa
JA 10 /11 [POU],53.5,8.10
JA 10 /12 [POU],55.9,4.60
JA 10 /16 [POU],55.06,5.42
JA 10 /33 [POU],54.42,7.00
JA 10 /38 [POU],51.7,8.10
JA 10 /41 [POU],54.1,6.20
JA 10 /42 [POU],54.2,5.90
JA 10 /4 [POU],53.62,6.81
JA 10 /5 [POU],54.72,6.72
JA 1 /11 [POU],53.92,6.08
JA 1 /10 [POU],54.38,6.14
JA 1 /11 [POU],52.8,7.30
JA 1 /12 [POU],51.77,6.60
JA 1 /17 [POU],52.79,5.23
JA 1 /19 [POU],54.69,6.73
JA 1 /2 [POU],53.6,6.30
JA 1 /9 [POU],50.92,5.52
JA 3 /28 [POU],54.0,7.10
JA 3 /39 [POU],51.78,8.33
JA 4 /17 [POU],51.53,10.19
JA 5 /24 [POU],52.2,6.10
JA 5 /27 [POU],51.2,6.30
JA 5 /4 [POU],51.5,5.50
JA 5 /18 [POU],51.8,5.90
JA 5 /19 [POU],51.9,5.50
JA 5 /19 [POU],53.94,5.12
JA 5 /25 [POU],53.4,5.40
JA 5 /31 [POU],51.92,6.24
JA 5 /34 [POU],54.2,6.00
JA 5 /35 [POU],52.3,6.30
JA 5 /36 [POU],53.1,5.50
JA 5 /37 [POU],52.89,5.43
JA 5 /39 [POU],51.5,6.35
JA 5 /4 [POU],57.15,5.84
JA 5 /47 [POU],51.01,8.09
JA 5 /5 [POU],52.4,5.70
JA 5 /9 [POU],52.3,5.80
JA 5 /9 [POU],50.32,6.47
JA 6 /1 [POU],55.71,11.01
JA 6 /2 [POU],53.0,7.70
JA 6 /4 [POU],54.66,6.20
JA 8 /20 [POU],54.34,6.14
JA 8 /26 [POU],54.13,5.90
JA 8 /33 [POU],50.34,4.89
JA 9 /16 [POU],54.2,8.60
JA 9 /29 [POU],52.88,10.28
JA 9 /34 [POU],55.0,5.40
JA 9 /37 [POU],53.42,11.50
LCT EEN 31,54.3,6.40
LCT EEN 73 /A,53.2,5.00
LCT EEN 246,53.75,7.33
LCT EEN 326,52.84,7.81
LCT EEN 37 /D,54.08,6.26
LCT EEN 68,55.23,11.44
LCT EEN 83 /S-8,52.92,5.83
LP 1 /21 [POU],49.6,6.15
LP 1 /45 [POU],54.48,5.05
LP 3 /29 [POU],52.2,5.10
LP 3 /4 [POU],50.86,9.00
LP 3 /48 [POU],50.35,7.71
LP 3 /15 [POU],53.38,10.73
LP 3 /40 [POU],51.7,4.40
LP 3 /45 [POU],54.45,7.95
LP 4 /7 [POU],53.62,6.85
LP 4 /12 [POU],55.6,4.80
LP 4 /20 [POU],53.73,6.47
LP 4 /24 [POU],53.8,6.90
LP 4 /32 [POU],51.66,6.26
LP 4 /48 [POU],48.95,5.15
LP 4 /5 [POU],51.1,6.40
LP 5 /1 [POU],53.39,6.85
LP 5 /19 [POU],48.7,7.10
LV 28 [POU],52.23,11.80
LX 28,54.2,6.80
LX 38,50.3,8.80
LX 39,53.6,4.80
LX 43,51.2,6.40
LX 53,54.5,6.90
LZ 13,51.97,9.32
LZ 2,51.08,6.97
LZ 33,51.6,7.00
M 33 [ICT],50.5,6.30
MAR 17,52.17,6.60
MATINA 1 /7,54.9,5.70
MO 14,52.66,6.80
MO 81,51.17,12.73
MO 9,54.16,7.00
MOQ 5 /5,52.3,7.00
MOQ 6 /102,51.7,7.40
MOQ 6 /10,54.34,6.96
MOQ 6 /109,52.89,7.64
MOQ 6 /95,56.46,6.71
MOQ 6 /99,52.6,6.70
NA 110,52.9,6.00
NA 111,51.63,5.92
NA 12,53.6,4.90
NA 127,53.77,5.45
NA 137,52.51,6.14
NA 14,54.86,8.85
NA 141,53.59,7.82
NA 142,51.74,8.48
NA 144,55.72,4.09
NA 149,55.91,7.86
NA 154,53.4,7.90
NA 155,51.8,4.80
NA 157,54.95,6.32
NA 16,53.1,5.20
NA 168,53.5,4.30
NA 170,55.4,6.80
NA 178,54.2,5.00
NA 179,54.92,8.20
NA 181,52.17,8.27
NA 186,54.68,5.75
NA 187,55.1,4.46
NA 189,51.04,5.33
NA 191,55.5,4.80
NA 194,54.6,8.58
NA 21,50.9,6.40
NA 217,54.1,6.60
NA 230,51.27,8.42
NA 235,52.23,5.29
NA 244,54.27,6.57
NA 258,53.0,5.10
NA 283,54.0,5.80
NA 286,53.5,5.50
NA 289,55.9,6.40
NA 3,52.0,6.50
NA 312,57.18,9.71
NA 326,56.01,8.90
NA 329,53.2,5.40
NA 335,53.2,4.90
NA 337,54.9,5.90
NA 342,53.97,7.50
NA 359,54.9,4.70
NA 370,54.2,4.40
NA 399,53.9,4.60
NA 406,53.5,5.50
NA 435,55.0,4.70
NA 45,55.2,3.70
NA 471,55.86,10.34
NA 475,56.27,4.82
NA 507,51.91,4.66
NA 519,53.8,4.50
NA 534,55.0,5.20
NA 58,55.9,5.00
NA 62,55.1,7.80
NA 672,53.4,5.20
NA 68,52.5,7.50
NA 685,54.9,5.70
NA 689,54.9,5.30
NA 7 /10,54.8,7.00
NA 702,57.22,4.40
NA 708,54.7,5.60
NA 717,54.9,5.90
NA 718,54.1,5.90
NA 719,54.0,5.10
NA 753,56.06,6.30
NA 756,53.71,4.69
NA 763,54.4,3.40
NA 770,55.0,5.40
NA 771,54.9,3.50
NA 780,54.94,8.20
NA 796,55.0,6.10
NA 807,54.49,5.74
NA 831,53.9,6.00
NA 833,53.75,5.89
NA 847,54.2,7.46
NA 851,55.8,7.41
NA 860,53.2,5.10
NA 90,51.62,7.92
NA 90,55.0,3.90
NA 916,54.72,7.67
NA 92,51.36,8.40
POUND 16 /B,55.6,6.50
POUND 25 /A,54.5,6.80
POUND 26 /C,55.8,7.70
POUND 31 /C,54.0,7.30
POUND 32 /A,54.7,7.30
POUND 7 /A,55.57,7.98
PA 115 [PER],54.12,9.13
PA 118 [PER],53.86,6.32
PA 128 [PER],55.8,5.50
PA 137 [PER],55.5,5.10
PA 140 [PER],53.8,7.50
PA 149 [PER],53.7,6.70
PA 151 [PER],55.9,7.30
PA 152 [PER],55.3,6.60
PA 153 [PER],55.17,9.66
PA 173 [PER],56.34,6.20
PA 175 [PER],55.6,6.00
PA 184 [PER],55.7,7.10
PA 187 [PER],53.2,8.10
PA 188 [PER],54.3,5.60
PA 189 [PER],54.5,6.62
PA 194 [PER],53.9,6.50
PA 196 [PER],54.9,4.90
PA 200 [PER],54.9,3.80
PA 200 [PER],54.04,6.15
PA 211 [PER],55.4,5.80
PA 289 [PER],54.4,5.90
PA 29 [PER],54.3,7.30
PA 294 [PER],54.77,9.85
PA 299 [PER],56.01,10.13
PA 300 [PER],50.49,5.37
PA 301 [PER],55.3,6.90
PA 32 [PER],55.3,5.40
PA 34 [PER],51.6,6.50
PA 4 [PER],53.3,5.60
PA 56 [PER],52.5,6.40
PA 66 [PER],53.93,5.61
PA 67 [PER],55.6,6.70
PA 68 [PER],51.25,7.54
PA 70 [PER],55.8,3.90
PA 72 [PER],54.59,8.10
PA 73 [PER],52.3,5.70
PA 82 [PER],53.2,7.00
PA 84 [PER],56.08,9.17
PA 88 [PER],54.1,5.40
PA 90 [PER],54.0,7.70
PA 95 [PER],54.5,5.10
PLAYA ALTA 2 [VEN],53.0,5.40
SC 5 [COL],50.36,8.74
SCA 3,53.62,7.89
SCA 5,52.4,7.00
SCA 6,53.38,7.11
SJ 1 /19 [POU],51.6,11.72
SJ 2 /12 [POU],53.57,5.89
SJ 2 /2 [POU],52.0,7.40
SJ 2 /22 [POU],53.91,7.37
SJ 2 /25 [POU],54.3,6.89
SLA 16,55.8,6.70
SLA 20,53.46,4.83
SLA 5,55.59,6.58
SLA 77,52.88,9.81
SLC 18,48.4,6.10
SLC 19,49.8,7.20
SLC 19,48.33,5.03
SLC 4,48.8,7.00
SLC 8,46.1,6.20
SP 1 [VEN],51.94,6.14
SPA 18 [COL],52.7,9.48
SPA 20 [COL],53.51,8.15
SPEC 137 /6,54.6,7.10
SPEC 138 /11,55.5,6.40
SPEC 138 /15,51.76,9.76
SPEC 194 /75,58.78,7.97
TRD 111,47.7,8.80
TRD 15,47.3,10.32
TRD 29,52.36,6.63
TRD 37,47.95,7.73
TRD 86,52.86,6.01
UF 11,54.9,5.30
UF 12,54.1,4.80
UF 12,53.61,5.05
UF 168,53.7,4.40
UF 29,52.2,5.90
UF 668,53.3,5.50
UF 677,52.2,4.70
