Clone name,Shape,Basal constriction,Apex form,Rugosity,Furrow desc,Length,Breadth,Colour,Hardness,Info
NA 155,elliptical,slight,obtuse,slight,paired and intermediate separation,168.0,73.0,anthocyanin absent,hard,Hardness > 2.0 Mpa
NA 156,oblong,slight,indented,slight,paired and intermediate separation,157.0,82.0,anthocyanin absent,moderate,Hardness > 1.6 and <= 2.0 Mpa
NA 157,obovate,moderate,indented,moderate,paired and wide separation,159.0,87.0,anthocyanin absent,moderate,Hardness > 1.6 and <= 2.0 Mpa
NA 159,elliptical,slight,indented,moderate,paired and wide separation,144.0,71.0,anthocyanin absent,moderate,Hardness > 1.6 and <= 2.0 Mpa
NA 16,elliptical,moderate,indented,moderate,paired and wide separation,184.0,80.0,anthocyanin absent,hard,Hardness > 2.0 Mpa
NA 168,elliptical,slight,indented,moderate,paired and intermediate separation,153.0,80.0,anthocyanin absent,moderate,Hardness > 1.6 and <= 2.0 Mpa
NA 170,elliptical,moderate,acute,slight,paired and wide separation,151.0,75.0,anthocyanin absent,hard,Hardness > 2.0 Mpa
NA 176,elliptical,strong,obtuse,slight,paired and intermediate separation,178.0,81.0,anthocyanin absent,hard,Hardness > 2.0 Mpa
NA 178,elliptical,slight,mammillate,slight,paired and intermediate separation,151.0,69.0,anthocyanin absent,hard,Hardness > 2.0 Mpa
NA 181,elliptical,slight,mammillate,moderate,paired and wide separation,146.0,70.0,anthocyanin absent,soft,Hardness <= 1.6 Mpa
NA 183,elliptical,slight,obtuse,slight,paired and intermediate separation,134.0,71.0,anthocyanin absent,-,-
NA 184,elliptical,moderate,obtuse,moderate,paired and intermediate separation,149.0,70.0,anthocyanin absent,moderate,Hardness > 1.6 and <= 2.0 Mpa
NA 186,elliptical,moderate,indented,moderate,paired and wide separation,155.0,77.0,anthocyanin absent,hard,Hardness > 2.0 Mpa
NA 187,elliptical,moderate,obtuse,moderate,paired and intermediate separation,153.0,75.0,anthocyanin absent,hard,Hardness > 2.0 Mpa
NA 189,elliptical,moderate,obtuse,moderate,paired and intermediate separation,162.0,74.0,anthocyanin absent,moderate,Hardness > 1.6 and <= 2.0 Mpa
NA 19,elliptical,slight,obtuse,slight,paired and intermediate separation,139.0,77.0,anthocyanin absent,-,-
NA 191,elliptical,slight,acute,moderate,paired and wide separation,169.0,80.0,anthocyanin absent,hard,Hardness > 2.0 Mpa
NA 194,elliptical,moderate,obtuse,moderate,paired and intermediate separation,155.0,74.0,anthocyanin absent,hard,Hardness > 2.0 Mpa
NA 204,elliptical,moderate,indented,moderate,paired and intermediate separation,144.0,68.0,anthocyanin absent,moderate,Hardness > 1.6 and <= 2.0 Mpa
NA 206,obovate,moderate,obtuse,slight,paired and wide separation,146.0,79.0,anthocyanin absent,hard,Hardness > 2.0 Mpa
NA 21,elliptical,strong,mammillate,intense,paired and intermediate separation,185.0,94.0,anthocyanin absent,hard,Hardness > 2.0 Mpa
NA 214,obovate,slight,mammillate,slight,paired and wide separation,165.0,88.0,slight anthocyanin,moderate,Hardness > 1.6 and <= 2.0 Mpa
NA 217,elliptical,moderate,indented,slight,paired and intermediate separation,147.0,70.0,anthocyanin absent,soft,Hardness <= 1.6 Mpa
NA 226,elliptical,slight,obtuse,slight,paired and intermediate separation,155.0,87.0,anthocyanin absent,hard,Hardness > 2.0 Mpa
NA 227,elliptical,moderate,indented,slight,paired and intermediate separation,145.0,71.0,anthocyanin absent,soft,Hardness <= 1.6 Mpa
NA 228,elliptical,moderate,indented,slight,paired and intermediate separation,137.0,70.0,anthocyanin absent,hard,Hardness > 2.0 Mpa
NA 229,elliptical,moderate,obtuse,moderate,paired and intermediate separation,158.0,73.0,anthocyanin absent,-,-
NA 230,elliptical,moderate,acute,moderate,paired and intermediate separation,179.0,89.0,anthocyanin absent,moderate,Hardness > 1.6 and <= 2.0 Mpa
NA 232,elliptical,slight,indented,moderate,paired and intermediate separation,174.0,83.0,anthocyanin absent,moderate,Hardness > 1.6 and <= 2.0 Mpa
NA 235,elliptical,moderate,obtuse,moderate,paired and intermediate separation,160.0,71.0,anthocyanin absent,hard,Hardness > 2.0 Mpa
NA 236,elliptical,moderate,acute,slight,paired and wide separation,147.0,80.0,anthocyanin absent,hard,Hardness > 2.0 Mpa
NA 242,elliptical,slight,mammillate,intense,paired and intermediate separation,143.0,69.0,anthocyanin absent,-,-
NA 244,elliptical,moderate,indented,moderate,paired and intermediate separation,150.0,73.0,anthocyanin absent,moderate,Hardness > 1.6 and <= 2.0 Mpa
NA 246,elliptical,strong,attenuate,moderate,paired and intermediate separation,166.0,76.0,anthocyanin absent,-,-
NA 251,elliptical,slight,obtuse,moderate,paired and intermediate separation,164.0,86.0,slight anthocyanin,-,-
NA 254,elliptical,moderate,obtuse,slight,paired and wide separation,122.0,67.0,anthocyanin absent,hard,Hardness > 2.0 Mpa
NA 26,elliptical,moderate,obtuse,moderate,paired and intermediate separation,153.0,73.0,anthocyanin absent,hard,Hardness > 2.0 Mpa
NA 266,elliptical,moderate,indented,moderate,paired and intermediate separation,145.0,72.0,anthocyanin absent,moderate,Hardness > 1.6 and <= 2.0 Mpa
