Clone name,Pod index
CRU 70,35.1
CRU 72,26.5
CRU 73,16.3
CRU 74,25.1
CRU 77,25.1
CRU 78,22.9
CRU 80,31.1
CRU 81,31.9
CRU 83,30.6
CRU 86,24.4
CRU 87,27.1
CRU 89,20.4
CRU 90,28.0
CRU 91,25.3
CRU 95,23.0
CRU 96,24.5
CRU 97,22.6
CRU 98,20.6
CRU 99,46.6
CRU C11 /2,26.7
CRU C11 /3,32.1
CRU C12 /1,27.4
CRU C12 /2,29.6
CRU C12 /3,27.2
CRU C12 /4,34.0
CRU C12 /6,18.1
CRU C12 /7,22.6
CRU C3 /4,23.1
CRU C3 /5,19.7
CRU C4 /12,24.0
CRU C4 /13,21.6
CRU C4 /3,24.8
CRU C4 /4,47.8
CRU C4 /5,26.7
CRU C4 /6,39.8
CRU C4 /7,37.3
CRU C4 /8,48.1
CRU C5 /2,27.6
CRU C5 /4,35.6
CRU C5 /5,27.6
CRU C5 /7,32.2
CRU C5 /8,22.3
CRU C6 /14,22.5
CRU C6 /19,23.7
CRU C6 /22,22.4
CRU C6 /5,37.5
CRUZ 7 /11,44.6
CRUZ 7 /14,23.4
CRUZ 7 /8,39.4
DE 33 /B,23.7
DE 36 /A,22.1
DE 52 /B,31.4
DE 53 /B,61.6
DE 64 /A,28.9
DE 64 /B,33.5
DE 65 /A,24.4
DE 73 /A,28.7
DOM 1,22.0
DOM 10,24.4
DOM 11,23.0
DOM 13,23.5
DOM 14,23.2
DOM 15,32.8
DOM 16,23.3
DOM 18,30.2
DOM 2,29.4
DOM 20,23.7
DOM 23,26.2
DOM 24,36.2
DOM 25,39.1
DOM 27,33.9
DOM 3,22.5
DOM 30,22.7
DOM 31,26.6
DOM 33,29.4
DOM 35,33.8
DOM 4,24.3
DOM 7,24.6
DOM 8,27.4
DOM 9,28.9
DOPOL 2 /1-4,28.4
DOPOL 2 /1-5,28.1
DOPOL 3 /2-5,28.6
DOPOL 3 /2-6,36.7
DOPOL 4 /4-7,33.4
DOPOL 6 /15-10,28.1
DOPOL 6 /15-5,27.4
DOPOL 6 /15-9,25.5
DOPOL 7 /2-3,29.4
DOS HERMANOS,28.0
DOS HERMANOS 1,34.0
DOS HERMANOS 2,29.9
DR 2,20.9
E 34 [ECU],33.7
E 41 [ECU],20.7
E 575 [ICT],23.3
EBC 148 /S-301,31.6
ECNR,30.2
EEG 8,34.7
EET 162 [ECU],24.0
EET 19 [ECU],21.7
EET 272 [ECU],25.0
EET 28 [ECU],25.1
EET 338 [ECU],35.1
EET 338 /9577 [ECU],34.3
EET 397 [ECU],19.1
EET 399 [ECU],24.4
EET 400 [ECU],19.8
EET 48 [ECU],25.3
EET 58 [ECU],18.3
EET 59 [ECU],23.5
EET 95 [ECU],27.2
ELP 1 A,33.0
ELP 1 /S4,34.8
ELP 10 /S6,30.9
ELP 10 /T,31.8
ELP 11 /S1,33.7
ELP 11 /S3,40.8
ELP 13 /8,38.6
ELP 16 /S7,35.3
ELP 18 /S12,32.7
