Clone name,Colour dark purple,Colour light purple,Colour white,Number,Length,Width,Thickness,Cotyledon wet weight,Info
LCT EEN 346,-,-,+,41.0,26.8,14.7,8.1,1.98,expedition data
LCT EEN 347,-,+,+,14.0,25.8,14.6,11.8,2.31,expedition data
LCT EEN 348,-,-,+,18.0,27.2,14.2,9.3,1.91,expedition data
LCT EEN 349,-,+,-,13.0,26.6,14.7,11.2,2.64,expedition data
LCT EEN 350,-,+,-,15.0,25.7,14.7,11.5,2.65,expedition data
LCT EEN 351,-,+,+,25.0,26.1,15.3,9.6,2.26,expedition data
LCT EEN 352,-,-,+,42.0,27.3,15.5,8.6,2.14,expedition data
LCT EEN 353,-,-,+,11.0,24.2,14.9,12.6,2.49,expedition data
LCT EEN 354,-,-,+,26.0,26.7,15.8,9.3,2.49,expedition data
LCT EEN 355,-,-,+,37.0,25.2,14.2,9.8,2.36,expedition data
LCT EEN 357,-,-,+,41.0,26.7,15.3,9.9,2.35,expedition data
LCT EEN 358,-,+,+,19.0,27.2,14.8,10.9,2.45,expedition data
LCT EEN 359,-,-,+,15.0,28.6,14.8,11.4,2.91,expedition data
LCT EEN 36,+,+,+,14.0,25.1,13.6,10.1,2.20,
LCT EEN 360,-,-,+,35.0,24.1,13.9,8.7,1.85,expedition data
LCT EEN 361,-,-,+,18.0,30.4,17.2,9.7,3.04,expedition data
LCT EEN 362,+,+,-,42.0,19.7,9.1,5.4,0.80,
LCT EEN 364,+,-,-,19.0,18.6,8.6,6.9,0.80,
LCT EEN 367,+,-,-,32.0,22.6,10.7,7.4,1.09,
LCT EEN 369,+,-,-,37.0,18.9,9.4,7.1,0.90,
LCT EEN 37,+,-,-,37.0,27.3,13.3,10.2,2.28,
LCT EEN 371,+,-,-,37.0,18.0,8.8,7.1,0.75,
LCT EEN 372,-,-,+,39.0,28.4,14.5,8.0,2.03,expedition data
LCT EEN 38,-,+,-,31.0,30.3,13.9,11.3,2.88,
LCT EEN 39,+,+,-,29.0,23.4,13.4,8.2,-,expedition data
LCT EEN 391,-,-,+,7.0,24.8,15.8,12.2,2.00,expedition data
LCT EEN 393,+,+,-,31.0,26.8,14.9,8.7,2.31,expedition data
LCT EEN 4,+,-,-,36.0,22.6,13.2,8.2,1.53,expedition data
LCT EEN 404,-,+,-,29.0,18.4,9.8,7.9,1.10,expedition data
LCT EEN 404,+,-,+,34.0,22.3,10.5,6.9,1.15,expedition data
LCT EEN 405,-,+,-,19.0,20.4,9.9,8.0,1.06,expedition data
LCT EEN 408,+,+,-,-,-,-,-,-,expedition data
LCT EEN 418,-,-,+,-,21.5,14.0,7.9,1.49,expedition data
LCT EEN 424,+,-,+,35.0,28.7,15.8,9.9,2.90,expedition data
LCT EEN 430,+,-,+,34.0,29.3,14.4,10.1,2.68,expedition data
LCT EEN 44,-,+,+,10.0,27.9,14.9,11.8,3.20,expedition data
LCT EEN 46,+,-,-,21.0,21.1,11.4,9.0,1.35,
LCT EEN 48,-,+,+,30.0,-,-,-,-,expedition data
LCT EEN 5,+,+,+,33.0,26.2,13.3,8.4,1.79,expedition data
LCT EEN 58,-,-,+,14.0,23.8,13.3,9.4,1.86,expedition data
LCT EEN 59,-,+,-,28.0,28.6,13.9,9.8,2.53,expedition data
LCT EEN 6,+,+,+,19.0,25.4,12.5,9.8,2.16,expedition data
LCT EEN 60,-,+,-,38.0,24.6,13.8,10.3,2.26,
LCT EEN 61,+,+,-,22.0,24.1,13.2,9.6,1.74,expedition data
LCT EEN 62,+,-,-,40.0,19.2,11.1,6.2,1.11,expedition data
LCT EEN 64,-,-,+,11.0,25.6,11.5,9.4,1.63,expedition data
LCT EEN 65,-,-,+,16.0,26.3,15.1,10.9,2.75,expedition data
LCT EEN 66,-,-,+,32.0,24.5,12.9,6.8,1.40,expedition data
LCT EEN 67,+,-,+,36.0,23.3,13.5,7.1,1.35,expedition data
LCT EEN 68,+,-,-,23.0,23.7,12.6,10.2,1.85,expedition data
LCT EEN 69,-,-,+,15.0,24.7,12.9,10.8,2.31,expedition data
LCT EEN 70,+,-,+,31.0,-,-,-,1.50,expedition data
LCT EEN 71,+,-,+,14.0,25.1,13.5,10.1,1.75,expedition data
LCT EEN 72,+,+,+,36.0,25.6,12.5,11.7,1.89,expedition data
LCT EEN 73,+,+,-,46.0,25.8,14.0,8.3,1.92,
LCT EEN 74,+,-,+,17.0,27.5,12.0,7.3,1.80,expedition data
LCT EEN 76,+,-,-,41.0,23.4,12.7,7.9,1.00,expedition data
LCT EEN 77,+,-,+,34.0,25.1,13.3,9.0,2.14,expedition data
LCT EEN 78,+,-,+,10.0,24.8,12.4,9.6,2.22,expedition data
LCT EEN 79,+,-,+,26.0,23.0,12.5,9.0,1.74,expedition data
LCT EEN 8,+,-,-,12.0,23.3,12.3,10.0,2.00,expedition data
LCT EEN 80,-,+,-,34.0,23.1,13.2,11.4,2.00,
LCT EEN 81,-,+,+,73.0,25.2,13.4,8.9,2.00,
LCT EEN 82,+,+,+,14.0,24.6,13.5,10.1,1.75,expedition data
LCT EEN 83,+,-,-,32.0,25.8,13.8,9.2,2.25,expedition data
LCT EEN 84,+,+,-,24.0,23.4,13.1,8.8,1.67,expedition data
LCT EEN 85,+,+,+,30.0,24.5,14.2,9.6,1.75,expedition data
LCT EEN 86,+,-,-,45.0,22.6,12.8,8.3,1.75,expedition data
LCT EEN 87,+,-,+,23.0,24.4,14.1,9.1,2.14,expedition data
LCT EEN 88,-,-,+,36.0,26.1,14.4,8.6,2.25,expedition data
LCT EEN 89,-,+,+,33.0,28.7,14.7,9.0,2.50,expedition data
LCT EEN 90,+,-,-,24.0,23.1,12.6,8.3,1.50,expedition data
LCT EEN 92,+,-,-,43.0,22.6,12.6,8.4,1.50,expedition data
LCT EEN 93,+,-,+,28.0,26.3,14.5,8.5,2.25,expedition data
LCT EEN 94,+,+,-,38.0,20.0,12.7,8.1,1.80,
LCT EEN 97,-,-,+,35.0,23.2,13.9,9.6,1.98,
