Clone name,Seed index,Productivity,Notes
SGU 69,98.0,medium - high,Accession TUR10473
SGU 71,112.3,medium,Accession TUR10474
SGU 82,86.2,high,Accession TUR10475
SIAL 163,93.4,low,Accession TUR10484
SIAL 169,-,very low,Accession TUR10485
SIAL 325,104.1,low,Accession TUR10486
SIAL 407,75.7,high,Accession TUR10487
SIAL 42,83.3,medium,Accession TUR10479
SIAL 44,86.2,very low - low,Accession TUR10480
SIAL 56,72.4,very low - low,Accession TUR10481
SIAL 70,93.4,very low - low,Accession TUR10482
SIAL 8,114.9,medium - high,Accession TUR10478
SIAL 93,102.0,high,Accession TUR10483
SIC 1,126.5,low - medium,Accession TUR10488
SIC 1,123.4,low,Accession TUR10489
SIC 2,109.8,medium,Accession TUR10490
SIC 256,103.0,very low,Accession TUR10494
SIC 28,48.3,very low - low,Accession TUR10493
SIC 329,104.1,medium,Accession TUR10495
SIC 433,88.4,medium,Accession TUR10496
SIC 6,109.8,high,Accession TUR10491
SIC 7,123.4,high,Accession TUR10492
SIC 802,108.6,very low - low,Accession TUR10497
SIC 806,84.0,low,Accession TUR10498
SIC 813,86.2,medium - high,Accession TUR10499
SILECIA 5 [ECU],85.4,medium,Accession TUR10281
SNK 12,60.6,very low - low,Accession TUR10504
SPA 10 [COL],93.4,high,Accession TUR10509
SPA 11 [COL],93.4,medium - high,Accession TUR10510
SPA 12 [COL],77.5,-,Accession TUR10511
SPA 17 [COL],120.4,medium,Accession TUR10512
SPA 5 [COL],71.9,medium,Accession TUR10506
SPA 7 [COL],80.6,low - medium,Accession TUR10507
SPA 9 [COL],107.5,medium,Accession TUR10508
TJ 1,103.0,-,Accession TUR10517
TSA 644,90.0,medium,Accession TUR10527
TSAN 792,99.0,high - very high,Accession TUR10524
TSH 565,90.9,medium - high,Accession TUR10525
TSH 565,85.4,high,Accession TUR11672
TSH 565,86.9,low,Accession TUR10526
UF 10,47.1,medium - high,Accession TUR10533
UF 11,44.8,high,Accession TUR10534
UF 12,54.6,low,Accession TUR10535
UF 122,60.9,very low - low,Accession TUR10542
