Clone name,Testa
JA 1 /6 [POU],4.8
JA 1 /9 [POU],5.4
JA 10 /11 [POU],3.0
JA 10 /12 [POU],5.4
JA 10 /16 [POU],5.4
JA 10 /31 [POU],5.4
JA 10 /32 [POU],6.6
JA 10 /33 [POU],6.3
JA 10 /34 [POU],6.8
JA 10 /35 [POU],6.7
JA 10 /38 [POU],7.0
JA 10 /4 [POU],7.4
JA 10 /40 [POU],6.7
JA 10 /41 [POU],7.5
JA 10 /42 [POU],6.3
JA 10 /46 [POU],5.7
JA 10 /5 [POU],5.5
JA 10 /51 [POU],5.6
JA 10 /52 [POU],6.1
JA 10 /54 [POU],5.6
JA 10 /55 [POU],7.1
JA 10 /6 [POU],5.8
JA 2 /11 [POU],4.6
JA 2 /12 [POU],4.3
JA 2 /18 [POU],6.6
JA 2 /2 [POU],3.8
JA 2 /21 [POU],3.5
JA 2 /26 [POU],5.1
JA 2 /4 [POU],4.6
JA 2 /6 [POU],6.0
JA 2 /8 [POU],6.8
JA 3 /11 [POU],5.7
JA 3 /14 [POU],5.6
JA 3 /16 [POU],4.6
JA 3 /18 [POU],4.9
JA 3 /2 [POU],6.0
JA 3 /20 [POU],5.1
JA 3 /22 [POU],7.3
JA 3 /27 [POU],3.9
JA 3 /28 [POU],6.2
JA 3 /29 [POU],5.1
JA 3 /30 [POU],5.4
JA 3 /32 [POU],5.3
JA 3 /35 [POU],6.2
JA 3 /38 [POU],7.5
JA 3 /39 [POU],5.0
JA 3 /4 [POU],6.4
JA 3 /5 ]POU[,6.2
JA 3 /9 [POU],5.6
JA 4 /14 [POU],5.3
JA 4 /17 [POU],7.0
JA 4 /21 [POU],6.0
JA 4 /28 [POU],5.0
JA 4 /7 [POU],5.0
JA 4 /9 [POU],8.8
JA 5 /10 [POU],5.4
JA 5 /11 [POU],5.6
JA 5 /18 [POU],6.1
JA 5 /19 [POU],5.9
JA 5 /2 [POU],5.2
JA 5 /21 [POU],5.0
JA 5 /23 [POU],6.3
JA 5 /24 [POU],5.6
JA 5 /25 [POU],8.1
JA 5 /26 [POU],6.2
JA 5 /27 [POU],6.9
JA 5 /28 [POU],5.8
JA 5 /31 [POU],6.1
JA 5 /34 [POU],5.9
JA 5 /35 [POU],5.9
JA 5 /36 [POU],4.7
JA 5 /37 [POU],6.3
JA 5 /38 [POU],5.3
JA 5 /39 [POU],5.7
