SampleName,Clone name,Data type,Run,Experiment,BioSample,SampleSource
ICS1,ICS 1,genomic,SRR14743866 NCBI ENA,SRX11078256,SAMN19549171,"AGROSAVIA, Colombia"
ICS39,ICS 39,genomic,SRR14743864 NCBI ENA,SRX11078258,SAMN19549172,"AGROSAVIA, Colombia"
ICS40,ICS 40,genomic,SRR14743863 NCBI ENA,SRX11078259,SAMN19549173,"AGROSAVIA, Colombia"
ICS48,ICS 48,genomic,SRR14743862 NCBI ENA,SRX11078260,SAMN19549174,"AGROSAVIA, Colombia"
ICS6,ICS 6,genomic,SRR14743861 NCBI ENA,SRX11078261,SAMN19549175,"AGROSAVIA, Colombia"
ICS60,ICS 60,genomic,SRR14743860 NCBI ENA,SRX11078262,SAMN19549176,"AGROSAVIA, Colombia"
ICS78,ICS 78,genomic,SRR14743859 NCBI ENA,SRX11078263,SAMN19549177,"AGROSAVIA, Colombia"
ICS95,ICS 95,genomic,SRR14743858 NCBI ENA,SRX11078264,SAMN19549178,"AGROSAVIA, Colombia"
ICS95A,ICS 95 A,genomic,SRR14743857 NCBI ENA,SRX11078265,SAMN19549179,"AGROSAVIA, Colombia"
ICS98,ICS 98,genomic,SRR14743856 NCBI ENA,SRX11078266,SAMN19549180,"AGROSAVIA, Colombia"
IMC60,IMC 60,genomic,SRR14743855 NCBI ENA,SRX11078267,SAMN19549181,"AGROSAVIA, Colombia"
IMC67,IMC 67,genomic,SRR14743853 NCBI ENA,SRX11078269,SAMN19549182,"AGROSAVIA, Colombia"
LOLITA-WALK1,LOLITA-WALK1,genomic,SRR14743852 NCBI ENA,SRX11078270,SAMN19549183,"AGROSAVIA, Colombia"
LUKER40,LUKER 40,genomic,SRR14743851 NCBI ENA,SRX11078271,SAMN19549184,"AGROSAVIA, Colombia"
LUKER50,LUKER 50,genomic,SRR14743850 NCBI ENA,SRX11078272,SAMN19549185,"AGROSAVIA, Colombia"
MON1,MON 1,genomic,SRR14743849 NCBI ENA,SRX11078273,SAMN19549186,"AGROSAVIA, Colombia"
P12,P 12 [POU],genomic,SRR14743848 NCBI ENA,SRX11078274,SAMN19549187,"AGROSAVIA, Colombia"
