Clone name,Bud colour,Ligule colour,Stamen colour,Guide line length,Sepal colour,Sepal width,Sepal length,Ligule length,Ligule width,Ribbon length,Ribbon colour,Ovary width,Ovary length,Ovule number,Style colour,Style length,Staminode colour,Staminode length,Pedicel length,Hairs,Pigmented glands,Horns,Notes
SIAL 163,green,white,negligible anthocyanin,3.5,white,2.5,9.3,2.7,2.6,4.0,green,1.5,2.3,50,white (ap):white (ba),2.4,yellow,8.9,19.4,present,present,absent,Accession 44
SIAL 325,green,white,negligible anthocyanin,4.0,white,2.7,9.2,4.0,2.6,3.9,green,1.5,2.4,50,white (ap):white (ba),2.5,yellow,8.4,25.9,present,present,absent,Accession 45
SIAL 70,green,white,negligible anthocyanin,3.6,white,2.6,9.8,4.4,2.8,4.0,white,1.5,2.5,49,white (ap):white (ba),2.1,yellow,8.6,27.4,present,present,absent,Accession 42
SIAL 88,green,white,negligible anthocyanin,3.4,white,2.8,8.8,3.7,2.7,3.7,green,1.6,3.4,49,white (ap):white (ba),2.5,yellow,8.4,20.4,present,present,absent,Accession 43
SIC 801,white,white,anthocyanin absent,3.4,white,2.5,7.4,3.4,2.3,3.7,white,1.4,2.0,54,white (ap):white (ba),2.4,white,7.0,16.0,present,present,absent,Accession 37
SIC 802,white,white,anthocyanin absent,3.6,white,2.7,7.8,3.6,2.5,3.5,white,1.5,2.4,57,white (ap):white (ba),2.3,white,7.9,17.5,present,present,absent,Accession 38
SIC 812,white,white,anthocyanin absent,3.7,white,2.5,7.9,3.5,2.3,3.5,white,1.4,2.1,55,white (ap):white (ba),2.0,white,8.1,15.4,present,present,absent,Accession 39
SIC 823,white,white,anthocyanin absent,3.6,white,2.6,8.1,3.6,2.5,3.7,white,1.5,2.3,56,white (ap):white (ba),2.4,white,8.4,18.4,present,present,absent,Accession 40
SIC 831,white,white,anthocyanin absent,3.6,white,2.8,8.0,3.6,2.5,3.5,white,1.5,2.3,55,white (ap):white (ba),2.2,white,8.4,17.6,present,present,absent,Accession 41
SILECIA 1 [ECU],white,white,anthocyanin absent,3.4,white,2.2,7.7,2.9,1.9,2.2,white,1.0,1.3,40,white (ap):white (ba),2.1,yellow,6.7,12.8,present,present,absent,Accession 66
SILECIA 1 [ECU],white,white,anthocyanin absent,3.4,white,2.2,7.7,2.9,1.9,2.2,white,1.0,1.3,40,white (ap):white (ba),2.1,yellow,6.7,12.8,present,present,absent,Accession 66
SILECIA 5 [ECU],white,white,anthocyanin absent,3.3,white,2.3,8.4,2.8,2.3,2.0,white,1.1,1.5,42,white (ap):white (ba),2.2,yellow,6.9,15.2,present,present,present,Accession 67
SILECIA 5 [ECU],white,white,anthocyanin absent,3.3,white,2.3,8.4,2.8,2.3,2.0,white,1.1,1.5,42,white (ap):white (ba),2.2,yellow,6.9,15.2,present,present,present,Accession 67
SPA 9 [COL],white,green - white,moderate anthocyanin,3.8,white,2.6,7.6,4.2,2.8,3.0,green,1.2,1.7,59,white (ap):white (ba),2.4,yellow,7.0,16.9,present,present,absent,Accession 50
TRONCO 1800,green,white,negligible anthocyanin,3.6,white,2.6,9.0,4.0,3.1,3.2,white,1.5,2.0,53,white (ap):white (ba),3.0,yellow,8.6,17.0,present,present,absent,Accession 31
TRONCO 2270,white,white,anthocyanin absent,3.7,white,2.3,7.9,3.1,2.7,3.1,white,1.3,1.7,51,white (ap):white (ba),2.5,yellow,7.8,16.9,present,present,absent,Accession 32
TSA 644,green,white,negligible anthocyanin,3.7,green,2.3,7.5,2.7,2.6,3.0,white,1.2,1.7,60,white (ap):white (ba),2.2,yellow,6.8,14.0,present,present,absent,Accession 20
TSA 654,white,green,negligible anthocyanin,3.3,white,2.8,8.3,2.5,3.0,3.6,green,1.3,1.9,60,white (ap):white (ba),2.6,yellow,7.6,19.4,present,present,absent,Accession
TSAN 792,yellow,green,anthocyanin absent,3.6,yellow,2.2,8.2,2.7,2.2,3.0,green,1.2,1.8,62,yellow (ap):green (ba),2.1,yellow,7.8,13.4,present,present,present,Accession 22
TSH 565,green,white,anthocyanin absent,3.6,green - white,2.4,8.9,2.7,2.7,3.8,white,1.1,1.6,57,yellow (ap):green (ba),2.1,yellow,7.6,14.2,present,present,present,Accession 21
UF 221,green,green,anthocyanin absent,4.2,green - white,2.3,9.2,4.0,2.8,3.8,white,1.1,2.1,44,yellow (ap):yellow (ba),1.9,yellow,8.0,17.8,absent,present,present,Accession 53
UF 29,green,green,moderate anthocyanin,3.5,green,2.1,8.0,3.0,2.5,3.5,white,1.0,1.5,47,white (ap):white (ba),2.5,yellow,6.8,17.6,present,present,absent,Accession 52
UF 613,green,green,anthocyanin absent,3.6,green - white,2.8,9.3,3.9,2.6,3.5,green,1.0,1.7,46,yellow (ap):green (ba),2.3,yellow,7.9,20.3,present,present,absent,Accession 54
UF 650,green,green,anthocyanin absent,3.9,green - white,2.8,10.1,3.7,3.1,4.3,white,1.0,1.6,41,yellow (ap):white (ba),2.0,yellow,8.4,19.0,present,present,absent,Accession 55
