Clone name,Colour
C 97 [TRI],slight anthocyanin
C 99 [TRI],intense anthocyanin
CAO 5,moderate anthocyanin
CAS 1,moderate anthocyanin
CATONGO,anthocyanin absent
CBO 177 [VEN],anthocyanin absent
CC 10,intense anthocyanin
CC 17,slight anthocyanin
CC 34,moderate anthocyanin
CC 37,intense anthocyanin
CC 38,slight anthocyanin
CC 39,intense anthocyanin
CC 40,slight anthocyanin
CC 41,intense anthocyanin
CC 49,moderate anthocyanin
CC 54,moderate anthocyanin
CC 57,intense anthocyanin
CC 71,intense anthocyanin
CC 9,moderate anthocyanin
CCN 51,moderate anthocyanin
CERRO AZUL 10,anthocyanin absent
CJ 1 /41 [ECU],slight anthocyanin
CL 10 /10,slight anthocyanin
CL 10 /11,intense anthocyanin
CL 10 /12,slight anthocyanin
CL 10 /14,slight anthocyanin
CL 10 /15,slight anthocyanin
CL 10 /21,moderate anthocyanin
CL 10 /23,moderate anthocyanin
CL 10 /25,slight anthocyanin
CL 10 /26,intense anthocyanin
CL 10 /27,slight anthocyanin
CL 10 /29,slight anthocyanin
CL 10 /3,slight anthocyanin
CL 10 /32,slight anthocyanin
CL 10 /33,moderate anthocyanin
CL 10 /4,moderate anthocyanin
CL 10 /5,moderate anthocyanin
CL 10 /6,intense anthocyanin
CL 10 /7,moderate anthocyanin
CL 13 /12,slight anthocyanin
CL 13 /13,slight anthocyanin
CL 13 /17,slight anthocyanin
CL 13 /2,moderate anthocyanin
CL 13 /21,slight anthocyanin
CL 13 /27,moderate anthocyanin
CL 13 /34,intense anthocyanin
CL 13 /35,slight anthocyanin
CL 13 /36,moderate anthocyanin
CL 13 /4,slight anthocyanin
CL 13 /41,slight anthocyanin
CL 13 /43,slight anthocyanin
CL 13 /65,moderate anthocyanin
CL 15 /194,moderate anthocyanin
CL 15 /195,slight anthocyanin
CL 15 /197,slight anthocyanin
CL 19 /10,anthocyanin absent
CL 19 /11,slight anthocyanin
CL 19 /12,moderate anthocyanin
CL 19 /17,moderate anthocyanin
CL 19 /2,slight anthocyanin
CL 19 /21,moderate anthocyanin
CL 19 /22,moderate anthocyanin
CL 19 /24,moderate anthocyanin
CL 19 /27,slight anthocyanin
CL 19 /31,slight anthocyanin
CL 19 /33,intense anthocyanin
CL 19 /34,moderate anthocyanin
CL 19 /36,slight anthocyanin
CL 19 /39,slight anthocyanin
CL 19 /41,moderate anthocyanin
CL 19 /42,slight anthocyanin
CL 19 /44,slight anthocyanin
CL 19 /46,moderate anthocyanin
CL 19 /47,intense anthocyanin
CL 19 /49,slight anthocyanin
CL 19 /51,intense anthocyanin
CL 19 /9,moderate anthocyanin
CL 27 /105,slight anthocyanin
CL 27 /109,slight anthocyanin
CL 27 /111,moderate anthocyanin
CL 27 /116,slight anthocyanin
CL 27 /14,moderate anthocyanin
CL 27 /16,moderate anthocyanin
CL 27 /21,intense anthocyanin
CL 27 /27,slight anthocyanin
CL 27 /34,slight anthocyanin
CL 27 /39,slight anthocyanin
CL 27 /43,moderate anthocyanin
CL 27 /46,slight anthocyanin
CL 27 /49,moderate anthocyanin
CL 27 /50,slight anthocyanin
CL 27 /53,slight anthocyanin
CL 27 /58,moderate anthocyanin
CL 27 /61,moderate anthocyanin
CL 27 /7,slight anthocyanin
CL 27 /71,intense anthocyanin
CL 27 /72,slight anthocyanin
CL 27 /74,slight anthocyanin
CL 27 /76,slight anthocyanin
CL 27 /79,moderate anthocyanin
CL 27 /86,slight anthocyanin
CL 27 /95,slight anthocyanin
CL 27 /96,slight anthocyanin
CL 3 /7,intense anthocyanin
CL 78 /2,moderate anthocyanin
CL 78 /3,intense anthocyanin
CL 78 /7,moderate anthocyanin
CL 78 /9,intense anthocyanin
CL 9 /12,slight anthocyanin
CL 9 /13,anthocyanin absent
CL 9 /16,intense anthocyanin
CL 9 /19,slight anthocyanin
CL 9 /33,slight anthocyanin
CL 9 /4,slight anthocyanin
CL 9 /51,anthocyanin absent
CL 9 /53,moderate anthocyanin
CL 9 /56,slight anthocyanin
CL 9 /6,slight anthocyanin
CL 9 /7,moderate anthocyanin
CL 9 /9,moderate anthocyanin
CL 91 /1,slight anthocyanin
CL 91 /5,slight anthocyanin
CL 91 /6,intense anthocyanin
CL 91 /7,intense anthocyanin
CLEM 5 /62,moderate anthocyanin
CLEM /S-62-1,moderate anthocyanin
CLM 100,intense anthocyanin
CLM 101,moderate anthocyanin
CLM 107,intense anthocyanin
CLM 11,slight anthocyanin
CLM 111,moderate anthocyanin
CLM 114,slight anthocyanin
CLM 116,intense anthocyanin
CLM 122,moderate anthocyanin
CLM 19,slight anthocyanin
CLM 3,intense anthocyanin
CLM 35,slight anthocyanin
CLM 41,intense anthocyanin
CLM 43,moderate anthocyanin
CLM 49,slight anthocyanin
CLM 56,slight anthocyanin
CLM 59,intense anthocyanin
CLM 6,slight anthocyanin
CLM 60,intense anthocyanin
CLM 61,slight anthocyanin
CLM 64,intense anthocyanin
CLM 70,slight anthocyanin
CLM 78,moderate anthocyanin
CLM 82,intense anthocyanin
CLM 83,anthocyanin absent
CLM 85,anthocyanin absent
CLM 86,slight anthocyanin
CLM 88,slight anthocyanin
CLM 90,moderate anthocyanin
CLM 91,moderate anthocyanin
CLM 96,slight anthocyanin
CLM 97,slight anthocyanin
CLM 99,intense anthocyanin
COCA 3310 /3 [CHA],slight anthocyanin
COCA 3318 /15 [CHA],anthocyanin absent
COCA 3343 /2 [CHA],anthocyanin absent
COCA 3343 /7 [CHA],anthocyanin absent
COCA 3345 /23 [CHA],slight anthocyanin
COCA 3348 /44 [CHA],slight anthocyanin
COCA 3348 /52 [CHA],intense anthocyanin
COCA 3370 /5 [CHA],slight anthocyanin
CRIOLLO 54 [CRI],intense anthocyanin
CRU 100,slight anthocyanin
CRU 101,slight anthocyanin
CRU 102,moderate anthocyanin
CRU 103,intense anthocyanin
CRU 104,slight anthocyanin
CRU 105,moderate anthocyanin
CRU 106,intense anthocyanin
CRU 107,slight anthocyanin
CRU 11,slight anthocyanin
CRU 111,moderate anthocyanin
CRU 112,slight anthocyanin
CRU 113,moderate anthocyanin
CRU 114,intense anthocyanin
CRU 116,moderate anthocyanin
CRU 119,slight anthocyanin
CRU 12,slight anthocyanin
CRU 120,slight anthocyanin
CRU 121,moderate anthocyanin
CRU 122,moderate anthocyanin
CRU 123,slight anthocyanin
CRU 124,intense anthocyanin
CRU 126,moderate anthocyanin
CRU 127,slight anthocyanin
