Clone name,Self compatibility
JA 5 /46 [POU],self compatible
LAFI 7,self incompatible
M 137 [ICT],self compatible
M 252 [ICT],self incompatible
M 253 [ICT],self incompatible
M 8 [SUR],self compatible
MATINA 2 /14,self compatible
MOQ 1 /22,self incompatible
MX 16 /18 [TTO],self compatible
MX 16 /2 [TTO],self compatible
MX 16 /41 [TTO],self compatible
MX 16 /47 [TTO],self compatible
MX 16 /48 [TTO],self compatible
MX 16 /49 [TTO],self compatible
MX 16 /52 [TTO],self compatible
MX 16 /58 [TTO],self compatible
MX 58 /35 [TTO],self incompatible
MX 70 /26 [TTO],self incompatible
MXC 67,self compatible
NA 277,self incompatible
NA 32,self incompatible
NA 33,self incompatible
NA 34,self incompatible
NA 387,self incompatible
PA 30 [PER],self incompatible
PIMENTA,self incompatible
PLAYA ALTA 1 [VEN],self incompatible
PLAYA ALTA 2 [VEN],self incompatible
PLAYA ALTA 4 [VEN],self incompatible
POUND 1,self incompatible
POUND 10,self incompatible
POUND 11,self incompatible
POUND 12,self incompatible
POUND 13,self incompatible
POUND 14,self incompatible
POUND 15,self incompatible
POUND 16,self incompatible
POUND 17,self incompatible
POUND 18,self incompatible
POUND 19,self incompatible
POUND 2,self incompatible
POUND 20,self incompatible
POUND 21,self incompatible
POUND 24,self incompatible
POUND 25,self incompatible
POUND 26,self incompatible
POUND 27,self incompatible
POUND 28,self incompatible
POUND 29,self incompatible
POUND 3,self incompatible
POUND 30,self incompatible
POUND 31,self incompatible
POUND 32,self compatible
POUND 4,self incompatible
POUND 5,self incompatible
POUND 7,self incompatible
POUND 8,self incompatible
POUND 9,self compatible
REDAMEL 1 /22,self compatible
REDAMEL 1 /27,self compatible
REDAMEL 1 /31,self compatible
RUY,self compatible
SCA 10,self incompatible
SCA 11,self incompatible
SCA 12,self incompatible
SCA 17,self incompatible
SCA 19,self incompatible
SCA 23,self incompatible
SCA 24,self incompatible
SCA 27,self incompatible
SCA 3,self incompatible
SCA 5,self incompatible
SCA 6,self incompatible
SCA 7,self incompatible
SCA 8,self incompatible
SCA 9,self incompatible
SIC 28,self compatible
SPEC 138 /10,self compatible
SPEC 161 /3,self incompatible
SPEC 161 /7,self compatible
SPEC 194 /75,self compatible
SPEC 194 /80,self incompatible
SPEC 195 /7,self compatible
SPEC 41 /11,self compatible
SPEC 41 /2,self compatible
SPEC 41 /6,self compatible
SPEC 41 /9,self compatible
SPEC 54 /1,self compatible
SPEC 54 /2,self compatible
STAHEL,self incompatible
TSA 644,self incompatible
UF 11,self incompatible
UF 12,self incompatible
UF 29,self compatible
VEN B 56 [ICT],self compatible
VEN B 87 [ICT],self compatible
VEN B 93 [ICT],self compatible
VEN B 99 [ICT],self compatible
