Clone name,Length,Width,L w ratio,Basal angle,Apical angle,Petiole length,Pulvinus length,Notes
IMC 73,273.0,85.0,3.2,109.0,52.1,19,15,Data collected on 03/05/1991
IMC 76,285.0,96.0,2.8,137.6,67.5,14,11,Data collected on 23/02/1990
IMC 77,240.0,91.0,2.8,132.5,74.9,16,17,Data collected on 06/02/1990
IMC 78,248.0,80.0,3.1,123.2,73.2,18,13,Data collected on 26/01/1990
IMC 85,277.0,93.0,3.0,154.4,75.7,7,12,Data collected on 22/10/1990
IMC 9,285.0,106.0,2.7,124.2,64.7,22,19,Data collected on 09/05/1991
IMC 94,338.0,110.0,3.1,121.6,54.8,18,16,Data collected on 02/04/1991
IMC 96,230.0,77.0,2.9,139.8,64.7,8,12,Data collected on 23/02/1990
IMC 97,311.0,110.0,2.8,120.7,63.4,18,16,Data collected on 27/03/1991
IMC 98,225.0,84.0,2.7,132.1,79.6,13,14,Data collected on 02/09/1991
JA 5 /31 [POU],279.0,99.0,2.8,113.7,64.9,22,16,Data collected on 13/02/1991
LH 5,282.0,107.0,2.6,120.7,79.4,21,15,Data collected on 18/12/1991
LZ 13,253.0,96.0,2.6,105.7,68.8,17,12,Data collected on 28/06/1991
MAN 15 /60 [BRA],333.0,120.0,2.8,117.6,62.6,24,18,Data collected on 10/04/1991
MATINA 1 /4,298.0,104.0,2.9,129.7,78.3,18,16,Data collected on 12/12/1991
MATINA 1 /7,264.0,88.0,3.0,118.7,74.8,17,16,Data collected on 04/09/1991
MO 109,259.0,95.0,2.7,142.3,72.2,19,13,Data collected on 12/04/1991
MO 20,238.0,81.0,2.9,120.1,65.5,20,12,Data collected on 10/07/1991
MOCO 1 /12,296.0,98.0,3.1,105.9,60.4,20,17,Data collected on 19/02/1991
MOQ 2 /10,273.0,109.0,2.5,122.3,67.0,23,19,Data collected on 18/07/1991
NA 13,323.0,105.0,3.1,96.8,91.5,15,10,Data collected on 18/01/1991
NA 137,323.0,99.0,3.2,114.2,52.0,19,22,Data collected on 24/04/1991
NA 226,242.0,92.0,2.6,151.2,88.5,13,8,Data collected on 12/11/1991
NA 268,310.0,107.0,2.9,116.2,57.3,17,16,Data collected on 25/04/1991
NA 32,291.0,103.0,2.8,93.3,59.0,16,15,Data collected on 23/10/1991
NA 34,288.0,97.0,3.0,93.4,57.3,15,12,Data collected on 10/09/1991
NA 342,265.0,102.0,2.6,119.3,80.3,12,8,Data collected on 31/10/1991
NA 427,246.0,84.0,3.0,94.4,59.9,11,12,Data collected on 10/09/1991
NA 534,296.0,101.0,2.9,104.7,57.5,20,18,Data collected on 30/04/1991
NA 753,268.0,91.0,2.9,95.9,57.7,13,12,Data collected on 10/09/1991
NA 804,281.0,97.0,2.9,104.8,59.0,15,15,Data collected on 11/09/1991
NA 867,255.0,90.0,2.9,116.0,72.6,12,6,Data collected on 11/09/1991
NA 935,254.0,90.0,2.8,114.3,61.6,17,13,Data collected on 06/05/1991
NA 98,248.0,99.0,2.5,94.6,64.7,11,9,Data collected on 25/07/1991
NG 3,229.0,90.0,2.6,118.7,85.7,13,11,Data collected on 21/11/1991
PA 13 [PER],247.0,76.0,3.3,108.0,53.0,16,13,Data collected on 28/05/1991
PA 15 [PER],244.0,85.0,2.9,111.9,62.8,17,13,Data collected on 10/05/1991
PA 150 [PER],226.0,82.0,2.8,101.7,67.4,21,14,Data collected on 14/05/1991
PA 169 [PER],299.0,113.0,2.7,104.2,67.8,17,15,Data collected on 01/11/1991
PA 18 [PER],268.0,98.0,2.7,108.8,65.9,18,14,Data collected on 14/05/1991
PLAYA ALTA 2 [VEN],280.0,101.0,2.8,98.5,62.1,19,16,Data collected on 25/01/1991
POR 1 [TTO],311.0,100.0,3.1,101.3,54.8,19,16,Data collected on 21/02/1991
POUND 1 /B,268.0,96.0,2.8,120.0,60.7,12,13,Data collected on 26/04/1991
POUND 10 /B,300.0,115.0,2.6,133.7,63.8,13,11,Data collected on 15/03/1991
POUND 12 /A,252.0,90.0,2.8,152.1,80.2,20,13,Data collected on 17/12/1991
POUND 12 /B,253.0,101.0,2.5,112.5,63.3,22,16,Data collected on 28/05/1991
POUND 15 /A,266.0,101.0,2.6,117.0,87.8,12,6,Data collected on 20/08/1991
POUND 16 /B,320.0,117.0,2.8,119.0,58.8,16,16,Data collected on 15/03/1991
POUND 18,303.0,97.0,3.1,146.9,53.8,14,8,Data collected on 13/03/1991
POUND 18 /A,320.0,109.0,3.0,111.2,59.8,17,16,Data collected on 28/05/1991
POUND 2 /A,263.0,108.0,2.5,118.0,69.2,12,13,Data collected on 10/04/1991
POUND 2 /B,264.0,104.0,2.6,121.4,68.4,13,11,Data collected on 10/04/1991
POUND 25 /A,244.0,85.0,2.9,139.5,71.4,7,14,Data collected on 26/09/1990
POUND 26 /C,284.0,99.0,2.9,114.8,58.5,13,12,Data collected on 28/05/1991
