Clone name,Colour
LCT EEN 199,intermediate anthocyanin
LCT EEN 2,slight anthocyanin
LCT EEN 20,intermediate anthocyanin
LCT EEN 201,anthocyanin absent
LCT EEN 202,intermediate anthocyanin
LCT EEN 203,slight anthocyanin
LCT EEN 205,intermediate anthocyanin
LCT EEN 21,anthocyanin absent
LCT EEN 212,intense anthocyanin
LCT EEN 214,intermediate anthocyanin
LCT EEN 215,intense anthocyanin
LCT EEN 216,anthocyanin absent
LCT EEN 217,anthocyanin absent
LCT EEN 218,anthocyanin absent
LCT EEN 219,anthocyanin absent
LCT EEN 22,intense anthocyanin
LCT EEN 220,anthocyanin absent
LCT EEN 221,anthocyanin absent
LCT EEN 222,anthocyanin absent
LCT EEN 223,anthocyanin absent
LCT EEN 227,anthocyanin absent
LCT EEN 228,anthocyanin absent
LCT EEN 23,slight anthocyanin
LCT EEN 231,anthocyanin absent
LCT EEN 232,anthocyanin absent
LCT EEN 234,anthocyanin absent
LCT EEN 236,anthocyanin absent
LCT EEN 237,anthocyanin absent
LCT EEN 24,anthocyanin absent
LCT EEN 241,anthocyanin absent
LCT EEN 242,anthocyanin absent
LCT EEN 243,anthocyanin absent
LCT EEN 244,anthocyanin absent
LCT EEN 246,anthocyanin absent
LCT EEN 248,slight anthocyanin
LCT EEN 249,anthocyanin absent
LCT EEN 25,anthocyanin absent
LCT EEN 250,slight anthocyanin
LCT EEN 251,anthocyanin absent
LCT EEN 253,slight anthocyanin
LCT EEN 254,anthocyanin absent
LCT EEN 255,anthocyanin absent
LCT EEN 257,slight anthocyanin
LCT EEN 258,slight anthocyanin
LCT EEN 259,slight anthocyanin
LCT EEN 26,anthocyanin absent
LCT EEN 264,slight anthocyanin
LCT EEN 269,anthocyanin absent
LCT EEN 27,intermediate anthocyanin
LCT EEN 271,anthocyanin absent
LCT EEN 278,slight anthocyanin
LCT EEN 280,anthocyanin absent
LCT EEN 281,slight anthocyanin
LCT EEN 282,anthocyanin absent
LCT EEN 288,anthocyanin absent
LCT EEN 295,anthocyanin absent
LCT EEN 296,slight anthocyanin
LCT EEN 297,anthocyanin absent
LCT EEN 30,anthocyanin absent
LCT EEN 300,anthocyanin absent
LCT EEN 302,anthocyanin absent
LCT EEN 306,anthocyanin absent
LCT EEN 31,slight anthocyanin
LCT EEN 312,slight anthocyanin
LCT EEN 313,anthocyanin absent
LCT EEN 32,anthocyanin absent
LCT EEN 320,anthocyanin absent
LCT EEN 321,anthocyanin absent
LCT EEN 323,slight anthocyanin
LCT EEN 324,slight anthocyanin
LCT EEN 325,anthocyanin absent
LCT EEN 326,anthocyanin absent
LCT EEN 327,anthocyanin absent
LCT EEN 328,anthocyanin absent
LCT EEN 329,anthocyanin absent
LCT EEN 33,anthocyanin absent
LCT EEN 331,anthocyanin absent
LCT EEN 332,anthocyanin absent
LCT EEN 333,anthocyanin absent
LCT EEN 334,anthocyanin absent
LCT EEN 335,anthocyanin absent
LCT EEN 336,anthocyanin absent
LCT EEN 337,anthocyanin absent
LCT EEN 338,anthocyanin absent
LCT EEN 339,anthocyanin absent
LCT EEN 340,anthocyanin absent
LCT EEN 341,anthocyanin absent
LCT EEN 342,anthocyanin absent
LCT EEN 343,anthocyanin absent
LCT EEN 344,anthocyanin absent
LCT EEN 345,anthocyanin absent
LCT EEN 346,anthocyanin absent
LCT EEN 347,anthocyanin absent
LCT EEN 348,anthocyanin absent
LCT EEN 349,slight anthocyanin
LCT EEN 350,slight anthocyanin
LCT EEN 351,slight anthocyanin
LCT EEN 352,anthocyanin absent
LCT EEN 353,slight anthocyanin
LCT EEN 354,anthocyanin absent
LCT EEN 355,anthocyanin absent
LCT EEN 356,anthocyanin absent
LCT EEN 357,anthocyanin absent
LCT EEN 358,slight anthocyanin
LCT EEN 359,anthocyanin absent
LCT EEN 36,intermediate anthocyanin
LCT EEN 360,anthocyanin absent
LCT EEN 361,anthocyanin absent
LCT EEN 362,intermediate anthocyanin
LCT EEN 364,intermediate anthocyanin
LCT EEN 366,intermediate anthocyanin
LCT EEN 367,intermediate anthocyanin
LCT EEN 368,intermediate anthocyanin
LCT EEN 369,intermediate anthocyanin
LCT EEN 37,slight anthocyanin
LCT EEN 370,intermediate anthocyanin
LCT EEN 371,intermediate anthocyanin
LCT EEN 372,slight anthocyanin
LCT EEN 373,intermediate anthocyanin
LCT EEN 376,anthocyanin absent
LCT EEN 38,anthocyanin absent
LCT EEN 382,anthocyanin absent
LCT EEN 384,anthocyanin absent
LCT EEN 385,anthocyanin absent
LCT EEN 386,anthocyanin absent
LCT EEN 387,anthocyanin absent
LCT EEN 389,anthocyanin absent
LCT EEN 390,slight anthocyanin
LCT EEN 391,anthocyanin absent
LCT EEN 393,slight anthocyanin
LCT EEN 395,anthocyanin absent
LCT EEN 399,anthocyanin absent
LCT EEN 4,intermediate anthocyanin
LCT EEN 406,intermediate anthocyanin
LCT EEN 409,intermediate anthocyanin
LCT EEN 412,intermediate anthocyanin
LCT EEN 414,intermediate anthocyanin
LCT EEN 415,slight anthocyanin
LCT EEN 420,slight anthocyanin
LCT EEN 422,anthocyanin absent
LCT EEN 426,anthocyanin absent
LCT EEN 427,anthocyanin absent
LCT EEN 429,anthocyanin absent
LCT EEN 432,anthocyanin absent
LCT EEN 434,anthocyanin absent
LCT EEN 44,anthocyanin absent
LCT EEN 46,intermediate anthocyanin
LCT EEN 48,anthocyanin absent
LCT EEN 49,anthocyanin absent
LCT EEN 5,intermediate anthocyanin
LCT EEN 52,slight anthocyanin
LCT EEN 57,anthocyanin absent
LCT EEN 58,anthocyanin absent
LCT EEN 59,anthocyanin absent
LCT EEN 6,slight anthocyanin
LCT EEN 60,slight anthocyanin
LCT EEN 61,intermediate anthocyanin
LCT EEN 62,intermediate anthocyanin
LCT EEN 63,anthocyanin absent
LCT EEN 65,anthocyanin absent
LCT EEN 67,intermediate anthocyanin
LCT EEN 68,intermediate anthocyanin
LCT EEN 69,anthocyanin absent
LCT EEN 70,intermediate anthocyanin
LCT EEN 71,anthocyanin absent
LCT EEN 72,intermediate anthocyanin
LCT EEN 73,slight anthocyanin
LCT EEN 74,slight anthocyanin
LCT EEN 76,intermediate anthocyanin
LCT EEN 77,slight anthocyanin
LCT EEN 78,slight anthocyanin
LCT EEN 79,anthocyanin absent
LCT EEN 8,anthocyanin absent
LCT EEN 80,intermediate anthocyanin
LCT EEN 81,slight anthocyanin
LCT EEN 82,intermediate anthocyanin
LCT EEN 83,slight anthocyanin
LCT EEN 84,slight anthocyanin
LCT EEN 85,anthocyanin absent
LCT EEN 86,intermediate anthocyanin
LCT EEN 87,anthocyanin absent
LCT EEN 88,anthocyanin absent
LCT EEN 89,anthocyanin absent
LCT EEN 90,slight anthocyanin
LCT EEN 91,slight anthocyanin
LCT EEN 92,slight anthocyanin
LCT EEN 93,slight anthocyanin
LCT EEN 94,anthocyanin absent
LCT EEN 97,anthocyanin absent
MO 125,intermediate anthocyanin
NA 69,intermediate anthocyanin
PA 121 [PER],intermediate anthocyanin
PA 121 [PER],intermediate anthocyanin
PA 13 [PER],slight anthocyanin
PA 150 [PER],slight anthocyanin
PA 16 [PER],intermediate anthocyanin
PA 167 [PER],slight anthocyanin
PA 169 [PER],slight anthocyanin
PA 189 [PER],intermediate anthocyanin
PA 30 [PER],intermediate anthocyanin
PA 35 [PER],intermediate anthocyanin
PA 81 [PER],intermediate anthocyanin
POUND 1 /B,intermediate anthocyanin
POUND 12,intermediate anthocyanin
POUND 12,intermediate anthocyanin
POUND 12 /A,intermediate anthocyanin
POUND 7,intermediate anthocyanin
POUND 7,intermediate anthocyanin
POUND 8 /C,intermediate anthocyanin
SCA 12,slight anthocyanin
SCA 6,intermediate anthocyanin
