Clone name,Shape,Basal constriction,Apex form,Rugosity,Furrow desc,Husk thickness,Length,Breadth,Weight,Pods per tree,Hardness,Length breadth ratio,Info,Notes
SAN MIGUEL 3362 [CHA],-,-,-,moderate,paired,-,-,-,-,-,-,-,expedition data,expedition code 70CH
SAN MIGUEL 3363 [CHA],-,-,-,moderate,paired,-,-,-,-,-,-,-,expedition data,expedition code 70CH
SAN MIGUEL 3364 [CHA],-,-,-,moderate,paired,-,-,-,-,-,-,-,expedition data,expedition code 70CH
TAP 1 [CHA],-,-,-,intense,paired,-,-,-,-,-,-,-,expedition data,expedition code 73CH
TAP 10 [CHA],-,-,-,intense,paired,-,-,-,-,-,-,-,expedition data,expedition code 73CH
TAP 11 [CHA],-,-,-,intense,paired,-,-,-,-,-,-,-,expedition data,expedition code 73CH
TAP 13 [CHA],-,-,-,intense,paired,-,-,-,-,-,-,-,expedition data,expedition code 73CH
TAP 14 [CHA],-,-,-,intense,paired,-,-,-,-,-,-,-,expedition data,expedition code 73CH
TAP 15 [CHA],-,-,-,intense,paired,-,-,-,-,-,-,-,expedition data,expedition code 73CH
TAP 2 [CHA],-,-,-,intense,paired,-,-,-,-,-,-,-,expedition data,expedition code 73CH
TAP 3 [CHA],-,-,-,intense,paired,-,-,-,-,-,-,-,expedition data,expedition code 73CH
TAP 4 [CHA],-,-,-,intense,paired,-,-,-,-,-,-,-,expedition data,expedition code 73CH
TAP 5 [CHA],-,-,-,intense,paired,-,-,-,-,-,-,-,expedition data,expedition code 73CH
TAP 6 [CHA],-,-,-,intense,paired,-,-,-,-,-,-,-,expedition data,expedition code 73CH
TAP 7 [CHA],-,-,-,intense,paired,-,-,-,-,-,-,-,expedition data,expedition code 73CH
TAP 8 [CHA],-,-,-,intense,paired,-,-,-,-,-,-,-,expedition data,expedition code 73CH
TAP 9 [CHA],-,-,-,intense,paired,-,-,-,-,-,-,-,expedition data,expedition code 73CH
UCA 1 [CHA],-,slight,-,slight,paired,-,-,-,-,-,soft,-,expedition data,expedition code 73CH
UCA 2 [CHA],-,slight,-,slight,paired,-,-,-,-,-,soft,-,expedition data,expedition code 73CH
UCA 3 [CHA],-,slight,-,slight,paired,-,-,-,-,-,soft,-,expedition data,expedition code 73CH
UCA 4 [CHA],-,slight,-,-,-,-,-,-,-,-,-,-,expedition data,expedition code 73CH
UNAP 3 [CHA],-,moderate,mammillate,-,-,-,-,-,-,-,-,-,expedition data,expedition code 73CH
