Clone name,Basal constriction,Apex form,Rugosity,Ridge desc,Length,Breadth,Weight,Husk weight,Length breadth ratio
GU 236,slight,-,moderate,"indistinct ridges arranged in pairs (GUY___DC, 1 a",140.0,80.0,335.0,260.0,1.75
GU 237,slight,acute,moderate,"indistinct ridges arranged in pairs (GUY___DC, 1 a",140.0,80.0,290.0,210.0,1.75
GU 238,slight,acute,smooth,"indistinct ridges arranged in pairs (GUY___DC, 1 a",140.0,85.0,410.0,290.0,1.65
GU 239,slight,rounded,very slight - slight,"indistinct ridges arranged in pairs (GUY___DC, 1 a",115.0,80.0,240.0,150.0,1.44
GU 240,slight,rounded,slight,"indistinct ridges arranged in pairs (GUY___DC, 1 a",120.0,85.0,305.0,220.0,1.41
GU 241,slight,acute,moderate,"indistinct ridges arranged in pairs (GUY___DC, 1 a",140.0,80.0,320.0,230.0,1.75
GU 242,slight,rounded,slight,"prominant ridges arranged in pairs (GUY___DC, 2 an",100.0,85.0,235.0,205.0,1.18
GU 243,slight,acute,slight,"prominant ridges arranged in pairs (GUY___DC, 2 an",120.0,80.0,260.0,210.0,1.50
GU 244,slight,acute,slight,"indistinct ridges arranged in pairs (GUY___DC, 1 a",160.0,90.0,485.0,335.0,1.78
GU 245,slight,acute,slight - moderate,"prominant ridges arranged in pairs (GUY___DC, 2 an",180.0,95.0,525.0,375.0,1.89
GU 246,moderate,-,slight,"prominant ridges evenly spaced (GUY___DC, 2 and 1)",140.0,90.0,250.0,215.0,1.56
GU 247,slight,acute,slight,"prominant ridges evenly spaced (GUY___DC, 2 and 1)",155.0,85.0,320.0,270.0,1.82
GU 248,slight,mammillate,slight - moderate,"prominant ridges arranged in pairs (GUY___DC, 2 an",150.0,90.0,435.0,330.0,1.67
GU 249,slight,rounded,slight,"prominant ridges arranged in pairs (GUY___DC, 2 an",145.0,90.0,360.0,280.0,1.61
GU 250,very slight,acute,moderate - intense,"prominant ridges arranged in pairs (GUY___DC, 2 an",145.0,80.0,310.0,245.0,1.81
GU 251,slight,acute,moderate - intense,"prominant ridges arranged in pairs (GUY___DC, 2 an",160.0,90.0,440.0,240.0,1.78
GU 252,slight,-,moderate - intense,"prominant ridges arranged in pairs (GUY___DC, 2 an",180.0,90.0,500.0,365.0,2.00
GU 253,very slight,acute,intense,"prominant ridges arranged in pairs (GUY___DC, 2 an",180.0,95.0,480.0,360.0,1.89
GU 254,slight,acute,moderate - intense,"prominant ridges arranged in pairs (GUY___DC, 2 an",155.0,85.0,415.0,305.0,1.82
GU 255,slight,acute,moderate,"prominant ridges arranged in pairs (GUY___DC, 2 an",120.0,75.0,220.0,160.0,1.60
GU 256,very slight,-,moderate,"prominant ridges arranged in pairs (GUY___DC, 2 an",160.0,75.0,325.0,265.0,2.13
GU 257,slight,-,moderate - intense,"prominant ridges arranged in pairs (GUY___DC, 2 an",185.0,90.0,490.0,310.0,2.06
GU 258,slight,acute,moderate,"prominant ridges evenly spaced (GUY___DC, 2 and 1)",135.0,80.0,270.0,210.0,1.69
GU 259,very slight,acute,moderate,"prominant ridges arranged in pairs (GUY___DC, 2 an",150.0,80.0,310.0,230.0,1.88
GU 260,slight,rounded,slight - moderate,"prominant ridges arranged in pairs (GUY___DC, 2 an",130.0,90.0,345.0,250.0,1.44
GU 261,slight,rounded,moderate,"prominant ridges arranged in pairs (GUY___DC, 2 an",145.0,90.0,380.0,240.0,1.61
GU 262,absent,rounded,moderate,"prominant ridges arranged in pairs (GUY___DC, 2 an",130.0,90.0,405.0,275.0,1.44
GU 263,very slight,rounded,moderate - intense,"prominant ridges arranged in pairs (GUY___DC, 2 an",110.0,75.0,220.0,160.0,1.47
GU 264,slight,acute,moderate,"prominant ridges arranged in pairs (GUY___DC, 2 an",170.0,95.0,550.0,380.0,1.79
GU 265,moderate,-,slight,"prominant ridges arranged in pairs (GUY___DC, 2 an",150.0,85.0,410.0,240.0,1.76
GU 266,slight,rounded,slight - moderate,"prominant ridges arranged in pairs (GUY___DC, 2 an",140.0,90.0,390.0,245.0,1.56
GU 267,very slight,-,moderate,"prominant ridges arranged in pairs (GUY___DC, 2 an",145.0,75.0,280.0,180.0,1.93
GU 268,slight,acuminate,moderate,"prominant ridges arranged in pairs (GUY___DC, 2 an",165.0,90.0,400.0,275.0,1.83
GU 269,slight,acute,intense,"prominant ridges arranged in pairs (GUY___DC, 2 an",150.0,90.0,380.0,280.0,1.67
GU 270,moderate,-,moderate - intense,"prominant ridges arranged in pairs (GUY___DC, 2 an",130.0,85.0,265.0,200.0,1.53
GU 271,slight,-,moderate,"prominant ridges arranged in pairs (GUY___DC, 2 an",120.0,80.0,240.0,150.0,1.50
GU 272,slight,rounded,moderate - intense,"prominant ridges arranged in pairs (GUY___DC, 2 an",150.0,90.0,430.0,290.0,1.67
GU 273,slight,rounded,moderate - intense,"prominant ridges arranged in pairs (GUY___DC, 2 an",155.0,90.0,360.0,240.0,1.72
GU 274,slight - moderate,rounded,intense,"prominant ridges arranged in pairs (GUY___DC, 2 an",170.0,100.0,610.0,500.0,1.70
GU 275,slight - moderate,rounded,moderate,"prominant ridges arranged in pairs (GUY___DC, 2 an",160.0,95.0,420.0,260.0,1.68
GU 276,moderate,-,slight - moderate,"prominant ridges arranged in pairs (GUY___DC, 2 an",160.0,80.0,325.0,250.0,2.00
GU 277,moderate,-,moderate,"prominant ridges arranged in pairs (GUY___DC, 2 an",215.0,100.0,720.0,540.0,2.15
GU 278,slight,acuminate,slight - moderate,"prominant ridges arranged in pairs (GUY___DC, 2 an",130.0,70.0,250.0,170.0,1.86
GU 279,slight,acute,moderate,"prominant ridges arranged in pairs (GUY___DC, 2 an",170.0,95.0,495.0,350.0,1.79
GU 280,moderate,acute,moderate - intense,"prominant ridges arranged in pairs (GUY___DC, 2 an",130.0,75.0,250.0,210.0,1.73
GU 281,slight,acute,moderate - intense,"prominant ridges arranged in pairs (GUY___DC, 2 an",170.0,90.0,460.0,340.0,1.89
GU 282,slight,-,moderate - intense,"prominant ridges arranged in pairs (GUY___DC, 2 an",140.0,75.0,235.0,165.0,1.87
