Clone name,Self compatibility
ICS 32,self compatible
ICS 39,self incompatible
ICS 43,self compatible
ICS 44,self compatible
ICS 45,self compatible
ICS 46,self compatible
ICS 6,self compatible
ICS 60,self incompatible
ICS 8,self compatible
ICS 84,self incompatible
ICS 89,self incompatible
ICS 95,self compatible
IMC 60,self incompatible
IMC 67,self incompatible
LARANJA,self compatible
MA 12 [BRA],self compatible
MA 13 [BRA],self incompatible
MOCORONGO,self incompatible
OC 61 [VEN],self incompatible
OC 77 [VEN],self compatible
P 10 [MEX],self incompatible
P 15 [MEX],self incompatible
P 16 [MEX],self compatible
P 19 [MEX],self incompatible
P 20 [MEX],self incompatible
P 8 [MEX],self incompatible
PA 121 [PER],self compatible
PA 19 [PER],self compatible
PA 81 [PER],self incompatible
PMCT 5,self compatible
PMCT 7,self compatible
POUND 12,self incompatible
RB 29 [BRA],self incompatible
RB 37 [BRA],self incompatible
RB 41 [BRA],self incompatible
RB 47 [BRA],self incompatible
RIM 10 [MEX],self incompatible
RIM 100 [MEX],self incompatible
RIM 101 [MEX],self incompatible
RIM 106 [MEX],self compatible
RIM 113 [MEX],self compatible
RIM 117 [MEX],self incompatible
RIM 15 [MEX],self incompatible
RIM 189 [MEX],self compatible
RIM 19 [MEX],self incompatible
RIM 2 [MEX],self incompatible
RIM 21 [MEX],self incompatible
RIM 23 [MEX],self incompatible
RIM 41 [MEX],self incompatible
RIM 43 [MEX],self incompatible
RIM 48 [MEX],self incompatible
RIM 52 [MEX],self compatible
RIM 6 [MEX],self incompatible
RIM 75 [MEX],self incompatible
RIM 76 [MEX],self incompatible
RIM 78 [MEX],self incompatible
RIM 8 [MEX],self incompatible
SCA 12,self incompatible
SCA 6,self incompatible
SCA 9,self incompatible
SCR 4,self compatible
SCR 5,self compatible
SGU 3,self incompatible
SGU 4,self compatible
SGU 60,self incompatible
SGU 71,self compatible
SGU 89,self incompatible
SIAL 325,self compatible
SIAL 339,self compatible
SIAL 56,self incompatible
SIAL 8,self compatible
SIAL 93,self compatible
SIAL 98,self compatible
SIC 2,self incompatible
SIC 433,self compatible
SIC 6,self compatible
SIC 7,self compatible
SIC 802,self compatible
SIC 806,self compatible
SIC 813,self compatible
SILECIA 5 [ECU],self compatible
SNK 12,self incompatible
SPA 10 [COL],self incompatible
SPA 11 [COL],self incompatible
SPA 12 [COL],self incompatible
SPA 5 [COL],self compatible
SPA 7 [COL],self incompatible
SPA 9 [COL],self incompatible
STICA 100,self incompatible
TJ 1,self compatible
TSAN 792,self incompatible
UF 10,self incompatible
UF 11,self incompatible
UF 12,self compatible
UF 122,self compatible
UF 168,self incompatible
UF 20,self incompatible
UF 210,self incompatible
UF 221,self compatible
UF 273,self compatible
UF 29,self compatible
UF 296,self incompatible
UF 36,self compatible
UF 4,self incompatible
UF 601,self incompatible
UF 602,self compatible
UF 613,self incompatible
UF 650,self incompatible
UF 654,self incompatible
UF 667,self compatible
UF 668,self compatible
UF 672,self incompatible
UF 676,self compatible
UF 677,self incompatible
UF 700,self incompatible
UF 701,self compatible
UF 703,self incompatible
UF 704,self compatible
UF 705,self compatible
UF 706,self compatible
UF 707,self compatible
UF 708,self incompatible
UF 709,self compatible
UF 710,self compatible
UF 711,self incompatible
UF 712,self incompatible
