Clone name,Ligule colour,Stamen colour,Sepal width,Sepal length,Ligule width,Ovule number,Style length
GU 255 /V,slight anthocyanin,anthocyanin absent,-,6.41,2.05,39,1.58
GU 259 /C,intense anthocyanin,moderate anthocyanin,-,7.07,2.55,36,2.0
GU 261 /P,slight anthocyanin,anthocyanin absent,-,6.38,2.4,40,2.11
GU 265 /P,slight anthocyanin,moderate anthocyanin,-,7.23,2.89,51,2.4
GU 271 /P,slight anthocyanin,anthocyanin absent,-,7.11,2.55,49,2.28
GU 277 /G,slight anthocyanin,anthocyanin absent,-,6.77,2.33,43,2.03
GU 286 /P,anthocyanin absent,anthocyanin absent,-,6.78,2.2,42,2.04
GU 300 /P,slight anthocyanin,anthocyanin absent,-,6.1,1.9,42,1.8
GU 305 /P,slight anthocyanin,anthocyanin absent,-,6.3,2.29,49,2.06
GU 307 /F,slight anthocyanin,intense anthocyanin,-,7.97,2.61,53,2.47
GU 310 /P,slight anthocyanin,anthocyanin absent,-,6.84,2.4,42,2.39
GU 322 /P,anthocyanin absent,anthocyanin absent,-,6.0,1.91,49,2.04
GU 335 /P,anthocyanin absent,anthocyanin absent,-,6.89,2.23,43,2.14
GU 339 /M,slight anthocyanin,anthocyanin absent,-,5.72,1.95,42,1.59
GU 341 /H,slight anthocyanin,anthocyanin absent,-,7.38,2.17,34,1.96
GU 351 /P,slight anthocyanin,slight anthocyanin,-,6.23,2.02,47,2.03
GU 353 /L,slight anthocyanin,anthocyanin absent,-,7.16,2.29,46,2.01
ICA 70 [COL],anthocyanin absent,anthocyanin absent,-,8.28,2.34,44,2.35
ICS 1,anthocyanin absent,anthocyanin absent,-,9.07,1.68,39,1.73
ICS 10,slight anthocyanin,slight anthocyanin,-,7.1,3.48,57,1.89
ICS 100,intense anthocyanin,anthocyanin absent,-,6.64,2.25,38,1.82
ICS 111,moderate anthocyanin,anthocyanin absent,-,8.8,2.73,41,2.18
ICS 12,moderate anthocyanin,moderate anthocyanin,-,8.28,2.42,52,2.2
ICS 14,slight anthocyanin,anthocyanin absent,-,6.83,2.25,42,1.81
ICS 15,anthocyanin absent,anthocyanin absent,-,9.14,2.35,42,1.98
ICS 16,slight anthocyanin,anthocyanin absent,-,7.62,3.01,39,2.2
ICS 17,slight anthocyanin,anthocyanin absent,-,8.11,2.58,41,2.41
ICS 18,slight anthocyanin,anthocyanin absent,-,8.74,2.54,40,2.6
ICS 2,slight anthocyanin,anthocyanin absent,-,7.46,2.13,38,1.7
ICS 20,slight anthocyanin,slight anthocyanin,-,8.58,2.7,39,2.09
ICS 22,anthocyanin absent,anthocyanin absent,-,7.9,1.92,40,2.1
ICS 24,slight anthocyanin,moderate anthocyanin,-,8.01,3.09,38,2.05
ICS 25,slight anthocyanin,moderate anthocyanin,-,6.99,2.25,41,2.29
ICS 26,anthocyanin absent,slight anthocyanin,-,8.05,2.39,36,2.31
ICS 27,moderate anthocyanin,slight anthocyanin,-,7.13,2.43,44,2.52
ICS 3,anthocyanin absent,anthocyanin absent,-,6.72,2.2,46,1.81
ICS 30,slight anthocyanin,slight anthocyanin,-,6.98,2.18,47,2.34
ICS 35,slight anthocyanin,anthocyanin absent,-,6.72,1.86,38,2.0
ICS 36,moderate anthocyanin,moderate anthocyanin,-,8.39,2.3,44,2.12
ICS 39,slight anthocyanin,anthocyanin absent,-,8.47,3.2,42,2.25
ICS 4,slight anthocyanin,anthocyanin absent,-,7.64,2.7,36,2.24
ICS 40,moderate anthocyanin,anthocyanin absent,-,6.44,2.51,50,1.79
ICS 41,slight anthocyanin,anthocyanin absent,-,7.84,2.76,41,2.25
ICS 42,anthocyanin absent,anthocyanin absent,-,10.53,2.87,43,2.5
ICS 43,slight anthocyanin,anthocyanin absent,-,8.01,2.17,34,1.84
ICS 45,anthocyanin absent,anthocyanin absent,-,7.65,3.22,31,1.91
ICS 46,anthocyanin absent,anthocyanin absent,-,8.5,2.59,38,1.85
ICS 47,anthocyanin absent,anthocyanin absent,-,7.25,2.49,34,1.99
ICS 48,anthocyanin absent,anthocyanin absent,-,8.29,2.95,40,2.17
ICS 49,slight anthocyanin,anthocyanin absent,-,6.31,2.73,35,1.62
ICS 5,slight anthocyanin,anthocyanin absent,-,8.16,1.99,42,1.79
ICS 53,intense anthocyanin,moderate anthocyanin,-,7.25,2.44,46,1.93
ICS 57,slight anthocyanin,anthocyanin absent,-,7.44,2.24,49,1.82
ICS 58,moderate anthocyanin,moderate anthocyanin,-,7.56,2.56,49,2.08
ICS 59,slight anthocyanin,anthocyanin absent,-,8.08,2.37,38,2.31
ICS 6,intense anthocyanin,anthocyanin absent,-,9.37,2.11,43,2.04
ICS 60,slight anthocyanin,slight anthocyanin,-,7.76,2.75,37,2.07
ICS 61,slight anthocyanin,moderate anthocyanin,-,7.27,2.45,55,1.79
ICS 62,moderate anthocyanin,slight anthocyanin,-,7.02,2.69,58,2.4
ICS 63,anthocyanin absent,anthocyanin absent,-,7.31,2.45,39,1.52
ICS 65,slight anthocyanin,anthocyanin absent,-,9.01,2.74,38,2.2
ICS 66,slight anthocyanin,slight anthocyanin,-,8.04,2.65,38,2.29
ICS 67,slight anthocyanin,slight anthocyanin,-,8.01,2.72,51,2.17
ICS 68,slight anthocyanin,slight anthocyanin,-,7.4,2.94,52,1.93
ICS 69,slight anthocyanin,intense anthocyanin,-,7.45,2.3,34,2.31
ICS 7,moderate anthocyanin,moderate anthocyanin,-,8.85,2.7,40,2.44
ICS 70,anthocyanin absent,anthocyanin absent,-,6.71,2.59,41,1.92
ICS 72,slight anthocyanin,anthocyanin absent,-,7.94,2.85,34,2.24
ICS 73,slight anthocyanin,slight anthocyanin,-,8.67,2.56,49,2.32
ICS 75,slight anthocyanin,anthocyanin absent,-,7.47,2.79,40,2.06
ICS 76,anthocyanin absent,anthocyanin absent,-,6.94,2.77,40,1.92
ICS 77,anthocyanin absent,anthocyanin absent,-,6.94,2.49,45,2.03
ICS 8,moderate anthocyanin,intense anthocyanin,-,8.2,2.81,39,2.21
ICS 80,anthocyanin absent,anthocyanin absent,-,9.13,2.52,35,1.86
ICS 82,slight anthocyanin,anthocyanin absent,-,7.54,2.21,43,2.15
ICS 83,slight anthocyanin,anthocyanin absent,-,8.13,2.92,37,2.15
ICS 84,slight anthocyanin,anthocyanin absent,-,8.31,3.16,41,2.51
ICS 85,slight anthocyanin,anthocyanin absent,-,7.21,1.8,42,1.7
ICS 86,anthocyanin absent,slight anthocyanin,-,8.98,2.71,35,1.57
ICS 87,slight anthocyanin,anthocyanin absent,-,9.13,3.19,40,2.31
ICS 88,anthocyanin absent,anthocyanin absent,-,7.99,2.25,41,1.85
ICS 89,anthocyanin absent,anthocyanin absent,-,7.08,2.24,36,1.88
ICS 90,slight anthocyanin,slight anthocyanin,-,7.98,2.51,51,2.48
ICS 92,slight anthocyanin,slight anthocyanin,-,8.33,2.57,36,1.98
ICS 93,slight anthocyanin,anthocyanin absent,-,8.14,2.6,32,2.21
ICS 94,slight anthocyanin,anthocyanin absent,-,6.86,2.32,40,1.84
ICS 95,anthocyanin absent,anthocyanin absent,-,7.12,2.31,39,1.91
ICS 96,anthocyanin absent,anthocyanin absent,-,8.15,2.14,38,1.7
ICS 97,slight anthocyanin,intense anthocyanin,-,6.97,2.34,42,2.09
ICS 98,moderate anthocyanin,anthocyanin absent,-,6.72,2.05,33,1.79
ICS 99,slight anthocyanin,slight anthocyanin,-,7.85,2.22,50,2.24
IMC 10,slight anthocyanin,slight anthocyanin,-,7.18,2.54,54,2.18
IMC 103,moderate anthocyanin,intense anthocyanin,-,7.05,2.67,53,2.26
IMC 104,moderate anthocyanin,slight anthocyanin,-,7.42,2.56,49,2.02
IMC 105,moderate anthocyanin,slight anthocyanin,-,7.98,2.55,51,2.25
IMC 107,slight anthocyanin,intense anthocyanin,-,7.71,2.88,51,1.92
IMC 11,slight anthocyanin,slight anthocyanin,-,7.88,2.38,55,2.17
IMC 12,intense anthocyanin,intense anthocyanin,-,6.27,2.09,50,1.57
IMC 13,slight anthocyanin,intense anthocyanin,-,6.47,2.57,53,2.04
IMC 14,moderate anthocyanin,slight anthocyanin,-,8.95,2.31,54,2.19
IMC 16,slight anthocyanin,slight anthocyanin,-,7.72,2.75,41,2.2
IMC 18,moderate anthocyanin,intense anthocyanin,-,7.71,2.84,53,2.27
IMC 2,moderate anthocyanin,moderate anthocyanin,-,7.2,3.18,62,2.29
IMC 20,moderate anthocyanin,slight anthocyanin,-,7.45,2.05,58,2.2
IMC 22,slight anthocyanin,moderate anthocyanin,-,7.12,2.39,46,2.11
IMC 23,moderate anthocyanin,intense anthocyanin,-,7.71,2.81,55,2.24
IMC 27,slight anthocyanin,moderate anthocyanin,-,7.66,2.04,52,1.83
IMC 3,anthocyanin absent,anthocyanin absent,-,7.8,3.01,62,2.19
IMC 30,moderate anthocyanin,moderate anthocyanin,-,7.52,2.63,55,2.23
IMC 31,moderate anthocyanin,moderate anthocyanin,-,7.26,2.55,52,2.11
IMC 33,moderate anthocyanin,moderate anthocyanin,-,6.49,2.26,49,1.9
IMC 36,slight anthocyanin,slight anthocyanin,-,7.78,2.33,47,1.54
IMC 38,slight anthocyanin,slight anthocyanin,-,7.0,2.68,58,2.1
IMC 39,intense anthocyanin,moderate anthocyanin,-,6.71,2.52,55,1.94
IMC 41,moderate anthocyanin,slight anthocyanin,-,7.22,2.43,48,2.02
IMC 42,slight anthocyanin,moderate anthocyanin,-,7.53,2.45,46,1.94
IMC 44,moderate anthocyanin,moderate anthocyanin,-,6.85,2.51,48,2.04
IMC 45,slight anthocyanin,anthocyanin absent,-,7.24,2.61,57,2.03
IMC 47,slight anthocyanin,slight anthocyanin,-,6.97,2.44,48,1.82
IMC 48,slight anthocyanin,intense anthocyanin,-,7.6,2.56,57,2.43
IMC 49,moderate anthocyanin,slight anthocyanin,-,6.9,2.68,57,2.05
IMC 5,intense anthocyanin,intense anthocyanin,-,6.82,2.49,55,2.11
IMC 50,moderate anthocyanin,moderate anthocyanin,-,6.56,2.32,52,1.7
IMC 51,slight anthocyanin,slight anthocyanin,-,7.5,2.85,60,2.32
IMC 53,moderate anthocyanin,slight anthocyanin,-,7.05,2.77,59,2.23
IMC 54,slight anthocyanin,moderate anthocyanin,-,7.9,3.22,58,2.49
IMC 55,slight anthocyanin,moderate anthocyanin,-,7.1,2.47,51,2.15
IMC 57,moderate anthocyanin,slight anthocyanin,-,6.78,2.35,56,2.0
IMC 58,slight anthocyanin,slight anthocyanin,-,7.5,3.1,60,2.58
IMC 59,anthocyanin absent,intense anthocyanin,-,6.89,2.6,47,2.16
IMC 6,anthocyanin absent,anthocyanin absent,-,7.05,2.67,52,2.47
IMC 60,moderate anthocyanin,intense anthocyanin,-,6.69,1.94,48,1.92
IMC 61,moderate anthocyanin,moderate anthocyanin,-,7.57,2.79,54,2.15
IMC 63,moderate anthocyanin,intense anthocyanin,-,7.6,2.49,44,2.03
IMC 65,slight anthocyanin,moderate anthocyanin,-,7.92,2.44,53,2.18
IMC 66,slight anthocyanin,moderate anthocyanin,-,7.36,2.78,47,2.16
IMC 67,slight anthocyanin,moderate anthocyanin,-,7.96,2.77,48,2.42
IMC 68,anthocyanin absent,moderate anthocyanin,-,7.09,2.22,51,1.88
IMC 71,slight anthocyanin,slight anthocyanin,-,8.0,2.84,60,2.28
IMC 73,moderate anthocyanin,slight anthocyanin,-,6.41,2.71,54,2.23
IMC 76,moderate anthocyanin,moderate anthocyanin,-,7.84,2.59,54,1.99
IMC 77,slight anthocyanin,slight anthocyanin,-,7.71,2.86,48,2.51
IMC 78,slight anthocyanin,slight anthocyanin,-,6.78,2.21,49,2.05
IMC 81,slight anthocyanin,slight anthocyanin,-,6.94,2.34,45,1.92
IMC 83,intense anthocyanin,slight anthocyanin,-,7.16,2.45,59,2.38
IMC 85,anthocyanin absent,moderate anthocyanin,-,7.5,2.69,55,1.98
IMC 9,moderate anthocyanin,slight anthocyanin,-,7.21,2.67,51,1.94
IMC 94,slight anthocyanin,slight anthocyanin,-,7.2,2.36,55,2.26
IMC 96,moderate anthocyanin,moderate anthocyanin,-,6.75,2.56,50,2.12
IMC 97,slight anthocyanin,intense anthocyanin,-,7.28,2.68,57,2.22
IMC 98,slight anthocyanin,moderate anthocyanin,-,7.67,2.75,53,2.44
JA 1 /10 [POU],slight anthocyanin,intense anthocyanin,-,8.29,2.85,40,2.78
JA 1 /11 [POU],slight anthocyanin,intense anthocyanin,-,7.98,2.85,44,2.99
JA 1 /12 [POU],slight anthocyanin,slight anthocyanin,-,7.37,2.2,48,2.21
JA 1 /13 [POU],slight anthocyanin,moderate anthocyanin,-,8.62,2.61,43,2.66
JA 1 /14 [POU],intense anthocyanin,slight anthocyanin,-,8.4,3.03,35,2.14
JA 1 /15 [POU],moderate anthocyanin,anthocyanin absent,-,8.81,2.62,40,2.6
JA 1 /17 [POU],slight anthocyanin,slight anthocyanin,-,8.46,2.71,45,2.83
JA 1 /18 [POU],anthocyanin absent,moderate anthocyanin,-,8.24,2.89,40,2.42
JA 1 /19 [POU],slight anthocyanin,intense anthocyanin,-,8.32,2.65,47,2.89
JA 1 /2 [POU],slight anthocyanin,intense anthocyanin,-,8.24,2.46,42,2.68
JA 1 /20 [POU],slight anthocyanin,slight anthocyanin,-,7.55,2.54,45,2.69
JA 1 /21 [POU],slight anthocyanin,moderate anthocyanin,-,6.39,2.63,44,2.84
JA 1 /23 [POU],slight anthocyanin,moderate anthocyanin,-,8.09,2.33,43,2.66
JA 1 /25 [POU],slight anthocyanin,intense anthocyanin,-,7.73,2.51,43,2.67
JA 1 /29 [POU],slight anthocyanin,slight anthocyanin,-,6.79,2.75,45,2.68
JA 1 /3 [POU],slight anthocyanin,moderate anthocyanin,-,8.42,2.71,43,2.94
JA 1 /4 [POU],slight anthocyanin,intense anthocyanin,-,7.84,2.74,39,2.57
JA 1 /5 [POU],slight anthocyanin,moderate anthocyanin,-,7.98,2.61,44,2.71
JA 1 /6 [POU],intense anthocyanin,moderate anthocyanin,-,8.59,2.38,34,2.15
JA 1 /9 [POU],anthocyanin absent,moderate anthocyanin,-,8.72,2.79,44,2.85
JA 10 /11 [POU],moderate anthocyanin,slight anthocyanin,-,7.23,2.2,42,1.97
JA 10 /12 [POU],slight anthocyanin,slight anthocyanin,-,8.12,2.39,48,2.32
JA 10 /16 [POU],slight anthocyanin,slight anthocyanin,-,7.07,2.71,41,2.45
JA 10 /31 [POU],anthocyanin absent,anthocyanin absent,-,8.31,2.55,46,2.49
JA 10 /32 [POU],anthocyanin absent,anthocyanin absent,-,7.01,2.46,44,2.28
JA 10 /33 [POU],moderate anthocyanin,slight anthocyanin,-,7.38,2.52,37,2.58
JA 10 /34 [POU],anthocyanin absent,anthocyanin absent,-,6.57,2.56,40,2.44
JA 10 /35 [POU],slight anthocyanin,moderate anthocyanin,-,7.3,2.5,40,2.35
JA 10 /38 [POU],anthocyanin absent,anthocyanin absent,-,6.81,2.43,39,2.26
JA 10 /4 [POU],slight anthocyanin,slight anthocyanin,-,8.09,2.61,41,2.44
JA 10 /40 [POU],slight anthocyanin,moderate anthocyanin,-,7.11,3.18,45,2.62
JA 10 /41 [POU],slight anthocyanin,slight anthocyanin,-,8.2,2.87,42,2.54
JA 10 /42 [POU],moderate anthocyanin,slight anthocyanin,-,7.18,2.81,43,2.5
JA 10 /46 [POU],slight anthocyanin,slight anthocyanin,-,7.78,2.02,40,1.83
JA 10 /5 [POU],slight anthocyanin,anthocyanin absent,-,8.94,2.15,42,1.75
JA 10 /51 [POU],moderate anthocyanin,intense anthocyanin,-,7.77,2.7,45,2.65
JA 10 /52 [POU],moderate anthocyanin,slight anthocyanin,-,7.02,2.23,42,2.22
JA 10 /54 [POU],slight anthocyanin,slight anthocyanin,-,8.53,2.41,45,2.71
JA 10 /55 [POU],slight anthocyanin,moderate anthocyanin,-,7.39,2.45,47,2.36
JA 10 /6 [POU],intense anthocyanin,moderate anthocyanin,-,6.21,2.17,47,2.24
JA 2 /11 [POU],slight anthocyanin,moderate anthocyanin,-,8.62,2.35,41,3.03
JA 2 /12 [POU],slight anthocyanin,moderate anthocyanin,-,6.94,2.46,48,2.31
JA 2 /18 [POU],slight anthocyanin,moderate anthocyanin,-,7.72,2.8,35,2.84
JA 2 /2 [POU],slight anthocyanin,slight anthocyanin,-,8.55,2.55,42,2.7
JA 2 /21 [POU],slight anthocyanin,intense anthocyanin,-,7.13,2.6,46,2.3
JA 2 /26 [POU],slight anthocyanin,moderate anthocyanin,-,7.98,2.69,45,2.36
JA 2 /4 [POU],anthocyanin absent,slight anthocyanin,-,7.65,2.8,35,2.71
JA 2 /6 [POU],slight anthocyanin,moderate anthocyanin,-,8.07,2.82,38,2.78
JA 2 /8 [POU],anthocyanin absent,anthocyanin absent,-,9.05,2.0,46,2.21
JA 3 /11 [POU],slight anthocyanin,intense anthocyanin,-,7.64,2.66,40,2.62
JA 3 /14 [POU],moderate anthocyanin,anthocyanin absent,-,7.85,2.11,42,1.72
JA 3 /16 [POU],slight anthocyanin,moderate anthocyanin,-,7.96,2.29,50,2.31
JA 3 /18 [POU],slight anthocyanin,intense anthocyanin,-,8.39,2.86,45,2.38
JA 3 /2 [POU],slight anthocyanin,intense anthocyanin,-,7.99,2.6,41,2.66
JA 3 /20 [POU],intense anthocyanin,slight anthocyanin,-,8.14,2.19,42,2.31
JA 3 /22 [POU],anthocyanin absent,anthocyanin absent,-,8.17,2.41,39,2.43
JA 3 /27 [POU],anthocyanin absent,slight anthocyanin,-,7.76,2.67,37,2.46
JA 3 /28 [POU],anthocyanin absent,slight anthocyanin,-,9.03,2.49,48,2.61
JA 3 /29 [POU],anthocyanin absent,intense anthocyanin,-,8.14,2.94,46,2.97
JA 3 /30 [POU],moderate anthocyanin,slight anthocyanin,-,7.76,2.31,41,2.24
JA 3 /32 [POU],slight anthocyanin,slight anthocyanin,-,8.46,2.83,40,2.48
JA 3 /35 [POU],moderate anthocyanin,intense anthocyanin,-,9.76,3.16,46,3.1
JA 3 /38 [POU],moderate anthocyanin,intense anthocyanin,-,8.55,2.42,44,2.65
JA 3 /39 [POU],slight anthocyanin,slight anthocyanin,-,7.25,2.47,42,2.3
JA 3 /4 [POU],slight anthocyanin,slight anthocyanin,-,7.59,2.51,40,2.13
JA 3 /5 ]POU[,slight anthocyanin,slight anthocyanin,-,7.68,2.31,45,2.58
JA 3 /9 [POU],anthocyanin absent,moderate anthocyanin,-,7.21,2.28,45,2.67
JA 4 /14 [POU],slight anthocyanin,moderate anthocyanin,-,7.81,2.27,44,2.6
JA 4 /17 [POU],slight anthocyanin,intense anthocyanin,-,8.44,2.31,38,2.13
JA 4 /21 [POU],anthocyanin absent,slight anthocyanin,-,7.44,2.44,49,2.48
JA 4 /28 [POU],slight anthocyanin,moderate anthocyanin,-,8.1,2.56,45,2.62
JA 4 /7 [POU],slight anthocyanin,slight anthocyanin,-,8.47,2.17,38,1.8
JA 4 /9 [POU],slight anthocyanin,intense anthocyanin,-,7.49,2.22,42,2.46
JA 5 /10 [POU],slight anthocyanin,moderate anthocyanin,-,7.83,2.31,44,2.55
JA 5 /11 [POU],moderate anthocyanin,slight anthocyanin,-,7.47,2.26,42,2.21
JA 5 /18 [POU],anthocyanin absent,slight anthocyanin,-,8.46,2.68,38,2.76
JA 5 /19 [POU],slight anthocyanin,slight anthocyanin,-,7.5,2.67,40,2.5
JA 5 /2 [POU],slight anthocyanin,moderate anthocyanin,-,8.61,2.53,46,2.94
JA 5 /21 [POU],slight anthocyanin,moderate anthocyanin,-,7.28,2.43,42,2.37
JA 5 /23 [POU],slight anthocyanin,slight anthocyanin,-,6.65,2.3,50,2.43
JA 5 /24 [POU],slight anthocyanin,slight anthocyanin,-,8.41,2.57,43,2.68
JA 5 /25 [POU],slight anthocyanin,moderate anthocyanin,-,8.09,2.61,44,2.69
JA 5 /26 [POU],slight anthocyanin,moderate anthocyanin,-,8.82,2.86,43,3.21
JA 5 /27 [POU],slight anthocyanin,moderate anthocyanin,-,7.9,2.48,43,2.71
JA 5 /28 [POU],moderate anthocyanin,anthocyanin absent,-,7.87,2.23,42,2.0
JA 5 /31 [POU],slight anthocyanin,slight anthocyanin,-,8.89,2.4,43,2.22
JA 5 /34 [POU],slight anthocyanin,slight anthocyanin,-,8.4,2.77,44,2.64
JA 5 /35 [POU],slight anthocyanin,slight anthocyanin,-,8.48,2.85,48,2.67
JA 5 /36 [POU],slight anthocyanin,slight anthocyanin,-,8.98,2.57,42,2.75
JA 5 /37 [POU],slight anthocyanin,slight anthocyanin,-,8.27,2.83,46,2.9
JA 5 /38 [POU],slight anthocyanin,intense anthocyanin,-,8.52,2.75,43,2.78
JA 5 /39 [POU],slight anthocyanin,slight anthocyanin,-,7.99,2.5,45,2.53
JA 5 /4 [POU],slight anthocyanin,slight anthocyanin,-,8.62,2.85,47,2.66
JA 5 /40 [POU],intense anthocyanin,moderate anthocyanin,-,8.6,2.45,39,2.73
JA 5 /41 [POU],slight anthocyanin,slight anthocyanin,-,7.53,2.52,51,2.62
JA 5 /42 [POU],moderate anthocyanin,moderate anthocyanin,-,8.55,2.82,43,2.54
JA 5 /47 [POU],slight anthocyanin,slight anthocyanin,-,6.97,2.45,42,2.09
JA 5 /5 [POU],slight anthocyanin,slight anthocyanin,-,8.86,2.97,42,2.87
JA 5 /7 [POU],slight anthocyanin,intense anthocyanin,-,7.82,2.68,48,2.55
JA 5 /8 [POU],slight anthocyanin,intense anthocyanin,-,8.08,2.86,45,2.77
JA 5 /9 [POU],slight anthocyanin,moderate anthocyanin,-,8.96,2.86,49,2.81
JA 6 /1 [POU],slight anthocyanin,slight anthocyanin,-,6.85,2.48,39,2.47
JA 6 /12 [POU],slight anthocyanin,slight anthocyanin,-,9.26,2.62,37,3.04
JA 6 /2 [POU],anthocyanin absent,slight anthocyanin,-,9.24,2.53,42,2.84
JA 6 /4 [POU],slight anthocyanin,slight anthocyanin,-,8.72,2.32,42,2.78
JA 6 /7 [POU],slight anthocyanin,intense anthocyanin,-,8.46,2.56,45,2.52
JA 6 /9 [POU],slight anthocyanin,slight anthocyanin,-,8.76,2.65,38,2.64
JA 7 /11 [POU],moderate anthocyanin,intense anthocyanin,-,7.88,2.35,52,2.22
JA 7 /25 [POU],moderate anthocyanin,intense anthocyanin,-,7.34,2.47,49,2.28
JA 7 /3 [POU],intense anthocyanin,moderate anthocyanin,-,8.14,2.57,42,2.58
JA 8 /1 [POU],slight anthocyanin,intense anthocyanin,-,7.99,2.72,40,2.59
JA 8 /13 [POU],slight anthocyanin,moderate anthocyanin,-,6.83,2.19,37,2.28
JA 8 /15 [POU],anthocyanin absent,anthocyanin absent,-,9.77,2.25,34,2.54
JA 8 /16 [POU],intense anthocyanin,moderate anthocyanin,-,7.12,2.35,47,2.09
JA 8 /19 [POU],anthocyanin absent,slight anthocyanin,-,8.48,2.54,40,2.48
JA 8 /20 [POU],slight anthocyanin,slight anthocyanin,-,8.86,2.56,40,2.64
JA 8 /21 [POU],anthocyanin absent,anthocyanin absent,-,8.58,2.01,36,2.37
JA 8 /24 [POU],slight anthocyanin,slight anthocyanin,-,7.55,2.2,40,2.32
JA 8 /25 [POU],anthocyanin absent,slight anthocyanin,-,8.43,2.24,40,2.34
JA 8 /26 [POU],anthocyanin absent,anthocyanin absent,-,8.53,2.48,35,2.38
JA 8 /3 [POU],anthocyanin absent,slight anthocyanin,-,7.37,2.42,47,2.32
JA 8 /33 [POU],anthocyanin absent,anthocyanin absent,-,7.09,2.28,49,2.22
JA 8 /38 [POU],moderate anthocyanin,intense anthocyanin,-,7.33,2.24,51,1.77
JA 8 /42 [POU],slight anthocyanin,moderate anthocyanin,-,8.23,2.18,43,2.26
JA 9 /10 [POU],moderate anthocyanin,intense anthocyanin,-,6.49,2.29,52,1.88
JA 9 /12 [POU],slight anthocyanin,intense anthocyanin,-,7.8,1.84,40,2.75
JA 9 /13 [POU],slight anthocyanin,anthocyanin absent,-,8.27,2.54,45,2.81
JA 9 /14 [POU],slight anthocyanin,intense anthocyanin,-,7.4,2.33,42,2.53
JA 9 /16 [POU],slight anthocyanin,anthocyanin absent,-,7.61,2.7,39,2.21
JA 9 /20 [POU],slight anthocyanin,intense anthocyanin,-,8.16,2.52,41,2.63
JA 9 /29 [POU],moderate anthocyanin,moderate anthocyanin,-,7.46,2.4,47,2.13
JA 9 /34 [POU],anthocyanin absent,slight anthocyanin,-,8.56,2.39,41,2.53
JA 9 /37 [POU],slight anthocyanin,anthocyanin absent,-,8.25,2.44,39,2.41
JA 9 /4 [POU],slight anthocyanin,moderate anthocyanin,-,6.83,2.45,51,2.39
JA 9 /9 [POU],slight anthocyanin,anthocyanin absent,-,7.35,2.82,46,2.43
LAFI 7,anthocyanin absent,anthocyanin absent,-,6.93,2.91,46,2.22
LCT EEN 108 /S,anthocyanin absent,anthocyanin absent,-,8.07,2.03,38,2.64
LCT EEN 123,moderate anthocyanin,slight anthocyanin,-,7.05,2.14,47,2.3
LCT EEN 162 /S-1010,slight anthocyanin,moderate anthocyanin,-,6.34,2.17,45,2.25
LCT EEN 188,anthocyanin absent,anthocyanin absent,-,6.18,1.86,42,2.15
LCT EEN 189,anthocyanin absent,anthocyanin absent,-,6.88,1.91,45,2.25
LCT EEN 193,anthocyanin absent,anthocyanin absent,-,7.3,1.65,39,1.92
LCT EEN 202,anthocyanin absent,moderate anthocyanin,-,7.87,2.44,47,2.5
LCT EEN 21 /S-4,slight anthocyanin,anthocyanin absent,-,7.68,2.74,42,2.33
LCT EEN 212 /S-4,anthocyanin absent,anthocyanin absent,-,7.6,2.64,45,2.56
LCT EEN 221,slight anthocyanin,moderate anthocyanin,-,8.71,2.37,38,2.66
LCT EEN 23,anthocyanin absent,anthocyanin absent,-,8.71,2.11,31,2.28
LCT EEN 246,moderate anthocyanin,anthocyanin absent,-,6.81,2.52,44,1.77
LCT EEN 250,anthocyanin absent,moderate anthocyanin,-,7.73,1.86,40,2.62
LCT EEN 253,anthocyanin absent,anthocyanin absent,-,8.37,2.33,41,2.42
LCT EEN 261 /S-4,anthocyanin absent,anthocyanin absent,-,8.3,2.72,43,2.46
LCT EEN 29 /S-1,anthocyanin absent,anthocyanin absent,-,6.84,1.8,36,2.25
LCT EEN 295 /S-10,anthocyanin absent,anthocyanin absent,-,7.39,2.09,39,2.48
LCT EEN 31,slight anthocyanin,slight anthocyanin,-,8.28,2.29,43,2.17
LCT EEN 321 /S-1,slight anthocyanin,anthocyanin absent,-,6.71,1.8,43,1.82
LCT EEN 324 /S-2,slight anthocyanin,intense anthocyanin,-,7.19,2.8,48,2.46
LCT EEN 326,moderate anthocyanin,slight anthocyanin,-,7.5,2.42,48,2.02
LCT EEN 327,slight anthocyanin,moderate anthocyanin,-,7.29,2.53,48,2.45
LCT EEN 346,anthocyanin absent,anthocyanin absent,-,7.74,2.3,39,2.17
LCT EEN 37,anthocyanin absent,anthocyanin absent,-,7.37,2.11,41,2.48
LCT EEN 37 /F,slight anthocyanin,slight anthocyanin,-,7.15,2.25,37,2.26
LCT EEN 370,moderate anthocyanin,slight anthocyanin,-,6.51,1.99,40,1.84
LCT EEN 372 /S-301,anthocyanin absent,anthocyanin absent,-,6.58,1.6,37,2.09
LCT EEN 409,anthocyanin absent,anthocyanin absent,-,6.19,1.75,37,1.48
LCT EEN 411,anthocyanin absent,anthocyanin absent,-,7.43,1.49,45,2.24
LCT EEN 46,moderate anthocyanin,slight anthocyanin,-,8.45,2.82,40,2.9
LCT EEN 49,anthocyanin absent,anthocyanin absent,-,8.58,2.84,37,2.28
LCT EEN 6 /S-1,anthocyanin absent,anthocyanin absent,-,7.18,2.15,44,2.25
LCT EEN 60,intense anthocyanin,intense anthocyanin,-,6.94,2.19,49,2.03
