Clone name,Ligule colour,Stamen colour,Sepal width,Sepal length,Ligule width,Ovule number,Style length
B 6 /8 [POU],slight anthocyanin,moderate anthocyanin,-,8.81,2.38,42,2.65
B 7 /1 [POU],slight anthocyanin,intense anthocyanin,-,8.07,2.63,42,3.07
B 7 /14 [POU],intense anthocyanin,intense anthocyanin,-,8.4,2.54,39,2.6
B 7 /15 [POU],intense anthocyanin,intense anthocyanin,-,8.44,2.55,47,2.64
B 7 /16 [POU],moderate anthocyanin,intense anthocyanin,-,7.52,2.63,41,2.35
B 7 /18 [POU],slight anthocyanin,intense anthocyanin,-,7.79,2.54,43,2.69
B 7 /21 [POU],slight anthocyanin,moderate anthocyanin,-,8.0,2.62,43,2.41
B 7 /3 [POU],anthocyanin absent,intense anthocyanin,-,7.47,2.5,48,2.44
B 7 /4 [POU],moderate anthocyanin,intense anthocyanin,-,8.76,2.45,41,2.69
B 8 /4 [POU],slight anthocyanin,intense anthocyanin,-,7.74,3.06,36,2.11
B 8 /5 [POU],slight anthocyanin,slight anthocyanin,-,8.35,3.23,41,2.21
B 8 /8 [POU],moderate anthocyanin,slight anthocyanin,-,7.83,2.77,47,2.73
B 8 /9 [POU],slight anthocyanin,anthocyanin absent,-,8.73,2.26,37,2.33
B 9 /10-12 [POU],slight anthocyanin,slight anthocyanin,-,8.86,2.64,44,2.81
B 9 /10-18 [POU],moderate anthocyanin,moderate anthocyanin,-,6.52,2.05,43,2.18
B 9 /10-23 [POU],slight anthocyanin,slight anthocyanin,-,9.32,2.39,41,2.55
B 9 /10-25 [POU],slight anthocyanin,slight anthocyanin,-,9.06,2.48,44,2.78
B 9 /10-28 [POU],moderate anthocyanin,moderate anthocyanin,-,9.52,3.04,41,2.36
B 9 /10-30 [POU],slight anthocyanin,slight anthocyanin,-,8.59,2.7,42,3.0
B 9 /10-32 [POU],anthocyanin absent,slight anthocyanin,-,8.77,2.66,43,2.62
B 9 /10-33 [POU],slight anthocyanin,anthocyanin absent,-,6.15,2.14,41,2.15
B 9 /10-34 [POU],moderate anthocyanin,slight anthocyanin,-,9.01,2.74,38,2.58
B 9 /10-35 [POU],slight anthocyanin,slight anthocyanin,-,9.59,2.54,37,2.75
B 9 /10-43 [POU],moderate anthocyanin,moderate anthocyanin,-,8.04,2.6,44,2.66
B 9 /10-46 [POU],slight anthocyanin,moderate anthocyanin,-,7.89,2.45,42,2.74
B 9 /10-8 [POU],slight anthocyanin,intense anthocyanin,-,6.96,2.07,39,2.12
BE 10,slight anthocyanin,slight anthocyanin,-,7.56,2.48,42,2.25
BE 2,anthocyanin absent,anthocyanin absent,-,5.18,1.7,41,1.83
Belize 10 [BLZ],moderate anthocyanin,slight anthocyanin,-,7.78,2.1,40,2.48
Belize 12 [BLZ],slight anthocyanin,slight anthocyanin,-,7.32,2.15,37,2.59
Belize 14 [BLZ],moderate anthocyanin,moderate anthocyanin,-,7.45,2.24,39,2.41
Belize 15 [BLZ],intense anthocyanin,slight anthocyanin,-,8.46,2.12,39,2.48
Belize 17 [BLZ],intense anthocyanin,moderate anthocyanin,-,7.17,2.03,43,2.44
Belize 2 [BLZ],anthocyanin absent,anthocyanin absent,-,5.99,2.05,42,1.84
Belize 20 [BLZ],moderate anthocyanin,slight anthocyanin,-,7.07,2.13,39,2.37
Belize 28 [BLZ],anthocyanin absent,anthocyanin absent,-,7.01,1.53,39,1.79
Belize 29 [BLZ],intense anthocyanin,slight anthocyanin,-,6.85,2.12,47,2.05
B 97 61 /B-7 [BLZ],anthocyanin absent,anthocyanin absent,-,6.13,2.02,27,1.58
B 97 AC 2/1 [BLZ],anthocyanin absent,slight anthocyanin,-,8.76,2.1,40,2.22
B 97Ex 1 /(a)-1 [BLZ],moderate anthocyanin,slight anthocyanin,-,5.39,2.1,50,2.4
B 97 Ex 4 /B-5 [BLZ],slight anthocyanin,intense anthocyanin,-,6.19,2.37,48,1.99
BH,slight anthocyanin,anthocyanin absent,-,6.16,2.21,50,2.09
BOB 8 [CHA],slight anthocyanin,slight anthocyanin,-,7.69,1.9,38,2.35
C 15 /61 [TRI],slight anthocyanin,moderate anthocyanin,-,7.21,1.97,43,1.89
C 40 [TRI],anthocyanin absent,anthocyanin absent,-,6.83,2.25,45,1.93
C 96 [TRI],slight anthocyanin,slight anthocyanin,-,8.3,2.29,43,2.01
C 97 [TRI],slight anthocyanin,moderate anthocyanin,-,7.47,2.25,42,2.33
C 99 [TRI],slight anthocyanin,slight anthocyanin,-,9.09,2.55,40,2.3
CAS 1,slight anthocyanin,slight anthocyanin,-,7.15,2.61,45,2.32
CATONGO,anthocyanin absent,anthocyanin absent,-,7.04,2.71,37,2.33
CBO 177 [VEN],anthocyanin absent,anthocyanin absent,-,8.16,3.3,35,2.18
CC 10,slight anthocyanin,anthocyanin absent,-,8.08,2.75,41,2.14
CC 17,anthocyanin absent,anthocyanin absent,-,7.7,1.92,40,1.89
CC 38,anthocyanin absent,slight anthocyanin,-,7.77,2.33,47,2.16
CC 39,anthocyanin absent,slight anthocyanin,-,7.74,2.42,46,2.68
CC 40,slight anthocyanin,moderate anthocyanin,-,7.98,2.43,44,2.1
CC 41,anthocyanin absent,moderate anthocyanin,-,7.53,2.23,42,2.4
CC 49,slight anthocyanin,slight anthocyanin,-,7.17,2.01,52,2.21
CC 57,slight anthocyanin,anthocyanin absent,-,7.3,2.43,39,2.12
CC 71,moderate anthocyanin,slight anthocyanin,-,6.86,2.51,39,1.88
CC 9,slight anthocyanin,moderate anthocyanin,-,8.26,2.26,44,2.44
CERRO AZUL 10,slight anthocyanin,anthocyanin absent,-,8.56,2.89,41,2.51
CL 10 /10,slight anthocyanin,intense anthocyanin,-,7.85,3.01,41,2.16
CL 10 /11,slight anthocyanin,moderate anthocyanin,-,7.71,2.93,42,2.14
CL 10 /12,anthocyanin absent,slight anthocyanin,-,7.15,2.31,31,2.05
CL 10 /14,slight anthocyanin,intense anthocyanin,-,7.26,2.57,41,2.35
CL 10 /15,slight anthocyanin,intense anthocyanin,-,7.63,2.71,40,1.9
CL 10 /21,slight anthocyanin,anthocyanin absent,-,7.78,2.65,50,2.3
CL 10 /23,anthocyanin absent,intense anthocyanin,-,8.3,2.5,45,3.03
CL 10 /25,slight anthocyanin,intense anthocyanin,-,6.99,2.96,39,2.57
CL 10 /26,slight anthocyanin,slight anthocyanin,-,7.88,2.09,40,2.48
CL 10 /27,moderate anthocyanin,slight anthocyanin,-,9.41,2.46,36,2.24
CL 10 /29,anthocyanin absent,intense anthocyanin,-,7.95,2.99,49,2.7
CL 10 /3,anthocyanin absent,intense anthocyanin,-,6.97,2.37,44,2.16
CL 10 /32,slight anthocyanin,intense anthocyanin,-,8.42,2.6,44,2.7
CL 10 /33,slight anthocyanin,intense anthocyanin,-,9.16,3.24,44,2.27
CL 10 /4,anthocyanin absent,intense anthocyanin,-,7.79,2.68,41,2.96
CL 10 /5,slight anthocyanin,slight anthocyanin,-,6.43,2.37,48,2.45
CL 10 /6,anthocyanin absent,slight anthocyanin,-,8.12,2.8,41,2.71
CL 10 /7,anthocyanin absent,slight anthocyanin,-,8.46,2.6,41,2.79
CL 13 /12,slight anthocyanin,slight anthocyanin,-,8.46,3.17,36,2.61
CL 13 /13,slight anthocyanin,intense anthocyanin,-,8.12,3.25,52,2.9
CL 13 /17,slight anthocyanin,slight anthocyanin,-,7.71,2.25,46,2.07
CL 13 /21,anthocyanin absent,intense anthocyanin,-,8.89,2.64,38,2.94
CL 13 /27,slight anthocyanin,slight anthocyanin,-,8.71,2.13,52,2.33
CL 13 /35,moderate anthocyanin,moderate anthocyanin,-,7.78,2.91,37,2.66
CL 13 /36,slight anthocyanin,intense anthocyanin,-,7.49,3.26,35,2.36
CL 13 /4,slight anthocyanin,anthocyanin absent,-,6.33,1.79,42,1.67
CL 13 /41,slight anthocyanin,moderate anthocyanin,-,8.46,2.91,42,2.49
CL 13 /43,slight anthocyanin,intense anthocyanin,-,6.72,2.52,53,2.28
CL 13 /65,anthocyanin absent,anthocyanin absent,-,8.86,2.31,46,2.19
CL 15 /195,anthocyanin absent,moderate anthocyanin,-,7.78,3.02,39,2.34
CL 15 /197,slight anthocyanin,moderate anthocyanin,-,8.02,2.58,39,2.17
CL 19 /10,slight anthocyanin,slight anthocyanin,-,7.91,2.19,42,1.76
CL 19 /11,slight anthocyanin,intense anthocyanin,-,7.63,2.71,40,2.68
CL 19 /17,slight anthocyanin,anthocyanin absent,-,8.48,2.15,44,2.09
CL 19 /2,slight anthocyanin,intense anthocyanin,-,8.87,2.53,37,3.21
CL 19 /21,moderate anthocyanin,moderate anthocyanin,-,7.27,2.41,41,2.15
CL 19 /22,slight anthocyanin,moderate anthocyanin,-,8.69,2.51,46,2.04
CL 19 /27,slight anthocyanin,slight anthocyanin,-,7.53,2.65,43,2.74
CL 19 /31,anthocyanin absent,moderate anthocyanin,-,8.72,2.85,42,2.7
CL 19 /33,anthocyanin absent,intense anthocyanin,-,8.45,2.61,40,2.59
CL 19 /34,anthocyanin absent,intense anthocyanin,-,7.73,3.33,42,2.51
CL 19 /35,intense anthocyanin,intense anthocyanin,-,8.93,2.66,50,2.68
CL 19 /37,moderate anthocyanin,intense anthocyanin,-,7.55,2.43,45,2.83
CL 19 /39,moderate anthocyanin,moderate anthocyanin,-,7.37,2.35,53,1.86
