Clone name,Colour,Notes
ICS 137,reddish brown,Translation of Methuen colour codes.
ICS 138,light brown,Translation of Methuen colour codes.
ICS 16,brownish orange,Translation of Methuen colour codes.
ICS 32,greyish yellow,Translation of Methuen colour codes.
ICS 39,brownish orange,Translation of Methuen colour codes.
ICS 40,brownish orange,Translation of Methuen colour codes.
ICS 40,olive yellow,Translation of Methuen colour codes.
ICS 43,reddish brown,Translation of Methuen colour codes.
ICS 44,brownish orange,Translation of Methuen colour codes.
ICS 45,olive,Translation of Methuen colour codes.
ICS 46,olive yellow,Translation of Methuen colour codes.
ICS 47,olive,Translation of Methuen colour codes.
ICS 53,dark brown,Translation of Methuen colour codes.
ICS 6,brownish orange,Translation of Methuen colour codes.
ICS 60,brownish red,Translation of Methuen colour codes.
ICS 8,light brown,Translation of Methuen colour codes.
ICS 84,light brown,Translation of Methuen colour codes.
ICS 89,brown,Translation of Methuen colour codes.
ICS 91,light brown,Translation of Methuen colour codes.
ICS 95,reddish brown,Translation of Methuen colour codes.
ICS 98,brownish orange,Translation of Methuen colour codes.
IMC 60,brownish orange,Translation of Methuen colour codes.
IMC 67,light brown,Translation of Methuen colour codes.
IMC 67,light brown,Translation of Methuen colour codes.
IQ 1 [BRA],light brown,Translation of Methuen colour codes.
JACA,brownish orange,Translation of Methuen colour codes.
LA ESMIDA AMARILLO,greyish green,Translation of Methuen colour codes.
La Esmida Roja,reddish brown,Translation of Methuen colour codes.
LAFI 7,deep green,Translation of Methuen colour codes.
LARANJA,light brown,Translation of Methuen colour codes.
LF 1,olive brown,Translation of Methuen colour codes.
LF 2,greyish yellow,Translation of Methuen colour codes.
LF 3,olive brown,Translation of Methuen colour codes.
MA 12 [BRA],light brown,Translation of Methuen colour codes.
MA 13 [BRA],reddish brown,Translation of Methuen colour codes.
MATINA,reddish brown,Translation of Methuen colour codes.
MEXICO 12,light brown,Translation of Methuen colour codes.
MOCORONGO,brownish orange,Translation of Methuen colour codes.
MT 1 {HND],brown,Translation of Methuen colour codes.
NA 34,light brown,Translation of Methuen colour codes.
OC 77 [VEN],reddish brown,Translation of Methuen colour codes.
P 10 [MEX],brownish orange,Translation of Methuen colour codes.
P 11 [UNK],light brown,Translation of Methuen colour codes.
P 19 [MEX],light brown,Translation of Methuen colour codes.
P 22 [UNK],olive yellow,Translation of Methuen colour codes.
P 43 [MEX],olive yellow,Translation of Methuen colour codes.
P 8 [UNK],reddish brown,Translation of Methuen colour codes.
PA 121 [PER],light brown,Translation of Methuen colour codes.
PA 121 [PER],brownish orange,Translation of Methuen colour codes.
PA 13 [PER],brownish orange,Translation of Methuen colour codes.
PA 16 [PER],olive brown,Translation of Methuen colour codes.
PA 16 [PER],light brown,Translation of Methuen colour codes.
PA 169 [PER],brownish orange,Translation of Methuen colour codes.
PA 81 [PER],brownish orange,Translation of Methuen colour codes.
PARA [BRA],brownish red,Translation of Methuen colour codes.
PORCELANA 3,brownish yellow,Translation of Methuen colour codes.
POUND 12,light brown,Translation of Methuen colour codes.
POUND 12,light brown,Translation of Methuen colour codes.
POUND 12,olive yellow,Translation of Methuen colour codes.
POUND 15,light brown,Translation of Methuen colour codes.
POUND 16,light brown,Translation of Methuen colour codes.
POUND 19,reddish brown,Translation of Methuen colour codes.
POUND 20,dark brown,Translation of Methuen colour codes.
POUND 23,light brown,Translation of Methuen colour codes.
POUND 7,brownish orange,Translation of Methuen colour codes.
POUND 7,light brown,Translation of Methuen colour codes.
PV 2 [CRI],greenish yellow,Translation of Methuen colour codes.
PV 4 [CRI],brownish orange,Translation of Methuen colour codes.
PV 6 [CRI],reddish brown,Translation of Methuen colour codes.
RB 29 [BRA],brownish red,Translation of Methuen colour codes.
RB 29 [BRA],reddish brown,Translation of Methuen colour codes.
RB 37 [BRA],light brown,Translation of Methuen colour codes.
RB 39 [BRA],reddish brown,Translation of Methuen colour codes.
RB 41 [BRA],light brown,Translation of Methuen colour codes.
RB 43 [BRA],greenish yellow,Translation of Methuen colour codes.
RB 46 [BRA],light brown,Translation of Methuen colour codes.
RB 47 [BRA],light brown,Translation of Methuen colour codes.
RB 49 [BRA],light brown,Translation of Methuen colour codes.
RIM 10 [MEX],reddish brown,Translation of Methuen colour codes.
RIM 100 [MEX],light brown,Translation of Methuen colour codes.
RIM 101 [MEX],olive brown,Translation of Methuen colour codes.
RIM 105 [MEX],light brown,Translation of Methuen colour codes.
RIM 106 [MEX],olive,Translation of Methuen colour codes.
RIM 113 [MEX],brownish orange,Translation of Methuen colour codes.
RIM 117 [MEX],brownish red,Translation of Methuen colour codes.
RIM 13 [MEX],brown,Translation of Methuen colour codes.
RIM 15 [MEX],light brown,Translation of Methuen colour codes.
RIM 189 [MEX],olive brown,Translation of Methuen colour codes.
RIM 19 [MEX],light brown,Translation of Methuen colour codes.
RIM 2 [MEX],light brown,Translation of Methuen colour codes.
RIM 21 [MEX],light brown,Translation of Methuen colour codes.
RIM 23 [MEX],brownish orange,Translation of Methuen colour codes.
RIM 24 [MEX],brownish orange,Translation of Methuen colour codes.
RIM 30 [MEX],brown,Translation of Methuen colour codes.
RIM 39 [MEX],reddish brown,Translation of Methuen colour codes.
RIM 41 [MEX],brown,Translation of Methuen colour codes.
RIM 43 [MEX],light brown,Translation of Methuen colour codes.
RIM 44 [MEX],greyish yellow,Translation of Methuen colour codes.
RIM 48 [MEX],brownish red,Translation of Methuen colour codes.
RIM 52 [MEX],greyish yellow,Translation of Methuen colour codes.
RIM 56 [MEX],brownish orange,Translation of Methuen colour codes.
RIM 6 [MEX],reddish brown,Translation of Methuen colour codes.
RIM 68 [MEX],light brown,Translation of Methuen colour codes.
RIM 71 [MEX],olive brown,Translation of Methuen colour codes.
RIM 75 [MEX],greyish red,Translation of Methuen colour codes.
RIM 76 [MEX],olive brown,Translation of Methuen colour codes.
RIM 78 [MEX],olive brown,Translation of Methuen colour codes.
RIM 8 [MEX],brownish orange,Translation of Methuen colour codes.
RIM 9 [MEX],light brown,Translation of Methuen colour codes.
SANTA CLARA 3 [ECU],reddish brown,Translation of Methuen colour codes.
SC 13 [COL],reddish brown,Translation of Methuen colour codes.
SC 24 [COL],light brown,Translation of Methuen colour codes.
SC 49 [COL],olive brown,Translation of Methuen colour codes.
SC 5 [COL],reddish brown,Translation of Methuen colour codes.
SC 51 [COL],greyish yellow,Translation of Methuen colour codes.
SC 6 [COL],reddish brown,Translation of Methuen colour codes.
SCA 12,greyish yellow,Translation of Methuen colour codes.
SCA 6,reddish brown,Translation of Methuen colour codes.
SCA 6,brown,Translation of Methuen colour codes.
SCA 9,light brown,Translation of Methuen colour codes.
SCR 4,light brown,Translation of Methuen colour codes.
SCR 5,brownish red,Translation of Methuen colour codes.
SGU 3,brownish orange,Translation of Methuen colour codes.
SGU 4,brownish orange,Translation of Methuen colour codes.
SGU 60,olive brown,Translation of Methuen colour codes.
SGU 63,brownish orange,Translation of Methuen colour codes.
SGU 69,brownish orange,Translation of Methuen colour codes.
SGU 71,blond,Translation of Methuen colour codes.
SGU 82,reddish brown,Translation of Methuen colour codes.
SGU 84,olive brown,Translation of Methuen colour codes.
SIAL 163,reddish brown,Translation of Methuen colour codes.
SIAL 169,reddish brown,Translation of Methuen colour codes.
SIAL 325,light brown,Translation of Methuen colour codes.
SIAL 325,reddish brown,Translation of Methuen colour codes.
SIAL 339,reddish brown,Translation of Methuen colour codes.
SIAL 407,light brown,Translation of Methuen colour codes.
SIAL 42,greyish yellow,Translation of Methuen colour codes.
SIAL 44,light brown,Translation of Methuen colour codes.
SIAL 56,reddish brown,Translation of Methuen colour codes.
SIAL 70,light brown,Translation of Methuen colour codes.
SIAL 8,reddish brown,Translation of Methuen colour codes.
SIAL 93,reddish brown,Translation of Methuen colour codes.
SIC 1,light brown,Translation of Methuen colour codes.
SIC 1,light brown,Translation of Methuen colour codes.
SIC 2,brownish orange,Translation of Methuen colour codes.
SIC 256,reddish brown,Translation of Methuen colour codes.
SIC 28,brownish orange,Translation of Methuen colour codes.
SIC 329,light brown,Translation of Methuen colour codes.
SIC 433,light brown,Translation of Methuen colour codes.
SIC 6,dark blond,Translation of Methuen colour codes.
SIC 7,brownish orange,Translation of Methuen colour codes.
SIC 802,light brown,Translation of Methuen colour codes.
SIC 806,greyish yellow,Translation of Methuen colour codes.
SIC 813,greyish green,Translation of Methuen colour codes.
SILECIA 5 [ECU],reddish brown,Translation of Methuen colour codes.
